time,open,high,low,close,volume,ema,rsi,obv,vwap,bb_upper,bb_middle,bb_lower
2024-04-15T08:00:00,199.68,200.15,199.68,199.85,36120,,,,199.85,,,
2024-04-15T08:30:00,199.84,199.91,199.71,199.83,8373,,,-8373,199.8462362618839,,,
2024-04-15T09:00:00,199.71,199.92,199.25,199.3,23133,,,-31506,199.65938381687516,,,
2024-04-15T09:30:00,199.26,199.31,199.11,199.11,4945,,,-36451,199.62194871229553,,,
2024-04-15T10:00:00,199.36,199.46,199.14,199.14,33764,,,-2687,199.46891804203693,,,
2024-04-15T10:30:00,199.16,199.22,198.95,199.09,23190,,,-25877,199.40107701215982,,,
2024-04-15T11:00:00,199.2,199.57,199.09,199.37,39554,,,13677,199.39380691865935,,,
2024-04-15T11:30:00,199.464,199.73,199.3,199.41,77748,,,91425,199.39890757494118,,,
2024-04-15T12:00:00,199.15,200,199.06,199.24,217977,,,-126552,199.32438541836993,,,
2024-04-15T12:30:00,199,199.72,198.09,199.33,249331,,,122779,199.32634567693785,,,
2024-04-15T13:00:00,199.45,199.74,199.03,199.37,182344,,,305123,199.33522497459506,,,
2024-04-15T13:30:00,199.37,200.23,199.175,199.51,4001706,,,4306829,199.47801220452064,,,
2024-04-15T14:00:00,199.5,199.55,197.59,197.62,3374385,,,932444,198.7201281959536,,,
2024-04-15T14:30:00,197.63,198.43,197.51,197.53,2715039,,,-1782595,198.4260474303372,,,
2024-04-15T15:00:00,197.53,197.71,196.83,197.42,2845297,198.89457142857145,16.893732970026278,-4627892,198.21911305693826,,,
2024-04-15T15:30:00,197.44,198.1,197.42,197.99,1882987,198.77396190476193,28.199052132701084,-2744905,198.19166206145587,,,
2024-04-15T16:00:00,197.99,198.29,197.1,197.26,1387797,198.57210031746035,26.92307692307648,-4132702,198.11606680605178,,,
2024-04-15T16:30:00,197.27,197.27,196.92,196.97,1962762,198.358486941799,26.327433628318175,-6095464,197.99808699646894,,,
2024-04-15T17:00:00,196.965,197.1525,195.88,195.91,2537574,198.0320220162258,20.900900900900908,-8633038,197.75282367045844,,,
2024-04-15T17:30:00,195.92,196.44,195.5,196.39,3751286,197.8130857473957,27.424749163879426,-4881752,197.551195650442,200.85407588411505,198.48200000000003,196.109924115885
2024-04-15T18:00:00,196.39,196.48,195.49,195.59,2452842,197.5166743144096,20.923076923076778,-7334594,197.37820671124013,200.86586657339188,198.269,195.67213342660813
