time,open,high,low,close,volume,ema,rsi,obv,vwap,bb_upper,bb_middle,bb_lower
2024-08-08T08:00:00,99.14,99.79,98.42,99.2,634099,,,,99.2,,,
2024-08-08T08:15:00,99.21,99.41,98.75,98.95,250575,,,-250575,99.12919001801795,,,
2024-08-08T08:30:00,98.95,99.42,98.81,99.39,245667,,,-4908,99.18587415655985,,,
2024-08-08T08:45:00,99.39,99.58,99.26,99.45,184481,,,179573,99.22293331720948,,,
2024-08-08T09:00:00,99.48,99.7,99.37,99.5,137707,,,317280,99.24920062181202,,,
2024-08-08T09:15:00,99.56,99.67,99.18,99.35,110391,,,206889,99.25632020832799,,,
2024-08-08T09:30:00,99.32,99.52,98.84,98.88,170038,,,36851,99.21939563451623,,,
2024-08-08T09:45:00,98.85,98.93,98.46,98.65,219447,,,-182596,99.1553965340183,,,
2024-08-08T10:00:00,98.78,98.83,98.33,98.6,170885,,,-353481,99.11069753542851,,,
2024-08-08T10:15:00,98.57,98.95,98.53,98.93,95129,,,-258352,99.10294896500616,,,
2024-08-08T10:30:00,98.94,99.17,98.82,98.85,116945,,,-375297,99.09028236711707,,,
2024-08-08T10:45:00,98.9,99.1,98.36,98.59,235915,,,-611212,99.04438143040875,,,
2024-08-08T11:00:00,98.51,99.39,98.3,99.39,581897,,,-29315,99.10816296648206,,,
2024-08-08T11:15:00,99.35,99.37,98.97,98.97,250691,,,-280006,99.09798741842734,,,
2024-08-08T11:30:00,98.94,99.33,98.8,99.33,326112,99.08733333333333,51.64556962025309,46106,99.11827227445515,,,
2024-08-08T11:45:00,99.28,99.3,98.88,99.03,272610,99.07968888888888,50.99999999999997,-226504,99.11226018959228,,,
2024-08-08T12:00:00,98.56,100.09,98.01,98.6686,1651423,99.02487703703703,40.80175447544246,-1877927,98.98267598614932,,,
2024-08-08T12:15:00,98.631,98.6995,97.32,97.95,1195745,98.88156009876543,33.624454148471656,-3073672,98.80240431416765,,,
2024-08-08T12:30:00,97.98,101.78,97.93,101.45,5206805,99.22401875226338,62.14196762141967,2133133,99.9458077533048,,,
2024-08-08T12:45:00,101.43,101.6,100.61,100.64,2186750,99.4128162519616,57.422324510932135,-53617,100.05238583679133,100.65260954240593,99.18843000000001,97.7242504575941
2024-08-08T13:00:00,100.62,101.1,100.3,101.09,1327060,99.63644075170006,62.74509803921571,1273443,100.14082150495827,100.9655671125112,99.28293000000001,97.60029288748882
2024-08-08T13:15:00,101.09,102.28,101.03,101.99,2123361,99.9502486514734,67.88008565310483,3396804,100.36273473821494,101.48000427063177,99.43493000000001,97.38985572936825
2024-08-08T13:30:00,102,102.1,99.19,99.2,30574067,99.85021549794362,52.4834437086093,-27177263,99.6262286246276,101.47301454096527,99.42542999999999,97.37784545903472
2024-08-08T13:45:00,99.19,100.35,97.52,100.24,30122371,99.90218676488448,55.121188428459696,2945108,99.86207769654948,101.54313729774488,99.46493000000001,97.38672270225514
2024-08-08T14:00:00,100.25,101.09,99.9514,100.995,18808274,100.04789519623321,57.96509468993692,21753382,100.0813025319263,101.72246999961061,99.53968000000002,97.35689000038943
2024-08-08T14:15:00,100.96,102.17,100.8201,102.04,18068167,100.31350917006878,62.105263157894754,39821549,100.38833049381029,102.11043440018075,99.67418,97.23792559981926
2024-08-08T14:30:00,102.04,102.89,101.51,101.75,18184772,100.50504128072627,58.58806404657933,21636777,100.5738785845623,102.38451226222517,99.81768,97.25084773777482
2024-08-08T14:45:00,101.7434,103,101.65,102.445,14845275,100.76370244329611,62.39743132358187,36482052,100.76118767269598,102.75560655408091,100.00743000000001,97.25925344591911
2024-08-08T15:00:00,102.45,102.7399,101.52,101.79,12185926,100.9005421175233,58.595387840670895,24296126,100.83930849115373,102.94002442543884,100.16693,97.39383557456115
2024-08-08T15:15:00,101.79,103.18,101.52,102.74,13601586,101.1458031685202,62.39973262032087,37897712,100.98781377379107,103.28369560182085,100.35743,97.43116439817913
2024-08-08T15:30:00,102.75,103.53,102.71,103.26,12434590,101.42769607938418,65.18460704033447,50332302,101.13929292781867,103.67616544173131,100.57793000000001,97.4796945582687
2024-08-08T15:45:00,103.2501,103.36,102.52,103.095,8429670,101.65000326879962,67.66220391349125,41902632,101.22385870324241,103.94529198756504,100.80318,97.66106801243495
2024-08-08T16:00:00,103.09,104.145,103.03,103.7,12094749,101.92333616629301,59.640102827763506,53997381,101.3685063437627,104.33017579833646,101.01868,97.70718420166355
2024-08-08T16:15:00,103.69,104.14,103.36,103.76,9835179,102.16822467745395,64.28571428571432,63832560,101.47695777384043,104.63458526927677,101.25818,97.88177473072322
2024-08-08T16:30:00,103.77,103.79,102.78,103.0705,11329912,102.28852805379343,58.87360544827274,52502648,101.55607275556987,104.78788719756231,101.445205,98.10252280243769
2024-08-08T16:45:00,103.07,103.77,103.03,103.5745,8384180,102.45999097995431,57.360523993124936,60886828,101.62760021666458,104.94460601488672,101.67242999999999,98.40025398511327
2024-08-08T17:00:00,103.58,103.85,102.92,103.5503,8368391,102.60536551596041,77.19719419333045,52518437,101.69328379054193,104.97747990295136,101.916515,98.85555009704865
2024-08-08T17:15:00,103.57,104.605,103.43,104.59,9507492,102.8699834471657,77.19633881011319,62025929,101.80151142639265,104.93393234132702,102.24851499999998,99.56309765867294
2024-08-08T17:30:00,104.58,105,104.46,104.815,9237502,103.12931898754361,75.57784503307697,71263431,101.90707263485099,105.29566719651518,102.41676499999998,99.53786280348478
2024-08-08T17:45:00,104.82,105.46,104.78,105.015,10443194,103.3807431225378,72.46164532495759,81706625,102.0254633087562,105.60459867297051,102.63551500000001,99.66643132702951
2024-08-08T18:00:00,105.0183,105.455,104.8401,105.28,8115336,103.6339773728661,76.75296328856814,89821961,102.11903395370886,105.937074785499,102.84501500000002,99.75295521450104
2024-08-08T18:15:00,105.29,105.5,104.612,104.8247,8219483,103.79274038981728,68.71510137313813,81602478,102.19559303314728,106.16764592505005,102.98675,99.80585407494995
2024-08-08T18:30:00,104.835,105.34,104.6601,104.795,7943981,103.92637500450832,76.21066220082315,73658497,102.26478778470897,106.02169820267072,103.2665,100.51130179732927
2024-08-08T18:45:00,104.795,105.2,104.73,104.9801,6395153,104.06687167057387,72.54755913437322,80053650,102.32175473939412,105.97772734205012,103.50350499999999,101.02928265794986
2024-08-08T19:00:00,104.98,104.99,103.91,104.3542,11570055,104.10518211449737,60.78369535222923,68483595,102.39607844638321,105.88396378668895,103.67146500000001,101.45896621331107
2024-08-08T19:15:00,104.37,104.99,104.13,104.205,8494558,104.11849116589772,60.973584308762995,59989037,102.44337477053911,105.8708570183957,103.77971500000001,101.68857298160432
2024-08-08T19:30:00,104.22,105.09,103.6603,105.04,13684447,104.2413590104447,62.671155155458024,73673484,102.5483254924492,105.88286117738772,103.94421500000001,102.0055688226123
2024-08-08T19:45:00,105.03,105.25,104.36,105.22,18300164,104.37184447571875,63.49951919520665,91973648,102.68532714369519,105.96905595780133,104.08296499999999,102.19687404219864
2024-08-08T20:00:00,105.16,105.64,104.95,105.27,27640865,104.49159854562292,73.06474276965666,119614513,102.87112731199295,105.88990952480788,104.25696500000001,102.62402047519214
2024-08-08T20:15:00,105.27,105.75,105.2,105.67,670259,104.64871873953986,72.46414099183121,120284772,102.87599764115313,105.99083888195095,104.40346500000001,102.81609111804907
2024-08-08T20:30:00,105.65,105.7593,105.54,105.68,379310,104.78622290760121,72.90049248370946,120664082,102.8787561712119,106.11367792503555,104.524465,102.93525207496447
2024-08-08T20:45:00,105.68,105.9,102.9206,105.8,1192445,104.92139318658772,66.21896949225243,121856527,102.88776296316763,106.19891977555783,104.659715,103.12051022444219
2024-08-08T21:00:00,105.8,105.8293,105.51,105.5797,237233,105.00916742837603,60.26305193933711,121619294,102.88941316723553,106.27648774752099,104.75370000000001,103.23091225247903
2024-08-08T21:15:00,105.58,105.7,104.97,105.61,846821,105.0892784379259,58.36661229540473,122466115,102.89535338787006,106.34079677639154,104.8462,103.35160322360845
2024-08-08T21:30:00,105.64,105.65,105.36,105.41,2102897,105.1320413128691,51.86203735533396,120363218,102.90891448750781,106.23283594351997,104.963175,103.69351405648004
2024-08-08T21:45:00,105.3944,105.49,104.97,105.42,198245,105.17043580448656,59.773436217369834,120561463,102.91019046481749,106.1663209979111,105.05545,103.94457900208889
2024-08-08T22:00:00,105.42,105.55,105.15,105.2,268608,105.17437769722169,56.258112367884344,120292855,102.91176589297852,106.0085111937361,105.13793500000001,104.26735880626393
2024-08-08T22:15:00,105.25,105.46,105.19,105.41,168387,105.20579400425879,56.59214279142524,120461242,102.91284294013757,106.01913511253272,105.178935,104.33873488746727
2024-08-08T22:30:00,105.4101,105.45,105.29,105.4,114338,105.23168813702429,69.77087114337576,120346904,102.91357082001261,106.03631433114342,105.20818500000003,104.38005566885664
2024-08-08T22:45:00,105.39,105.43,105.252,105.37,150694,105.2501297187544,73.06382641748523,120196210,102.91451792612247,106.05195598587144,105.22593500000002,104.3999140141286
