time,open,high,low,close,volume,ema,rsi,obv,vwap,bb_upper,bb_middle,bb_lower
2024-10-09T08:05:00,75.85,75.85,75.85,75.85,110,,,,75.85,,,
2024-10-09T08:10:00,75.83,75.83,75.68,75.71,2576,,,-2576,75.71573343261355,,,
2024-10-09T08:30:00,76.02,76.02,76.02,76.02,400,,,-2176,75.7551717433571,,,
2024-10-09T08:45:00,75.69,75.69,75.69,75.69,276,,,-2452,75.74982153480072,,,
2024-10-09T09:15:00,75.9,75.9,75.9,75.9,1050,,,-1402,75.7855621033545,,,
2024-10-09T09:20:00,75.97,75.97,75.97,75.97,100,,,-1302,75.78964982269504,,,
2024-10-09T09:25:00,76.25,76.25,76.25,76.25,316,,,-986,75.81978044739023,,,
2024-10-09T09:45:00,76.05,76.05,76.05,76.05,100,,,-1086,75.82445211038961,,,
2024-10-09T10:10:00,75.75,75.75,75.75,75.75,200,,,-1286,75.82154836193448,,,
2024-10-09T10:15:00,75.25,75.25,75.22,75.22,1052,,,-2338,75.71914886731392,,,
2024-10-09T10:20:00,75.12,75.14,75.12,75.14,560,,,-2898,75.67102967359051,,,
2024-10-09T10:25:00,75.11,75.11,75.11,75.11,750,,,-3648,75.61485180240321,,,
2024-10-09T10:30:00,75.24,75.24,75.12,75.12,1600,,,-2048,75.52774917491749,,,
2024-10-09T10:40:00,75.36,75.36,75.36,75.36,100,,,-1948,75.52592383025028,,,
2024-10-09T10:45:00,75.41,75.41,75.41,75.41,500,75.62047619047618,42.086330935251844,-1448,75.51994220846233,,,
2024-10-09T11:00:00,75.12,75.12,75.09,75.11,4233,75.5524126984127,39.79591836734703,-5681,75.3953077641313,,,
2024-10-09T11:05:00,75.01,75.01,75.01,75.01,245,75.480091005291,31.501831501831603,-5926,75.38864483342745,,,
2024-10-09T11:10:00,75.05,75.05,75.02,75.02,1150,75.41874553791887,36.09958506224052,-4776,75.36096879488184,,,
2024-10-09T11:15:00,75.04,75.04,74.82,74.85,3862,75.34291279952969,27.848101265822322,-8638,75.25808237747654,,,
2024-10-09T11:20:00,74.89,74.89,74.84,74.85,3999,75.27719109292573,25.6521739130432,-8638,75.18767720781742,76.3369900575799,75.46949999999998,74.60200994242007
2024-10-09T11:25:00,74.92,75.09,74.92,75.05,10792,75.2468989472023,22.972972972972727,2154,75.14393953666362,76.29689783260046,75.42949999999999,74.56210216739952
2024-10-09T11:30:00,75.08,75.08,74.95,74.96,4228,75.20864575424199,24.17061611374382,-2074,75.12358046022148,76.27239990913219,75.39199999999998,74.51160009086777
2024-10-09T11:40:00,75.05,75.17,75.05,75.16,3859,75.20215965367639,35.32338308457696,1785,75.12692210756573,76.18541855550914,75.349,74.51258144449086
2024-10-09T11:45:00,74.99,75.01,74.92,74.96,3121,75.16987169985286,42.261904761904574,-1336,75.11539100024348,76.14992163812502,75.3125,74.47507836187498
2024-10-09T11:50:00,75.02,75.1,75.02,75.1,1100,75.16055547320582,48.85057471264349,-236,75.11502517340479,76.0692904366896,75.2725,74.47570956331039
2024-10-09T12:00:00,75.1091,76.13,74.852,75.34,12555,75.18448141011172,55.89743589743599,12319,75.16303412992488,75.97210601146482,75.241,74.50989398853518
