time,open,high,low,close,volume,ema,rsi,obv,vwap,bb_upper,bb_middle,bb_lower
2022-10-21T04:00:00,70.15,70.99,69.46,70.57,1631921,,,,70.57,,,
2022-10-24T04:00:00,70.24,71.18,69.8,70.38,1762055,,,-1762055,70.47135744919822,,,
2022-10-25T04:00:00,70.59,71.45,70.23,70.61,1601421,,,-160634,70.51580338459584,,,
2022-10-26T04:00:00,71.36,73.14,71.35,72.97,4300521,,,4139887,71.65117528467871,,,
2022-10-27T04:00:00,73.69,74.09,73.11,73.62,1323967,,,5463854,71.8966260548019,,,
2022-10-28T04:00:00,72.71,73.3,72.03,72.82,1526050,,,3937804,72.012641397307,,,
2022-10-31T04:00:00,71.39,72.64,70.72,71.53,3206505,,,731299,71.91183709169357,,,
2022-11-01T04:00:00,73.8,73.89,72.66,73.12,4804613,,,5535912,72.19981347471776,,,
2022-11-02T04:00:00,73.12,74.88,72.79,74.08,2838854,,,8374766,72.43192326008275,,,
2022-11-03T04:00:00,73.05,74.01,72.86,73.29,1507802,,,6866964,72.48472383099227,,,
2022-11-04T04:00:00,76.541,76.94,75.5,76.82,3773117,,,10640081,73.06320121077238,,,
2022-11-07T05:00:00,76.84,77.72,76.22,76.56,2231417,,,8408664,73.31896212967754,,,
2022-11-08T05:00:00,76.27,76.49,74.08,74.47,2539688,,,5868976,73.40741780536881,,,
2022-11-09T05:00:00,73.17,73.2,71.58,71.67,2585547,,,3283429,73.28135165503632,,,
2022-11-10T05:00:00,71.66,72.985,71.19,72.24,2020506,72.93023809523808,54.610712313638885,5303935,73.22547291277333,,,
2022-11-11T05:00:00,74.53,75.15,73.68,74.38,3189376,73.12353968253967,59.970089730807594,8493311,73.31562761560265,,,
2022-11-14T05:00:00,73.54,74.62,71.88,71.91,2680683,72.96173439153438,52.91479820627803,5812628,73.22905380963806,,,
2022-11-15T05:00:00,72.12,74.78,71.6,73.25,3318087,73.00016980599646,50.65789473684211,9130715,73.23053754408693,,,
2022-11-16T05:00:00,72.11,72.4664,71.38,72.04,3359552,72.87214716519694,46.38278388278388,5771163,73.15086545685861,,,
2022-11-17T05:00:00,71.15,71.44,69.52,70.14,5007000,72.50786087650401,44.1586748038361,764163,72.87780327177528,76.4492814330155,72.8235,69.19771856698449
2022-11-18T05:00:00,67.73,69.12,67.46,69.03,8367632,72.04414609297015,44.507908611599284,-7603469,72.37137249967024,76.61755295752977,72.7465,68.87544704247023
2022-11-21T05:00:00,66.67,69.37,65.37,69.03,12862852,71.6422599472408,40.34010392064239,-7603469,71.80910079801238,76.75444304340031,72.679,68.60355695659969
