start,low,high,open,close,volume
1723017600,220.89,220.99,220.99,220.92,7434
1723019400,221.19,221.19,221.19,221.19,125
1723020300,221.23,221.23,221.23,221.23,300
1723021200,221.44,221.44,221.44,221.44,3304
1723023000,221.44,221.44,221.44,221.44,111
1723024800,221.54,221.54,221.54,221.54,789
1723025700,221.36,221.49,221.49,221.37,815
1723026600,221.59,221.59,221.59,221.59,200
1723027500,221.57,221.62,221.57,221.62,3912
1723028400,221.5,221.6,221.6,221.5,2579
1723029300,221.61,221.67,221.61,221.65,3939
1723030200,221.36,221.69,221.69,221.36,4326
1723031100,221.51,222,221.51,221.93,6129
1723032000,220.56,222.1,221.5,222.07,10061
1723032900,221.78,222.229,222.08,221.78,18085
1723033800,221.79,222.05,221.79,222.05,7592
1723034700,222.15,222.49,222.15,222.39,2322
1723035600,222.07,222.25,222.16,222.16,24016
1723036500,221.85,222.16,222,221.91,5072
1723037400,221.72,222.31,221.94,221.88,399456
1723038300,221.56,221.92,221.8401,221.88,123257
1723039200,221.69,221.98,221.87,221.75,124670
1723040100,221.72,222.107,221.74,222.04,185611
1723041000,221.858,222.1637,222.02,221.925,196373
1723041900,221.67,222.05,221.9,221.76,247121
1723042800,221.68,222.02,221.76,221.87,173564
1723043700,221.59,221.92,221.89,221.67,86383
1723044600,221.23,221.6601,221.6601,221.24,147012
1723045500,221.11,221.44,221.23,221.34,147823
1723046400,221.275,221.486,221.34,221.47,94380
1723047300,221.26,221.48,221.455,221.34,79901
1723048200,221.17,221.63,221.32,221.545,104360
1723049100,221.51,221.8279,221.56,221.81,66333
1723050000,221.32,221.81,221.81,221.42,222213
1723050900,221.01,221.42,221.42,221.1,168162
1723051800,220.97,221.315,221.09,221.2,126075
1723052700,220.875,221.3,221.2,220.9,191155
1723053600,220.69,220.96,220.88,220.82,228176
1723054500,220.68,221.075,220.815,220.83,160562
1723055400,220.41,220.87,220.83,220.52,152289
1723056300,220.35,220.56,220.5,220.56,160962
1723057200,220.56,220.86,220.56,220.81,264192
1723058100,220.805,220.99,220.82,220.8801,164555
1723059000,220.82,220.98,220.9,220.85,254394
1723059900,220.5,220.92,220.85,220.5375,374451
1723060800,220.55,220.6796,220.55,220.61,477516
1723061700,220.25,220.51,220.5,220.25,5727
1723063500,220.24,220.32,220.32,220.26,836
1723064400,220.26,220.34,220.26,220.28,1110
1723065300,220.27,220.34,220.34,220.27,351
1723067100,220.27,220.27,220.27,220.27,897
1723068000,220.1,220.27,220.27,220.17,1904
1723068900,220,220.01,220,220.01,1032
1723069800,220.01,220.34,220.01,220.34,2174
1723070700,220.25,220.25,220.25,220.25,105
1723071600,220.1,220.36,220.25,220.36,569
1723072500,220.4899,220.4899,220.4899,220.4899,167
1723073400,220.42,220.42,220.42,220.42,125
1723074300,220.207,220.52,220.207,220.3,1520
1723104000,221.47,221.47,221.47,221.47,235
1723104900,221.37,221.37,221.37,221.37,200
1723106700,221.33,221.33,221.33,221.33,250
1723107600,221.62,221.62,221.62,221.62,200
1723110300,221.35,221.35,221.35,221.35,100
1723111200,221.62,221.62,221.62,221.62,300
1723113000,221.99,222,221.99,222,1200
1723113900,222.32,222.32,222.32,222.32,906
1723114800,222.34,222.88,222.34,222.8,7625
1723115700,222.75,222.91,222.75,222.83,10098
1723116600,222.46,222.75,222.75,222.62,12672
1723117500,222.6,223,222.61,222.9,60718
1723118400,221.16,223.02,222.376,223.02,32961
1723119300,222.89,223.15,223,223.15,21986
1723120200,222.53,222.96,222.6,222.65,39831
1723121100,222.51,222.69,222.67,222.52,13282
1723122000,222.29,222.57,222.42,222.29,19992
1723122900,222.02,222.81,222.13,222.81,9083
1723123800,222.515,223.22,222.73,223.22,394705
1723124700,222.66,223.21,223.21,223.1225,212676
1723125600,222.6504,223.74,223.13,223.53,531835
1723126500,223.44,224.03,223.5,224,483044
1723127400,223.36,224.04,224.01,223.56,185476
