start,low,high,open,close,volume
1666324800,151.83,154.31,151.98,154.15,7125600
1666584000,153.06,154.06,153.45,153.65,4998390
1666670400,153.83,154.79,153.9599,154,3587017
1666756800,154.78,155.73,154.78,154.98,4472602
1666843200,154.22,155.09,154.7148,154.74,3804502
1666929600,152.5,153.54,152.96,153.16,4951914
1667188800,151.89,152.8721,152.16,151.91,6517347
1667275200,152.87,153.98,153.82,153.46,4849607
1667361600,152.26,155.42,154.16,152.39,7310766
1667448000,150.5703,151.955,150.699,151.81,5483187
1667534400,154.66,156.6,154.95,156.47,7996403
1667797200,155.81,156.569,156.22,155.85,4425710
1667883600,155.975,159.87,155.99,159.45,11299635
1667970000,158.45,160.35,159.359,158.65,6040627
1668056400,161.655,163.51,162.01,163.48,9939858
1668142800,163.42,164.58,163.914,164.56,4618722
1668402000,164.15,165.24,164.2,164.92,6187552
1668488400,164.56,166.23,165.27,165.5,9903495
1668574800,164.8301,165.71,165.41,165.12,3645845
1668661200,163.4,164.1099,163.79,163.92,4578129
1668747600,162.68,163.69,163.38,162.79,4317433
1669006800,161.28,162.5,162.44,161.88,4766512
1669093200,161.72,162.6,162.3,162.07,3203837
1669179600,161.56,163.24,161.69,163.08,4167005
1669352400,162.765,163.43,162.85,163.22,1436508
1669611600,161.91,163.06,162.93,161.93,4053918
1669698000,162.6,163.6299,162.7,162.73,2620637
1669784400,162.4,164.81,163.69,164.81,4874746
1669870800,166.975,167.95,167.48,167.84,8625780
1669957200,165.76,167.47,166.18,167.26,5185316
1670216400,164.3201,166.72,166.55,164.39,5436175
1670302800,164.45,165.54,165.2,164.84,3597758
1670389200,165.318,166.64,165.4699,166.33,4610697
1670475600,166.07,167.045,166.58,166.47,3217874
1670562000,166.6,168.085,167.26,167.06,5430024
1670821200,165.43,166.6,166.438,165.68,3504409
1670907600,168.02,169.79,169.21,168.51,6750199
1670994000,167.14,168.81,168.43,168.1,5642965
1671080400,165.1,166.21,165.73,165.35,8370909
1671166800,165.84,166.98,166.02,166.79,5369428
1671426000,165.99,167.11,166.71,166.32,3940525
1671512400,168.03,169.53,168.1,169.08,7803118
1671598800,168.675,169.71,169.04,168.8,3990060
1671685200,166.06,167.7632,167.76,166.76,5672656
1671771600,166.66,167.795,166.8801,167.26,2910632
1672117200,167.8,170.61,167.89,168.67,6885715
1672203600,167.1,168.34,168.05,167.91,3662456
1672290000,168.52,169.35,168.54,168.85,3345874
1672376400,168.795,169.8999,169.26,169.64,2863242
1672722000,170.02,172.09,171.32,171.06,7992927
1672808400,171.845,173.09,172.86,172.67,7574633
1672894800,169.79,171,170.824,170.52,4692610
1672981200,171.23,173.96,171.76,173.71,7887480
1673240400,173.881,175.035,174.51,174.1,5134503
1673326800,174.06,174.98,174.61,174.74,4398411
1673413200,173.72,174.79,174.76,174.62,3374201
1673499600,174.88,176.71,176.01,176.64,6936919
1673586000,176.8934,178.825,176.96,178.76,7453969
1673931600,177.09,178.24,178.21,177.59,6610834
1674018000,176.9,179.18,178.92,177.08,5384664
1674104400,178.09,180.03,178.37,179.89,6678687
1674190800,178.645,179.66,179.06,179.29,5748000
1674450000,177.78,179.69,178.35,179.63,5265507
1674536400,178.35,180.32,179.56,180.28,4604628
1674622800,179.2925,181.22,179.35,181.11,6925348
1674709200,178.46,180.265,180.146,179.47,5860129
1674795600,178.262,179.72,179.27,179.22,5446381
1675054800,178.65,179.43,179.286,178.76,4210726
1675141200,178.54,179.699,178.82,179.41,5976888
1675227600,178.63,181.73,179.75,181.67,7996005
1675314000,177.74,181.11,181.08,177.9,8842396
1675400400,173.12,175.43,174.92,173.46,13604774
1675659600,173.28,174.455,174.11,173.82,8956963
1675746000,173.47,175.27,173.72,173.98,6794153
1675832400,173.83,174.99,174.942,174.41,4075638
1675918800,172.87,175.52,175.49,173.03,5361340
1676005200,172.63,173.68,173.63,173.36,2969111
1676264400,172.07,172.9014,172.7,172.48,3970786
1676350800,171.41,173.51,171.97,172.61,5403099
1676437200,170.16,170.99,170.6,170.89,5435337
1676523600,169.96,171.6,170.34,170.75,4540398
1676610000,169.52,171.47,169.87,171.26,4809021
1676955600,170.34,171.5,171.2,170.62,4035933
1677042000,169.56,170.96,170.81,169.66,4105675
1677128400,169.08,170.125,169.84,169.57,5073479
1677214800,168.19,168.84,168.42,168.35,6494007
1677474000,168.55,169.23,168.88,169.01,4509151
1677560400,168.59,170.25,168.781,169.78,6761585
1677646800,170.47,171.49,170.95,170.76,6590468
1677733200,170.36,170.975,170.52,170.66,3952266
1677819600,170.98,172.595,171.45,172.49,6893414
1678078800,171.54,172.37,172.32,171.62,4264124
1678165200,168.52,170.47,170.42,168.62,8713268
1678251600,168.52,169.59,168.61,168.54,5718595
1678338000,169.71,170.65,169.751,170.2,5582980
1678424400,171.92,173.88,171.93,173.87,13795560
1678680000,176.3,178.02,176.66,177.86,20549319
1678766400,176.21,177.59,177.35,176.83,10019032
1678852800,177.49,180.13,178.86,178.21,14546095
1678939200,177.87,179.654,179.51,178.57,10764872
1679025600,180.77,184.81,181.02,183.77,24100307
1679284800,182.74,184.54,184.19,183.84,11845678
1679371200,179.9,182.73,182.65,180.37,10734493
1679457600,180.28,183.94,180.4,183.44,11969561
1679544000,183.5996,186.24,183.91,185.74,11347149
1679630400,183.62,185.99,185.606,183.65,9245301
1679889600,180.69,182.15,181.15,181.95,6925046
1679976000,182.12,183.62,182.31,183.44,6202597
1680062400,182.24,183.27,182.49,182.53,4996493
1680148800,182.55,184.4401,182.75,184.18,6360296
1680235200,182.8,184.42,184.11,183.22,8000333
1680494400,183.32,185.035,183.85,184.54,9206635
1680580800,184.66,188.23,184.7224,187.98,13765361
1680667200,186.78,188.86,188.34,187.83,11440827
1680753600,185.95,187.26,186.8901,186.49,6648428
1681099200,184.19,185.36,185.18,185.11,6408114
1681185600,185.635,186.51,185.905,186.28,6031494
1681272000,185.97,187.66,187.54,187.19,10000948
1681358400,188.99,190.41,189.76,189.72,14060106
1681444800,185.17,188.4869,188.08,186.36,13268624
1681704000,184.1,185.93,185.89,185.53,7468047
1681790400,185.04,186.99,185.24,186.25,8056928
1681876800,184.28,185.58,184.3499,185.36,7373518
1681963200,185.78,187.03,186.14,186.09,5789908
1682049600,183.22,185.68,184.98,184.25,10698113
1682308800,183.46,185.025,184.07,184.81,8303396
1682395200,184.3,186.2204,184.84,185.75,8451933
1682481600,184.3,186.65,186.63,184.74,8203595
1682568000,183.38,184.989,183.9,184.75,9107425
1682654400,184.17,185.38,184.79,184.8,6699499
1682913600,183.91,186.22,186.05,183.97,7997658
1683000000,184.515,187.64,184.65,187.52,13554921
1683086400,186.93,189.205,187.61,189.11,11133826
1683172800,188.81,191.36,188.86,190.44,14146787
1683259200,185.77,187.58,186.56,187.46,12506885
1683518400,187.49,188.67,187.82,187.69,6075441
1683604800,188.07,189.33,188.12,189.02,7098810
1683691200,187.82,189.64,188.975,188.75,9392097
1683777600,186.86,188.81,188.44,187.13,8245523
1683864000,186.58,187.92,187.43,186.81,7084421
1684123200,187.032,187.88,187.3,187.21,5518086
1684209600,184.4601,186.82,186.58,184.87,9527806
1684296000,183.48,184.45,184.305,184.23,7474277
1684382400,181.335,182.28,182.1,181.84,8812591
1684468800,181.81,184.34,182.25,183.64,8432242
1684728000,182.91,183.84,183.22,183.21,4834298
1684814400,182.48,183.76,182.78,183.43,6345012
1684900800,181.77,183.54,183.54,181.95,6732940
1684987200,180.1,181.31,181.18,180.2,6919174
1685073600,180.09,181.3,181.01,180.92,5791553
1685419200,181.17,182.4,181.72,182.04,4906066
1685505600,182.1,183.445,182.39,182.32,8497893
1685592000,182.72,184.21,182.81,183.76,7300542
1685678400,180.96,183.56,183.53,181.05,8774111
1685937600,180.6,182.44,180.79,182.14,6402707
1686024000,181.52,182.65,182.36,182.34,4967156
1686110400,180.15,183,181.94,180.15,9066528
1686196800,181.96,183.04,182,182.53,6394890
1686283200,181.72,182.79,182.36,182.04,4380811
