start,low,high,open,close,volume
1695200400,179.11,179.18,179.11,179.18,443
1695204000,179.3,179.34,179.3,179.32,87855
1695207600,179.15,179.3,179.29,179.23,66068
1695211200,179.06,179.4,179.32,179.25,19738
1695214800,179.26,180.3,179.3,180.04,2068337
1695218400,180.01,180.4,180.02,180.34,1170908
1695222000,180.132,180.525,180.34,180.15,582157
1695225600,180.14,180.5999,180.145,180.59,504765
1695229200,180.46,180.66,180.6,180.55,984986
1695232800,179.9,180.62,180.55,180,1902450
1695236400,179.32,180.09,180.02,179.3391,1657007
1695240000,179,179.36,179.35,179.02,276709
1695243600,179.1,179.18,179.1,179.16,3690
1695247200,179.03,179.09,179.08,179.09,567
1695250800,179,179.13,179.13,179,1708
1695283200,178.44,178.73,178.64,178.44,3269
1695286800,178.35,178.45,178.35,178.45,1479
1695290400,178.58,178.65,178.58,178.62,6198
1695294000,178.19,178.55,178.55,178.19,122002
1695297600,177.57,179.09,178.27,177.71,58983
1695301200,177.59,178.035,177.85,177.8,1172540
1695304800,177.69,178.485,177.81,178.15,1745616
1695308400,177.87,178.25,178.16,177.8815,740241
1695312000,177.77,178.13,177.89,178.09,627242
1695315600,178.01,178.25,178.09,178.17,649267
1695319200,178.095,178.2594,178.18,178.12,583124
1695322800,178.04,178.2265,178.12,178.095,1308304
1695326400,178.05,178.14,178.05,178.11,501046
1695330000,178,178.01,178.01,178.01,5875
1695333600,178.01,178.17,178.01,178.08,14691
1695337200,178.15,178.27,178.27,178.15,1085
1695369600,178.6,178.6,178.6,178.6,106
1695373200,178.64,178.64,178.64,178.64,119
1695380400,178.6,178.79,178.6,178.71,6370
1695384000,178.52,178.74,178.53,178.63,13869
1695387600,178.57,178.8999,178.69,178.68,551639
1695391200,178.64,178.95,178.68,178.87,670778
1695394800,178.73,178.93,178.87,178.82,440813
1695398400,178.5799,178.9,178.825,178.6006,305284
1695402000,178.54,178.699,178.605,178.629,404693
1695405600,178.51,178.66,178.62,178.58,328531
1695409200,178.5295,178.65,178.57,178.63,630501
1695412800,178.55,178.63,178.63,178.61,227256
1695416400,178.6,178.6,178.6,178.6,277
1695420000,178.61,178.61,178.61,178.61,496
1695423600,178.61,178.62,178.61,178.62,1670
1695628800,178.28,178.4,178.4,178.28,599
1695632400,178.28,178.28,178.28,178.28,800
1695639600,178.53,178.54,178.54,178.53,6500
1695643200,178.22,178.75,178.54,178.6,4655
1695646800,178.31,178.71,178.65,178.6,722782
1695650400,177.66,178.62,178.595,177.83,1710153
1695654000,177.735,178.02,177.82,177.87,687665
1695657600,177.69,177.94,177.88,177.8,318131
1695661200,177.64,177.89,177.8,177.73,331023
1695664800,177.65,177.845,177.73,177.7,450901
1695668400,177.67,177.75,177.71,177.7,1093854
1695672000,177.67,177.74,177.7,177.73,234033
1695675600,177.82,177.83,177.82,177.83,459
1695679200,177.71,177.76,177.72,177.76,16300
1695682800,177.7,177.78,177.7,177.78,1030
1695715200,177.5,177.67,177.5,177.55,1228
1695718800,177.45,177.48,177.45,177.47,990
1695722400,177.3,177.34,177.33,177.34,1865
1695726000,177.25,177.31,177.3,177.31,4383
1695729600,176.75,177.55,177.31,177.14,58771
1695733200,176.675,177.12,177.1,176.89,912117
1695736800,176.77,177.14,176.9,176.845,810555
1695740400,176.31,176.855,176.845,176.47,1502737
1695744000,176.33,176.58,176.48,176.365,448850
1695747600,176.3025,176.46,176.36,176.355,900929
1695751200,176.16,176.395,176.353,176.24,845595
1695754800,176.1901,176.34,176.24,176.29,1263287
1695758400,176.28,176.37,176.28,176.36,412537
1695765600,176.36,176.3888,176.36,176.3888,602
1695769200,176.42,176.42,176.42,176.42,430
1695801600,175.85,176,176,175.93,1545
1695805200,175.78,175.8,175.8,175.78,744
1695808800,175.7,175.8,175.8,175.7,5854
1695812400,175.59,175.74,175.74,175.67,30000
1695816000,175.25,175.79,175.69,175.54,132344
1695819600,174.81,175.53,175.45,175.12,1197838
1695823200,174.74,175.24,175.13,174.74,1392155
1695826800,174.37,174.87,174.74,174.54,1600379
1695830400,173.97,174.54,174.54,174.015,1239097
1695834000,173.72,174.15,174.015,173.91,1884434
1695837600,173.7,174.18,173.92,174.035,1321725
1695841200,173.97,174.245,174.03,174.1,1626067
1695844800,173.91,174.12,174.1,173.91,324812
1695848400,173.84,173.95,173.93,173.84,618
1695852000,173.93,174.12,173.93,174.03,13617
1695855600,174.09,174.13,174.13,174.09,3006
1695888000,174.05,174.05,174.05,174.05,116
1695891600,173.92,174.12,173.92,174.12,1003
1695898800,173.95,174.08,173.95,174.06,3735
1695902400,173.65,174.34,173.97,173.68,92316
1695906000,173.59,174.135,173.68,173.7596,1163097
1695909600,173.02,174.07,173.75,173.03,1784443
1695913200,172.32,173.1,173.03,172.98,2707891
1695916800,172.7501,173.085,172.99,172.87,584615
1695920400,172.63,172.94,172.87,172.725,753012
1695924000,172.685,173.1,172.73,173.07,794569
1695927600,172.985,173.25,173.08,173.22,1560118
1695931200,172.98,173.7815,173.21,173.05,439656
1695934800,173,173.12,173,173.12,5437
1695938400,172.9,173.05,173.05,172.92,974
1695942000,173,173.18,173,173.18,1480
1695974400,173.64,173.71,173.71,173.64,593
1695978000,173.59,173.8,173.59,173.8,2326
1695981600,173.7,173.75,173.75,173.7,1453
1695985200,173.26,173.67,173.64,173.35,6792
1695988800,173.34,173.82,173.68,173.82,31149
1695992400,173.485,174.381,173.82,173.5,1185959
1695996000,172.4,173.64,173.5114,172.62,1656425
1695999600,171.8205,172.62,172.62,172.06,1457513
1696003200,171.88,172.21,172.06,171.96,782608
1696006800,171.58,171.95,171.95,171.605,1110698
1696010400,171.265,171.69,171.61,171.51,1752075
1696014000,171.43,171.63,171.515,171.45,1930657
1696017600,171.4,171.58,171.45,171.53,483927
1696021200,171.38,171.5,171.5,171.499,4760
1696024800,171.49,171.49,171.49,171.49,101
1696028400,171.3,171.43,171.36,171.4,2138
1696233600,170.67,170.94,170.76,170.67,6990
1696237200,170,170.58,170.58,170.08,31770
1696240800,170.06,170.31,170.17,170.06,5946
1696244400,170.1,170.5,170.15,170.49,17221
1696248000,170.06,171.11,170.06,170.32,26488
1696251600,169.96,170.5,170.33,170.11,2464140
1696255200,169.5,170.4,170.1,169.66,3095976
1696258800,169.52,170.18,169.67,169.995,1284817
1696262400,169.8,170.06,170,169.919,904024
1696266000,169.86,170.1,169.915,169.935,1050462
1696269600,169.77,170.08,169.93,169.81,580396
1696273200,169.66,169.8,169.8,169.68,2351370
1696276800,169.52,169.71,169.65,169.65,797749
1696280400,169.5087,169.59,169.5087,169.56,805
1696284000,169.52,169.65,169.61,169.5649,1960
1696287600,168.92,169.53,169.53,169.31,16254
1696320000,169.25,169.45,169.25,169.45,9821
1696323600,169.19,169.19,169.19,169.19,203
1696327200,169.36,169.42,169.36,169.42,300
1696330800,169.24,169.4,169.35,169.36,2751
1696334400,168.78,169.73,169.4,169.3,17184
1696338000,169.11,169.88,169.28,169.66,1236280
1696341600,168.745,170.08,169.65,169.43,2887073
1696345200,169,169.63,169.42,169.26,1310365
1696348800,169.09,169.58,169.27,169.18,1329244
1696352400,169.09,169.385,169.19,169.16,1054597
1696356000,168.99,169.325,169.15,169.17,934694
1696359600,169.13,169.32,169.17,169.17,2214744
1696363200,169.1,169.27,169.16,169.1,451500
1696366800,169.0301,169.2,169.0813,169.0301,3492
1696370400,169.23,169.23,169.23,169.23,101
1696374000,169.01,169.1,169.01,169.1,200
1696406400,168.9,169.1,169.08,169.1,5201
1696410000,169.01,169.23,169.23,169.1,2839
1696413600,168.98,169.02,168.99,168.98,2421
1696417200,169.16,169.49,169.16,169.28,20997
1696420800,168.49,169.8,169.32,169.57,81369
1696424400,168.605,169.52,169.5,168.88,1343801
1696428000,168.55,168.9851,168.79,168.6713,1296707
1696431600,168.57,169.41,168.675,169.18,1171331
1696435200,168.905,169.2,169.19,168.915,904056
1696438800,168.65,168.95,168.9,168.66,478209
1696442400,168.5,168.7,168.66,168.605,952339
1696446000,168.565,169.17,168.59,169.135,3296692
1696449600,168.87,169.14,169.14,168.87,345093
1696453200,168.95,169.05,169.05,168.99,2471
1696456800,168.94,169.1,169.1,169.01,2434
1696460400,169.02,169.13,169.1,169.05,11049
1696496400,168.8,169.03,168.8,169,1615
1696500000,168.9,169.11,168.95,169.1,5200
1696503600,168.88,169.1,169.1,168.88,21674
1696507200,168.21,169.65,169.1,168.46,68384
1696510800,168.27,169,168.42,168.89,984671
1696514400,168.5,168.92,168.88,168.81,1053759
1696518000,168.3,168.81,168.81,168.4,1763426
1696521600,168.33,168.67,168.4,168.6401,651556
1696525200,168.43,168.7701,168.645,168.74,584249
1696528800,168.69,168.88,168.74,168.8301,391358
1696532400,168.78,168.905,168.84,168.85,1085926
1696536000,168.77,168.86,168.83,168.81,352913
1696539600,168.8057,168.9,168.8301,168.8066,604
1696546800,169,169.13,169,169.13,280
1696579200,168.8,168.88,168.8,168.88,553
1696582800,168.87,168.99,168.99,168.87,326
1696590000,168.9,169.04,168.93,168.9,9942
1696593600,167.9305,169.11,168.9,168.43,116063
1696597200,168.29,169.3899,168.38,168.94,1221175
1696600800,168.92,169.9202,168.96,169.18,2684594
1696604400,169.17,170.23,169.17,170.02,2048145
1696608000,169.68,170.09,170.029,169.7,1209775
1696611600,169.66,169.975,169.69,169.94,433903
1696615200,169.91,170.15,169.95,169.955,418590
1696618800,169.675,169.96,169.96,169.7,1519858
1696622400,169.7,169.95,169.7,169.92,267865
1696626000,169.97,170.03,170.03,170.01,3468
1696629600,169.94,170.02,170.0187,170.02,3703
1696633200,170.01,170.14,170.01,170.14,2925
1696838400,171,171.65,171,171.64,25025
1696842000,171.67,171.78,171.67,171.67,7571
1696845600,171.6,171.69,171.69,171.64,3211
1696849200,171.5,171.61,171.61,171.55,61733
1696852800,171.11,171.95,171.5205,171.37,53550
1696856400,171.0601,171.48,171.38,171.17,909567
1696860000,171.14,171.83,171.16,171.785,1562964
1696863600,171.65,171.9,171.7877,171.755,2715616
1696867200,171.475,171.77,171.75,171.61,745512
1696870800,171.6,172.1,171.6,172.01,732185
1696874400,172,172.31,172.005,172.26,728986
1696878000,172.255,172.86,172.255,172.85,2233040
1696881600,172.63,172.83,172.82,172.66,401438
1696885200,172.66,172.7791,172.66,172.7791,721
1696888800,172.66,172.71,172.69,172.71,1130
1696892400,172.61,172.69,172.6896,172.67,10221
1696924800,172.2,172.44,172.2,172.43,4029
1696928400,172.4,172.45,172.41,172.45,2000
1696932000,172.22,172.36,172.3,172.25,3323
1696935600,172.02,172.21,172.15,172.14,12606
1696939200,171.96,172.5,172.15,172.02,36577
1696942800,171.9,172.31,172.05,172.2901,649387
1696946400,171.9,172.41,172.3,172.195,873357
1696950000,172.15,172.7484,172.209,172.64,891787
1696953600,172.375,172.7599,172.64,172.71,645070
1696957200,172.36,172.795,172.7,172.39,837429
1696960800,172.35,172.54,172.38,172.455,595435
1696964400,172.355,172.56,172.46,172.525,1051451
1696968000,172.49,172.58,172.53,172.52,229801
1696971600,172.51,172.66,172.51,172.6341,374
1696975200,172.41,172.44,172.41,172.44,221
1696978800,172.55,172.62,172.56,172.55,2225
1697011200,172.78,173.38,172.78,173.38,1011
1697014800,173.37,173.52,173.42,173.5,261185
1697018400,173.46,173.78,173.51,173.78,160207
1697022000,173.56,173.84,173.77,173.6,38858
1697025600,172.9,173.83,173.75,173.7,46714
1697029200,173.26,173.89,173.74,173.655,781006
1697032800,173.3575,173.68,173.65,173.5582,999609
1697036400,173.385,173.79,173.54,173.725,789621
1697040000,173.7,174.125,173.72,173.855,913379
1697043600,173.515,173.89,173.85,173.6328,555868
1697047200,173.53,173.8,173.58,173.675,398258
1697050800,173.68,173.85,173.68,173.79,1660475
1697054400,173.79,173.88,173.79,173.82,503767
1697058000,173.85,173.96,173.85,173.95,2282
1697061600,173.8501,173.95,173.95,173.91,456
1697065200,173.89,173.98,173.89,173.93,591
1697097600,174.25,174.37,174.25,174.37,1308
1697101200,174.43,174.5,174.43,174.5,603
1697104800,174.48,174.53,174.48,174.51,1080
1697108400,174.5,174.76,174.5,174.69,23862
1697112000,173.99,174.8,174.4911,174.32,103021
1697115600,173.71,174.35,174.31,173.8,755458
1697119200,173.52,174.04,173.785,173.635,989585
1697122800,173.502,173.76,173.63,173.65,588913
1697126400,173.53,173.77,173.66,173.5864,326600
1697130000,173.25,173.64,173.595,173.35,915342
1697133600,173.24,173.515,173.34,173.29,885341
1697137200,173.25,173.455,173.298,173.28,940728
1697140800,173.26,173.34,173.28,173.34,225608
1697148000,173.46,173.726,173.726,173.47,4012
1697151600,173.44,173.52,173.46,173.47,2208
1697184000,174.53,174.68,174.53,174.68,3024
1697187600,174.77,175.03,174.77,175.03,2443
1697191200,175.06,175.25,175.06,175.25,52836
1697194800,175.05,176.16,175.05,175.88,43621
1697198400,174.4,177.94,175.04,177.44,442720
1697202000,176.72,177.43,177.4,177.195,2126300
1697205600,176.8832,178.17,177.19,178.16,3173204
1697209200,177.81,178.37,178.16,178.35,1977656
1697212800,178.3,178.78,178.36,178.7454,2715171
1697216400,178.71,179.01,178.75,178.86,2970902
1697220000,178.805,179.095,178.87,178.9,1194659
1697223600,178.81,178.92,178.9,178.84,2887178
1697227200,178.82,179.23,178.84,179.23,991565
1697230800,179.09,179.28,179.28,179.2,124793
