start,low,high,open,close,volume
1730753520,252.74,252.78,252.765,252.78,36006
1730753580,252.77,252.8,252.78,252.8,47150
1730753640,252.8019,252.83,252.82,252.81,29230
1730753700,252.8,252.84,252.81,252.8317,24437
1730753760,252.825,252.86,252.83,252.855,41300
1730753820,252.85,252.87,252.85,252.8622,28676
1730753880,252.86,252.88,252.865,252.87,43510
1730753940,252.81,252.87,252.865,252.83,38012
1730754000,252.83,252.84,252.83,252.84,231953
1730754060,252.84,252.86,252.84,252.86,4100
1730754480,252.76,252.83,252.83,252.78,42655
1730754600,252.78,252.8,252.78,252.8,467
1730754840,252.74,252.75,252.74,252.75,223
1730754900,252.75,252.75,252.75,252.75,105
1730755020,252.74,252.74,252.74,252.74,206
1730755320,252.729,252.729,252.729,252.729,203
1730755560,252.71,252.71,252.71,252.71,514
1730755620,252.68,252.68,252.68,252.68,151
1730755740,252.73,252.73,252.73,252.73,505
1730755800,252.71,252.71,252.71,252.71,3049
1730755860,252.73,252.73,252.73,252.73,184
1730755920,252.74,252.74,252.74,252.74,132
1730756340,252.7596,252.7596,252.7596,252.7596,103
1730756700,252.71,252.71,252.71,252.71,186
1730760660,252.83,252.83,252.83,252.83,234
1730760960,252.85,252.85,252.85,252.85,719
1730761020,252.85,252.85,252.85,252.85,879
1730761080,252.85,252.9,252.85,252.9,335
1730761140,252.93,252.93,252.93,252.93,306
1730761200,252.72,252.93,252.93,252.72,1931
1730761260,252.83,252.87,252.87,252.83,1398
1730761320,252.84,252.85,252.85,252.84,1000
1730761440,252.83,252.83,252.83,252.83,625
1730761500,252.82,252.83,252.82,252.83,1500
1730761620,252.8199,252.8199,252.8199,252.8199,1785
1730761920,252.81,252.81,252.81,252.81,148
1730761980,252.81,252.81,252.81,252.81,476
1730762040,252.7895,252.79,252.7895,252.79,602
1730763000,252.77,252.77,252.77,252.77,146
1730763120,252.73,252.73,252.73,252.73,112
1730763300,252.73,252.73,252.73,252.73,151
1730763420,252.7866,252.7866,252.7866,252.7866,504
1730764620,252.73,252.73,252.73,252.73,188
1730765100,252.65,252.65,252.65,252.65,100
1730765280,252.56,252.56,252.56,252.56,388
1730765640,252.54,252.54,252.54,252.54,104
1730765700,252.53,252.53,252.53,252.53,374
1730765760,252.55,252.55,252.55,252.55,327
1730767200,252.68,252.68,252.68,252.68,101
1730767260,252.7696,252.7696,252.7696,252.7696,105
1730767380,252.7696,252.7696,252.7696,252.7696,100
1730767500,252.7696,252.7696,252.7696,252.7696,112
1730767560,252.7696,252.7696,252.7696,252.7696,103
1730767620,252.7696,252.7696,252.7696,252.7696,100
1730767680,252.57,252.57,252.57,252.57,103
1730767740,252.74,252.74,252.74,252.74,200
1730767800,252.5945,252.72,252.72,252.5945,333
1730767980,252.7,252.7,252.7,252.7,102
1730768040,252.72,252.72,252.72,252.72,126
1730768100,252.68,252.68,252.68,252.68,101
1730768160,252.68,252.68,252.68,252.68,100
1730797200,253,253.26,253,253.26,1629
1730797260,253.37,253.37,253.37,253.37,712
1730797320,253.31,253.31,253.31,253.31,317
1730797680,253.24,253.24,253.24,253.24,100
1730799060,253.28,253.28,253.28,253.28,103
1730799120,253.25,253.26,253.25,253.26,1350
1730799300,253.2,253.2,253.2,253.2,794
1730799540,253.2,253.2,253.2,253.2,688
1730799660,253.26,253.26,253.26,253.26,413
1730799780,253.27,253.27,253.27,253.27,126
1730801340,252.9,252.9,252.9,252.9,129
1730802840,252.92,252.92,252.92,252.92,225
1730803080,252.84,252.84,252.84,252.84,100
1730803320,252.87,252.87,252.87,252.87,101
1730803500,252.97,252.97,252.97,252.97,104
1730803800,252.87,252.87,252.87,252.87,125
1730804040,252.87,252.87,252.87,252.87,353
1730804520,253.05,253.05,253.05,253.05,837
1730804880,253,253,253,253,100
1730806080,253.1,253.1,253.1,253.1,481
1730807520,253.24,253.24,253.24,253.24,150
