start,low,high,open,close,volume
1713168000,217.49,218.05,218.05,217.6,5721
1713169800,217.08,217.52,217.52,217.45,4974
1713171600,217.36,217.8,217.8,217.4,5077
1713173400,217.34,217.45,217.34,217.39,6956
1713175200,217.45,217.6,217.5,217.52,13093
1713177000,217.51,218.05,217.55,218.05,11265
1713178800,218.08,218.54,218.19,218.19,33120
1713180600,218.17,218.38,218.25,218.25,15407
1713182400,217.85,218.55,218.22,218.18,83019
1713184200,217.71,218.34,218,218.08,34770
1713186000,217.67,218.56,218.44,217.92,49608
1713187800,216.89,218.05,217.94,217.4259,1829384
1713189600,215.16,217.47,217.41,215.94,1928890
1713191400,215.99,217.77,216,217.5,931555
1713193200,216.85,217.7,217.49,217.6589,512972
1713195000,217.05,217.8,217.66,217.69,610782
1713196800,217.3,217.74,217.74,217.405,308920
1713198600,217.2,218.46,217.399,218.1949,489812
1713200400,217.92,219.16,218.185,219.13,522377
1713202200,218.68,219.44,219.12,218.99,983762
1713204000,218.8297,219.32,218.97,219.15,339656
1713205800,219.12,220.149,219.13,219.94,890670
1713207600,219.77,221.03,219.94,220.72,1063715
1713209400,220.452,221,220.7133,220.93,2008918
1713211200,220.6,220.95,220.91,220.61,343056
1713213000,220.33,220.76,220.58,220.64,151985
1713214800,220.64,220.77,220.66,220.67,12286
1713216600,220.6,220.95,220.6682,220.95,1608
1713218400,220.58,221.41,220.6,220.99,20175
1713220200,220.5,220.9,220.89,220.74,1729
1713222000,220.7,220.99,220.83,220.8,5845
1713223800,220.36,220.82,220.82,220.38,3732
1713254400,218.91,220.5,220.5,219.44,11177
1713256200,219.39,219.45,219.45,219.39,1300
1713258000,219.21,219.59,219.41,219.22,1837
1713261600,219.55,219.85,219.85,219.55,3063
1713263400,219.35,219.48,219.39,219.4,53433
1713265200,219.45,219.81,219.45,219.47,9200
1713267000,219.52,219.83,219.52,219.8,8600
1713268800,219,221.04,219.59,219.65,34433
1713270600,219.5606,220.1,219.63,219.93,42908
1713272400,219.46,220.27,219.9,220.18,40448
1713274200,218.92,220.19,220.18,219.02,1482566
1713276000,218.78,219.555,219.01,219.05,1010973
1713277800,219.04,220.63,219.07,220.61,1133160
1713279600,220.11,221.5362,220.595,220.32,1349836
1713281400,220.17,221.07,220.26,220.87,430728
1713283200,220.81,221.4,220.875,221.14,576614
1713285000,221.15,221.99,221.15,221.93,522510
1713286800,220.88,221.9499,221.94,221.21,649752
1713288600,220.29,221.25,221.21,220.73,641464
1713290400,220.65,221.83,220.805,221.16,489670
1713292200,220.975,221.57,221.19,221.46,274973
1713294000,221.41,221.73,221.48,221.6601,407469
1713295800,221.15,221.695,221.69,221.22,954510
1713297600,220.79,221.27,221.22,220.8,199022
1713299400,220.16,220.88,220.84,220.54,28197
1713301200,220.48,220.64,220.64,220.49,6228
1713303000,220.38,220.4999,220.44,220.44,3155
1713304800,220.5,220.8,220.5,220.8,8138
1713306600,220.6,220.77,220.77,220.71,1464
1713308400,220.52,220.98,220.98,220.77,2728
1713310200,220.52,220.78,220.52,220.77,3363
1713340800,220.25,220.52,220.52,220.25,500
1713342600,221.33,221.5,221.33,221.5,953
1713344400,221.3,221.48,221.3,221.48,427
1713346200,221.32,221.41,221.41,221.32,1577
1713349800,220.9,220.9,220.9,220.9,606
1713351600,221,221.2,221,221.2,852
1713353400,221.01,221.15,221.15,221.01,2270
1713355200,219.88,221.31,220.86,220.61,10557
1713357000,220.1606,220.65,220.59,220.65,10472
1713358800,220.65,221.11,220.69,221.09,16505
1713360600,221.05,221.72,221.05,221.53,942703
1713362400,220.85,221.51,221.51,221.425,1117769
1713364200,221.03,221.76,221.42,221.28,655290
1713366000,220.611,221.57,221.28,220.76,1235288
1713367800,220.47,221.04,220.77,220.52,669937
1713369600,220.19,220.72,220.54,220.27,742929
1713371400,218.52,220.2899,220.2899,219.6,1596601
