start,low,high,open,close,volume
1723017600,206,206.93,206.02,206.81,28068
1723018500,206.67,206.94,206.82,206.75,10979
1723019400,206.71,207.2,206.88,207,5999
1723020300,207.06,207.93,207.06,207.86,4259
1723021200,207.62,207.96,207.84,207.75,5338
1723022100,207.53,207.88,207.68,207.82,8507
1723023000,207.72,208.08,207.72,207.81,21134
1723023900,207.79,208.19,207.79,208.14,28682
1723024800,208.1,208.47,208.2,208.32,23656
1723025700,207.93,208.3,208.3,208.08,12077
1723026600,208.08,208.41,208.36,208.19,30023
1723027500,208.13,208.42,208.14,208.29,53044
1723028400,207.94,208.36,208.25,207.95,68275
1723029300,207.9,208.5,207.92,208.18,21572
1723030200,207.73,208.18,208.16,207.96,58935
1723031100,207.54,208.01,207.93,207.77,70034
1723032000,205.56,208.48,208.1,207.84,79068
1723032900,207.55,208.1,207.83,207.55,66475
1723033800,207.65,208.01,207.82,207.78,91660
1723034700,207.63,207.93,207.76,207.93,39623
1723035600,207.46,208.03,207.93,207.54,91958
1723036500,207.48,207.96,207.59,207.9,102701
1723037400,206.48,207.96,207.85,207.37,2819009
1723038300,206.85,207.78,207.4,207.7,1623698
1723039200,206.47,207.89,207.69,206.47,1302422
1723040100,205.44,206.82,206.46,205.5574,1488360
1723041000,205.4,206.49,205.58,206.47,1098585
1723041900,206.15,207,206.495,206.235,643482
1723042800,206.035,206.88,206.25,206.36,547435
1723043700,205.77,206.66,206.36,206.05,1193553
1723044600,205.4,206.52,206.09,205.415,514715
1723045500,204.85,205.77,205.43,205.58,753513
1723046400,204.82,205.74,205.55,205.54,545368
1723047300,205.19,205.8,205.52,205.65,539843
1723048200,204.95,205.66,205.65,204.98,459149
1723049100,203.97,205.19,204.98,204.3,787060
1723050000,203.15,204.52,204.29,203.43,983526
1723050900,202.85,203.99,203.41,203.46,1073440
1723051800,203.35,204.08,203.46,203.35,694241
1723052700,202.38,203.5,203.34,202.8,705550
1723053600,201.88,203.01,202.74,201.9,1201143
1723054500,201.69,202.33,201.89,202.03,1381162
1723055400,201.7,202.28,202.02,202.05,727116
1723056300,201.57,202.35,202.03,201.95,790571
1723057200,201.82,203.11,201.94,202.48,793077
1723058100,202.485,203.0499,202.49,202.79,641871
1723059000,202.36,203.12,202.77,202.54,1185616
1723059900,201.56,202.88,202.53,202.05,3145544
1723060800,201.77,202.27,201.98,202,884658
1723061700,201.3,202.01,202,201.43,222533
1723062600,201.31,201.7,201.48,201.56,55021
1723063500,200.9,201.98,201.59,201.1,464367
1723064400,200.71,201.16,201.1,200.89,32144
1723065300,200.86,201.98,200.86,201.14,158078
1723066200,201.26,201.4,201.29,201.38,1484
1723067100,201.17,201.25,201.17,201.25,1050
1723068000,201.14,201.55,201.25,201.14,21979
1723068900,201.12,201.6,201.12,201.6,7156
1723069800,201.6,201.79,201.69,201.63,20901
1723070700,201.3,201.65,201.65,201.42,6213
1723071600,201.4,201.4,201.4,201.4,102
1723072500,200.83,201.28,201.28,200.84,4590
1723073400,199.99,200.85,200.85,200.5,95446
1723074300,200.5,200.98,200.5,200.98,51051
1723104000,200.87,201.42,200.96,201.42,16514
1723104900,201,201.54,201.43,201,5303
1723105800,201.19,201.48,201.24,201.43,3948
1723106700,201.48,202,201.54,201.99,7279
1723107600,201.89,202.22,202.08,201.92,8087
1723108500,201.43,201.96,201.76,201.57,5718
1723109400,201.12,201.6,201.6,201.12,2676
1723110300,200.68,201.23,201.11,201.03,7865
1723111200,200.84,201.13,200.9,201.13,2823
1723112100,201.21,201.4,201.31,201.32,3156
1723113000,201.29,201.45,201.4,201.29,5665
1723113900,200.91,201.65,201.49,200.91,8753
1723114800,200.77,201.68,200.99,201.62,23642
1723115700,201.39,201.87,201.55,201.75,21861
1723116600,201.55,202,201.76,201.59,15919
1723117500,201.58,201.92,201.65,201.73,40229
1723118400,200.75,202.76,201.03,201.78,150590
1723119300,201.32,201.8,201.75,201.75,88070
1723120200,201.95,205.68,201.95,205.07,505122
1723121100,203.78,205,204.73,203.82,117902
1723122000,203.06,204.56,203.85,204.54,269573
1723122900,204.09,204.99,204.45,204.45,180309
1723123800,203.17,204.46,204.42,203.44,2234485
1723124700,203.27,204.76,203.46,204.55,1567825
1723125600,204.3,205.3,204.57,204.7,1414756
1723126500,204.39,205.57,204.68,205.53,978939
1723127400,204.84,205.7,205.52,204.955,595857
1723128300,204.94,205.83,204.99,205.78,503163
1723129200,205.0603,205.79,205.77,205.09,480407
1723130100,204.9,205.72,205.13,205.41,687150
1723131000,205.14,205.72,205.4,205.22,663435
1723131900,205.01,205.685,205.23,205.47,411713
1723132800,205.35,205.95,205.43,205.5,399577
1723133700,205.201,205.66,205.4701,205.51,392915
1723134600,204.64,205.54,205.52,205.15,829684
1723135500,205.12,205.6,205.12,205.34,339505
1723136400,204.72,205.66,205.35,205.6119,874720
1723137300,205.505,206.49,205.58,206.45,613976
1723138200,206.38,206.74,206.49,206.5,523000
1723139100,206.19,206.6199,206.53,206.25,508174
1723140000,206.15,206.65,206.25,206.555,537160
1723140900,206.295,206.82,206.55,206.5,648359
1723141800,206.21,206.81,206.51,206.4,579484
1723142700,206.34,206.73,206.385,206.48,763628
1723143600,206.13,206.98,206.47,206.84,828581
1723144500,206.47,207,206.86,206.56,877930
1723145400,205.89,206.65,206.575,206.52,1843553
1723146300,206.06,206.88,206.51,206.86,2778182
1723147200,206.72,207.29,206.89,206.77,1632050
1723148100,206.78,207.1896,206.82,207.07,256831
1723149000,206.9,207.14,207.06,207.12,55526
1723149900,206.89,207.15,207.13,206.89,22629
1723150800,206.89,206.99,206.99,206.97,7653
1723151700,206.8,206.97,206.97,206.8,22099
1723152600,206.52,206.89,206.8,206.63,8311
1723153500,206.73,206.89,206.89,206.73,46078
1723154400,206.6717,206.99,206.76,206.77,10910
1723155300,206.58,206.89,206.65,206.89,2405
1723156200,206.58,207,206.97,206.61,6512
1723157100,206.57,206.69,206.61,206.69,1245
1723158000,206.75,207.2,206.75,207.19,26998
1723158900,206.58,207.19,207.19,206.64,15909
1723159800,206.76,206.83,206.83,206.76,2788
1723160700,206.98,207.2394,206.98,207.19,55655
1723190400,207.55,208.07,207.55,207.7,12211
1723191300,207.59,207.84,207.59,207.73,11352
1723192200,207.85,208.42,207.85,208.37,10157
1723193100,208.35,208.54,208.5,208.51,3485
1723194000,208.1,208.54,208.54,208.24,2443
1723194900,208.29,208.41,208.38,208.41,2791
1723195800,207.87,208.1,208.05,207.87,1177
1723196700,207.85,207.98,207.87,207.93,3245
1723197600,207.45,207.8,207.8,207.7,3365
1723198500,207.43,207.71,207.69,207.7,5002
1723199400,207.43,207.73,207.73,207.43,559
1723200300,207.37,207.5,207.46,207.37,1519
1723201200,207.38,207.5,207.43,207.38,5940
1723202100,207.23,207.78,207.38,207.4,27786
