start,low,high,open,close,volume
1728460800,216.88,216.93,216.88,216.93,2600
1728461100,216.81,216.91,216.87,216.81,678
1728461400,216.78,216.91,216.78,216.8,2625
1728461700,216.71,216.84,216.83,216.71,4527
1728462000,216.64,216.73,216.66,216.71,3107
1728462300,216.58,216.71,216.66,216.65,3047
1728462600,216.55,216.72,216.63,216.72,990
1728463200,216.75,216.85,216.75,216.8,706
1728463800,216.75,216.75,216.75,216.75,331
1728464100,216.88,216.93,216.88,216.93,471
1728464400,216.98,216.98,216.98,216.98,194
1728464700,216.91,216.94,216.91,216.94,273
1728465300,217.04,217.05,217.05,217.04,651
1728465600,217.08,217.14,217.1,217.14,2543
1728465900,217.23,217.23,217.23,217.23,131
1728466200,217.2,217.2,217.2,217.2,4261
1728466500,217.13,217.17,217.17,217.13,635
1728467400,217.35,217.35,217.35,217.35,160
1728468000,217.29,217.29,217.29,217.29,135
1728468600,217.26,217.26,217.26,217.26,100
1728468900,217.34,217.38,217.37,217.34,3751
1728469200,217.28,217.34,217.28,217.34,361
1728469800,217.34,217.34,217.34,217.34,550
1728470100,217.33,217.38,217.38,217.35,426
1728470700,217.41,217.44,217.43,217.41,5396
1728471000,217.46,217.46,217.46,217.46,104
1728471300,217.53,217.54,217.54,217.53,413
1728471600,217.44,217.54,217.52,217.44,5412
1728471900,217.33,217.44,217.44,217.33,2671
1728472200,217.4,217.41,217.41,217.4,477
1728472500,217.38,217.42,217.42,217.38,675
1728472800,217.35,217.4,217.37,217.35,1710
1728473100,217.37,217.45,217.45,217.38,1876
1728473400,217.3,217.4,217.3,217.4,2802
1728473700,217.35,217.38,217.35,217.38,969
1728474000,217.43,217.57,217.43,217.57,2433
1728474300,217.65,217.66,217.65,217.66,3616
1728474600,217.56,217.67,217.56,217.67,3718
1728474900,217.61,217.64,217.64,217.61,1679
1728475200,216.42,217.74,217.61,217.63,23692
1728475500,217.57,217.7,217.66,217.68,8632
1728475800,217.66,217.84,217.66,217.72,12503
1728476100,217.66,217.86,217.75,217.86,7922
1728476400,217.74,217.82,217.81,217.74,3192
1728476700,217.6,217.75,217.6,217.69,7969
1728477000,217.5,217.66,217.64,217.5775,11475
1728477300,217.379,217.59,217.56,217.4,15395
1728477600,217.21,217.38,217.38,217.21,12825
1728477900,217.12,217.28,217.18,217.28,28227
1728478200,217.25,217.41,217.3,217.39,3548
1728478500,217.38,217.5,217.38,217.5,5925
1728478800,217.46,217.56,217.46,217.56,1259
1728479100,217.5,217.63,217.54,217.63,3387
1728479400,217.57,217.68,217.62,217.57,2248
1728479700,217.53,217.69,217.53,217.66,3240
1728480000,217.51,217.66,217.66,217.51,2672
1728480300,217.61,217.69,217.67,217.64,2474
1728480600,216.92,217.55,217.53,217.21,457033
1728480900,217,217.44,217.22,217.35,223807
1728481200,217.26,217.7,217.32,217.66,316440
1728481500,217.4,217.82,217.66,217.6201,457862
1728481800,217.61,218.07,217.63,218.06,260786
1728482100,217.9,218.4299,218.08,218.38,400349
1728482400,218.19,218.47,218.38,218.19,222046
1728482700,218.1,218.44,218.17,218.32,179854
1728483000,218.33,218.81,218.33,218.58,396886
1728483300,218.01,218.5798,218.5798,218.02,189088
1728483600,217.8,218.05,218,217.84,163912
1728483900,217.72,217.99,217.82,217.7975,101726
1728484200,217.65,217.94,217.802,217.65,135111
1728484500,217.53,217.8,217.66,217.77,215010
1728484800,217.6,217.9,217.78,217.88,791302
1728485100,217.73,218.22,217.85,218.22,125535
1728485400,218.21,218.42,218.21,218.37,302549
1728485700,218.25,218.505,218.4,218.38,110860
1728486000,218.2,218.52,218.39,218.24,207760
1728486300,218.205,218.7,218.2401,218.68,129086
1728486600,218.568,218.8081,218.66,218.7,155593
1728486900,218.594,219.04,218.73,219.01,143268
1728487200,219.03,219.27,219.03,219.21,422945
1728487500,219.11,219.3609,219.2,219.18,192931
1728487800,219.14,219.47,219.16,219.44,238015
1728488100,219.2467,219.48,219.42,219.25,730556
1728488400,219.24,219.48,219.26,219.46,114815
1728488700,219.38,219.585,219.45,219.46,126916
1728489000,219.42,219.61,219.48,219.55,123332
1728489300,219.26,219.58,219.56,219.295,102701
1728489600,219.07,219.31,219.31,219.0864,112747
1728489900,219.07,219.3,219.1,219.29,234047
1728490200,219.17,219.35,219.29,219.17,56266
1728490500,218.88,219.22,219.17,218.89,96396
1728490800,218.87,219.05,218.88,219.03,76516
1728491100,218.85,219.05,219.03,218.91,187133
1728491400,218.7,218.9101,218.9,218.765,119373
1728491700,218.7,218.845,218.765,218.78,84660
1728492000,218.64,218.81,218.77,218.685,142866
1728492300,218.59,218.7699,218.69,218.63,88795
1728492600,218.37,218.65,218.63,218.41,184313
1728492900,218.36,218.67,218.4,218.62,69636
1728493200,218.43,218.665,218.61,218.5,68315
1728493500,218.48,218.61,218.49,218.58,65154
1728493800,218.55,218.765,218.57,218.74,78819
1728494100,218.73,218.88,218.7399,218.81,117438
