start,low,high,open,close,volume
1666324800,168.19,173.2,169.4,172.7,46183419
1666584000,171.05,174,173.32,173.44,27568773
1666670400,173.56,178.895,173.57,178.17,33689012
1666756800,178.33,182.37,179.15,179.05,37417326
1666843200,178.87,182,180.59,179.09,29068828
1666929600,178.7383,183.41,179.825,183.16,33552536
1667188800,181.55,184.24,182.27,183.33,26305796
1667275200,182.88,185.6,185.24,183.58,28026734
1667361600,177.43,185,182.84,177.49,38536182
1667448000,174.11,177.94,175.29,176.3,29939683
1667534400,175.47,179.94,178.92,178.68,26223366
1667797200,177.68,180.59,179.74,179.49,20689937
1667883600,177.36,181.95,180.23,179.56,20265188
1667970000,174.275,178.67,178,174.63,27276977
1668056400,181.15,185.445,181.85,185.38,38572799
1668142800,185.69,188.84,185.76,186.9,28726035
1668402000,184.6317,187.785,185.79,184.81,26499630
1668488400,186.11,189.56,187.84,187.55,26128760
1668574800,183.71,186.64,186.6,184.25,24802010
1668661200,180.51,182.95,181.62,182.54,20835670
1668747600,182.57,185.31,184.59,183.72,26638644
1669006800,181.43,183.19,182.78,182.76,19038942
1669093200,182.33,184.94,183.74,184.71,16883715
1669179600,183.55,185.78,184.29,185.19,19758783
1669352400,184.66,186.37,185.09,185.58,13393405
1669611600,181.29,184.92,184.13,181.84,17490373
1669698000,181.96,183.61,181.96,182.37,14020553
1669784400,180.795,187.43,182.67,187.37,28030141
1669870800,186.13,189.24,188.151,186.96,21996369
1669957200,184.33,188.86,184.37,188.05,22537595
1670216400,182.1838,187.06,186.86,182.87,25449292
1670302800,179.08,182.98,182.88,180.07,18502134
1670389200,179.11,181.5,179.75,179.54,17177784
1670475600,179.51,182.625,180.77,180.84,20971437
1670562000,178.56,180.81,179.77,178.62,21984826
1670821200,178,181.09,178.85,180.72,22765420
1670907600,180.14,186.64,185.73,181.38,38445310
1670994000,178.83,182.91,181.31,180.19,32406860
1671080400,175.04,178.6,178.03,175.68,33546710
1671166800,172.67,175.11,173.8,174.37,38388883
1671426000,171.47,175.0529,174.61,172.01,25614032
1671512400,171.18,174.02,171.67,172.92,18050794
1671598800,174.2,176.8,174.45,175.9,22997201
1671685200,170.67,174.49,174.33,173.6,21297569
1671771600,172.34,174.45,173.48,174.39,11603091
1672117200,172.58,174.57,174.36,173.22,13553781
1672203600,170.34,174.1,173.18,170.53,19648022
1672290000,171.4,175.25,171.72,174.85,22311308
1672376400,172.61,174.7203,173.34,174.36,21248295
1672722000,171.9,177.32,175.93,173.4,22503836
1672808400,174.28,176.67,174.62,175.56,22973497
1672894800,172.39,174.76,174.59,173.68,17032620
1672981200,173.87,178.04,175.3,177.58,21943478
1673240400,177.65,180.12,179.01,177.88,18366452
1673326800,177.3,180.62,177.66,180.51,18751117
1673413200,180.68,182.79,181.26,182.76,18222696
1673499600,181.92,185.95,183.57,185.83,29650762
1673586000,184.33,187.34,184.5,187.05,22098446
1673931600,186.235,187.84,187,186.82,22422562
1674018000,183.695,188.96,187.45,183.8,23507760
1674104400,180.78,183.1,182.73,182.04,24624454
1674190800,181.27,185.15,182.71,185.04,36008908
1674450000,184.58,188.115,185.43,187.33,20329901
1674536400,185.88,187.83,186.59,186.93,19263452
1674622800,183.87,187.51,185.41,187.45,18174577
1674709200,186.29,189.85,188.98,188.56,18369120
1674795600,187.79,190.3,187.98,189.58,19993141
1675054800,186.83,189.61,187.84,186.94,18395072
1675141200,187.38,191.58,187.42,191.48,21567866
1675227600,190.13,196.19,191.19,194.49,27007326
1675314000,194.35,199.26,196.01,198.32,31020427
1675400400,195.7,199.13,196.11,196.99,24945157
1675659600,193.37,196.38,195.65,194.14,18160086
1675746000,191.65,196.1,193.41,195.58,27074054
1675832400,192.2,195.37,194.36,192.72,17933496
1675918800,189.43,195.12,194.23,189.93,20516649
1676005200,188.5328,190.63,189.28,190.31,15215214
1676264400,189.31,192.855,190.51,192.6,15754366
1676350800,190.08,193.95,191.28,192.51,21889612
1676437200,190.53,194.5537,190.98,194.46,18782880
1676523600,191.25,194.87,191.8,192.6,21366255
1676610000,190.97,193.3699,191.88,193.13,23699986
1676955600,187.24,191.3383,190.75,187.43,26004028
1677042000,186.7515,189.15,187.83,187.94,24651715
1677128400,186.7,190.3,189.35,189.28,21311725
1677214800,185.78,187.78,186.65,187.51,24250014
1677474000,187.6,190.2,189.13,188.17,17562854
1677560400,188.07,190.02,188.12,188.18,19542637
1677646800,187.19,189.49,188.19,188.42,22532791
1677733200,186.12,189.3,186.86,188.87,18134836
1677819600,188.42,191.93,189.67,191.5,22742011
1678078800,187.9,191.74,191.56,188.7,23266746
1678165200,186.22,189.07,188.65,186.51,25865711
1678251600,185.12,187.61,186.79,186.6,22505855
1678338000,181.28,187.27,186.73,181.41,33546890
1678424400,174.255,180.39,180.39,176.18,69298492
1678680000,171.07,176.4,172.52,173.31,73852725
1678766400,174.61,179.26,178.6,176.52,48946152
1678852800,170.3762,173.91,171.93,173.61,54398311
1678939200,170.495,177.38,171.47,175.98,52888335
1679025600,170.86,174.76,174.04,171.23,69096909
1679284800,172.525,175.37,173.05,173.45,46103182
1679371200,175.96,178.18,176.55,176.65,34465882
1679457600,171.53,177.35,176.52,171.64,56098235
1679544000,168.71,174.39,172.28,170.25,47720850
1679630400,167.455,172.105,168.75,171.79,47519176
1679889600,172.36,174.73,173.84,173.7,33880623
1679976000,172.69,174.505,173.1,173.45,28555089
1680062400,173.5719,175.55,175.34,175.42,25564793
1680148800,174.445,177.305,176.88,175.18,26728564
1680235200,176.37,178.64,176.4,178.4,39508960
