start,low,high,open,close,volume
1695196800,181.76,182.06,181.78,182.06,12635
1695200400,182.1,182.18,182.18,182.15,4509
1695204000,182.3,182.42,182.3,182.34,3843
1695207600,182.42,182.57,182.44,182.42,49484
1695211200,181.5,182.69,182.4,182.6,77914
1695214800,182.23,183.42,182.59,183.3,2789987
1695218400,182.61,183.509,183.3,182.71,2053791
1695222000,182.5506,182.995,182.7,182.635,4655360
1695225600,182.53,182.82,182.63,182.565,1025966
1695229200,182.165,182.61,182.57,182.53,1011426
1695232800,181.66,182.59,182.51,181.735,4280262
1695236400,179.82,181.87,181.73,179.87,10468572
1695240000,179.69,179.95,179.86,179.8,1113761
1695243600,179.71,179.86,179.81,179.81,9697
1695247200,179.61,179.9,179.85,179.68,36795
1695250800,179.5,179.72,179.71,179.5599,38049
1695283200,179.21,179.57,179.43,179.21,7864
1695286800,179.1,179.35,179.3,179.1,11441
1695290400,178.65,179.01,179.01,178.72,42234
1695294000,178.43,178.93,178.75,178.51,66869
1695297600,178.34,179.32,178.78,178.78,191869
1695301200,177.34,178.92,178.77,177.4,5185297
1695304800,177.35,178.43,177.39,177.73,5687976
1695308400,177.54,178.215,177.725,178.05,3822773
1695312000,177.685,178.06,178.05,177.8,2334637
1695315600,177.73,178.51,177.8,178.27,3077432
1695319200,177.8,178.305,178.28,177.8099,3388474
1695322800,177.08,177.93,177.8,177.11,6233249
1695326400,176.95,177.2,177.07,177.03,1410436
1695330000,177.01,177.1,177.06,177.1,13083
1695333600,177.09,177.34,177.09,177.34,21071
1695337200,177.07,177.32,177.32,177.0896,26105
1695369600,177.31,177.64,177.55,177.5,28498
1695373200,177.41,177.7,177.41,177.65,7142
1695376800,177.56,177.78,177.65,177.71,12622
1695380400,177.53,177.71,177.71,177.64,32776
1695384000,177.44,178,177.65,177.81,53289
1695387600,177.1625,178.37,177.74,177.48,3405614
1695391200,177.19,178.04,177.48,177.92,3958246
1695394800,177.25,177.965,177.92,177.265,2285819
1695398400,177.1,177.64,177.26,177.37,2247993
1695402000,176.91,177.55,177.37,177.04,2166302
1695405600,176.6,177.09,177.04,176.89,2089591
1695409200,176.56,177.66,176.885,176.63,5277193
1695412800,176.62,176.82,176.67,176.81,1447188
1695416400,176.74,177,176.81,176.83,71607
1695420000,176.8,176.95,176.93,176.8,1413
1695423600,176.7,177,176.8,177,3835
1695628800,176.15,177.36,177.35,176.28,11830
1695632400,176.24,176.49,176.28,176.33,7744
1695636000,175.94,176.42,176.42,176.2,8661
1695639600,175.97,176.35,176.26,176.03,67176
1695643200,175.71,176.34,176.19,175.72,120482
1695646800,175.5,177.265,175.73,177.215,3474644
1695650400,176.3,177.29,177.21,176.39,2772622
1695654000,176.38,177.57,176.39,177.38,2959450
1695657600,177.261,177.8599,177.39,177.63,1945814
1695661200,177.24,177.8499,177.63,177.585,2342571
1695664800,177.14,177.7,177.59,177.19,2690816
1695668400,176.885,177.55,177.2,177.49,5072833
1695672000,177.46,177.75,177.46,177.71,909956
1695675600,177.51,177.85,177.73,177.7,8794
1695679200,177.54,177.64,177.6,177.55,4725
1695682800,177.48,177.56,177.51,177.51,12683
1695715200,175.42,176.24,176.24,175.68,17889
1695718800,175.45,175.77,175.7,175.45,5324
1695722400,175.5,175.72,175.51,175.69,11903
1695726000,175.54,175.97,175.82,175.88,41529
1695729600,175,176.17,175.78,175.58,129483
1695733200,175.37,177.02,175.53,176.39,4013664
1695736800,175.6,176.58,176.4,176.17,5118657
1695740400,175.39,176.28,176.165,175.58,3887611
1695744000,175.365,175.735,175.59,175.37,1866483
1695747600,174.715,175.52,175.365,175.04,3880506
1695751200,174.675,175.045,175.045,174.87,2197187
1695754800,174.29,174.98,174.87,174.4,6787943
1695758400,174.2594,174.92,174.36,174.85,2368950
1695762000,174.82,175.1,174.82,174.84,85808
1695765600,174.79,174.91,174.86,174.9,9540
1695769200,174.82,174.98,174.89,174.83,30695
1695801600,175.34,175.57,175.4,175.37,26287
1695805200,175.16,175.46,175.39,175.2,23491
1695808800,175.04,175.25,175.15,175.2,32668
1695812400,175.04,175.37,175.19,175.28,54405
1695816000,175.02,175.47,175.3497,175.47,119462
1695819600,175.36,176.57,175.45,176.53,4901926
1695823200,175.82,176.77,176.54,175.91,6018506
1695826800,175.74,176.52,175.92,175.88,3076134
1695830400,174.93,175.86,175.86,175.2901,4082144
1695834000,174.4619,175.64,175.29,175.22,4099174
1695837600,174.99,176.5,175.2169,176.28,4598443
1695841200,175.81,176.93,176.275,176.06,7985811
1695844800,175.99,176.49,175.99,176.43,2092179
1695848400,176.37,176.67,176.49,176.55,14782
1695852000,176.1,176.42,176.42,176.3,28788
1695855600,176.25,176.42,176.3,176.41,38402
1695888000,175.62,176.1,176.06,175.94,24793
1695891600,175.39,175.93,175.88,175.93,4307
1695895200,176.05,176.3,176.07,176.16,13695
1695898800,175.64,176.18,176.15,175.96,59304
1695902400,175.5,176.91,175.97,175.8,171889
1695906000,175.79,177.19,175.79,177.15,3651798
1695909600,175.97,177.3525,177.15,176.92,4873744
1695913200,176.75,178.21,176.92,178.18,5957036
1695916800,177.76,178.57,178.18,177.91,3883738
1695920400,177.34,178.03,177.915,177.58,2659796
1695924000,177.3,177.94,177.59,177.71,2900739
1695927600,177.38,178.22,177.715,177.66,5806202
1695931200,177.49,177.9,177.58,177.84,1252021
1695934800,177.71,177.9,177.83,177.8698,18661
1695938400,177.86,178.08,177.87,177.94,14683
1695942000,177.8,177.94,177.93,177.84,73543
1695974400,178.32,178.61,178.41,178.32,21271
1695978000,178.37,178.68,178.37,178.57,8093
1695981600,178.46,178.83,178.61,178.66,40796
1695985200,178.23,178.75,178.6,178.28,28295
1695988800,177.65,179.4,178.6112,179.11,366895
1695992400,178.12,179.16,179.09,178.7125,5237720
1695996000,177.62,178.88,178.72,178.06,4508219
1695999600,177.105,178.54,178.07,177.46,4949250
1696003200,177.04,178.05,177.45,177.2,2657077
1696006800,176.34,177.19,177.19,176.36,2672767
1696010400,176.15,177.105,176.35,177.06,3327820
1696014000,176.44,177.205,177.06,176.64,8565818
1696017600,176.55,177.03,176.65,176.83,4184813
1696021200,176.76,176.91,176.81,176.76,3952
1696024800,176.74,176.78,176.76,176.74,1083
1696028400,176.74,176.76,176.74,176.76,2904
1696233600,177.41,177.79,177.41,177.57,15013
1696237200,176.78,177.51,177.51,176.84,48754
1696240800,176.68,176.86,176.79,176.72,7307
1696244400,176.41,176.9,176.74,176.53,65600
1696248000,176.27,177.89,176.58,176.37,55100
1696251600,175.16,176.73,176.33,175.51,4269151
1696255200,174.575,175.925,175.51,174.77,7645693
1696258800,174.2,175.46,174.77,174.31,4986233
1696262400,173.64,174.355,174.3,173.82,4155435
1696266000,173.66,174.2,173.81,173.91,3060270
1696269600,173.3338,174.32,173.91,173.4,4705301
1696273200,173.15,174.04,173.4,174.03,9656505
1696276800,174.01,174.25,174.03,174.23,3330677
1696280400,173.95,174.23,174.23,174.01,35098
1696284000,174.05,174.28,174.07,174.13,45888
1696287600,174.03,174.25,174.12,174.15,13135
1696320000,173.92,174.37,173.95,174.27,14948
1696323600,173.97,174.2,174.19,174.06,8635
1696327200,173.75,174.1,174.08,173.82,23142
1696330800,172.93,173.76,173.73,173.05,114677
1696334400,172.5799,174.0896,173.1897,172.62,339904
1696338000,172.42,173.5,172.63,173.11,4576266
1696341600,171.15,173.11,173.11,171.165,7234675
1696345200,170.94,171.63,171.16,171.16,6762335
1696348800,171.15,171.92,171.17,171.54,4843596
1696352400,170.585,171.84,171.53,170.64,3653417
1696356000,170.37,171.31,170.64,171.18,4625352
1696359600,170.745,171.31,171.17,171.14,7887074
1696363200,170.94,171.3,171.14,170.94,2392946
1696366800,170.85,171.13,170.92,171.02,32703
1696370400,170.84,171.1,170.94,171.02,81537
1696374000,170.9,171.2,171,171.14,39410
1696406400,170,170.81,170.64,170.73,16805
1696410000,170.65,171.11,170.72,171.11,13515
1696413600,170.77,171.29,171.1,170.9,101630
1696417200,170.84,171.53,170.92,171.35,118437
1696420800,169.6,171.81,170.87,171.48,390668
1696424400,170.16,171.57,171.51,170.376,5134029
1696428000,169.09,170.47,170.36,169.37,7143411
1696431600,169.17,170.93,169.37,170.93,6616011
1696435200,170.54,171.5,170.92,171.2,4933359
1696438800,170.24,171.26,171.19,170.3,4553244
1696442400,169.97,170.62,170.29,170.59,3592802
1696446000,170.53,171.61,170.59,171.17,8394480
1696449600,170.91,171.22,171.22,170.94,1183683
1696453200,170.79,171.07,170.97,171.07,13183
1696456800,170.8509,171.03,170.91,170.95,15430
1696460400,170.84,170.99,170.95,170.91,11739
1696492800,170.62,171.28,170.79,170.62,26845
1696496400,170.34,170.67,170.56,170.67,32116
1696500000,170.51,171.01,170.51,170.95,38013
1696503600,170.85,171.36,170.99,171.32,47239
1696507200,170.5,171.61,171.07,170.8797,228194
1696510800,170.51,171.87,170.86,171.56,4323669
1696514400,170.09,171.58,171.57,170.385,5000563
1696518000,170.01,170.52,170.37,170.14,3724790
1696521600,170.07,170.8,170.12,170.32,2704152
1696525200,169.94,171.17,170.32,171.11,3318821
1696528800,170.925,171.81,171.12,171.795,4653901
1696532400,171.335,171.9,171.79,171.4,7099962
1696536000,171.2,171.45,171.35,171.27,1951704
1696539600,171.11,171.26,171.24,171.18,15272
1696543200,171.23,171.35,171.23,171.35,4271
1696546800,171.05,171.31,171.31,171.079,100658
1696579200,171.52,171.74,171.6,171.59,6351
1696582800,171.5,171.84,171.52,171.84,1677
1696586400,171.83,172.37,171.83,172.19,8929
1696590000,171.92,172.24,172.19,171.95,55624
1696593600,169.39,172.3504,172.05,169.95,916403
1696597200,169.69,171.105,169.83,170.43,5102057
1696600800,169.51,171.09,170.44,170.7,6884449
1696604400,170.68,173.77,170.71,173.75,7639593
1696608000,172.795,173.89,173.75,172.95,6198015
1696611600,172.8,173.49,172.95,173.45,2675869
