start,low,high,open,close,volume
1730753940,219.95,220.12,219.96,220.09,512212
1730754000,220.01,220.14,220.09,220.02,530344
1730754060,220.01,220.14,220.02,220.09,20867
1730754120,220.09,220.15,220.09,220.12,37538
1730754180,220.07,220.15,220.12,220.07,42805
1730754240,220.025,220.09,220.025,220.09,4559
1730754300,220.09,220.17,220.13,220.1,69773
1730754360,220.1,220.12,220.12,220.11,31929
1730754420,220.11,220.17,220.11,220.16,129975
1730754480,220.08,220.2385,220.15,220.12,101633
1730754540,220,220.08,220.08,220,20480
1730754600,220.04,220.05,220.04,220.04,55772
1730754660,220.04,220.05,220.04,220.04,5115
1730754720,220.04,220.09,220.04,220.05,359535
1730754780,220,220.1,220.03,220.1,31139
1730754840,220.11,220.13,220.11,220.13,1799
1730754900,220.1,220.11,220.1,220.11,671
1730754960,220.04,220.1,220.09,220.04,12761
1730755020,219.99,220.03,220.03,219.99,10722
1730755080,220,220.09,220.09,220,128665
1730755140,220.01,220.02,220.02,220.01,1931
1730755200,219.95,220,220,219.97,2839
1730755260,219.98,219.99,219.99,219.99,2634
1730755320,220.01,220.03,220.03,220.01,1871
1730755380,220.01,220.02,220.01,220.02,1500
1730755440,220.01,220.01,220.01,220.01,1003
1730755680,219.97,219.97,219.97,219.97,430
1730755740,220,220,220,220,102
1730755860,219.97,219.98,219.97,219.97,750
1730755920,219.96,219.96,219.96,219.96,4096
1730755980,219.96,219.96,219.96,219.96,1801
1730756040,219.96,219.96,219.96,219.96,18609
1730756160,219.96,219.9602,219.96,219.96,16981
1730756220,220.09,220.09,220.09,220.09,25467
1730756400,219.92,219.97,219.97,219.92,5089
1730756460,219.91,219.93,219.93,219.91,1224
1730756580,219.87,219.89,219.89,219.88,2003
1730756700,219.91,219.91,219.91,219.91,265
1730756760,219.94,219.94,219.94,219.94,262
1730756820,219.95,219.95,219.95,219.95,456
1730756880,219.94,219.98,219.95,219.94,1450
1730756940,219.96,219.97,219.97,219.96,682
1730757180,219.95,219.95,219.95,219.95,214
1730757300,220,220,220,220,1758
1730757360,220.03,220.03,220.03,220.03,291
1730757420,219.95,219.97,219.97,219.95,388
1730757600,220.04,220.04,220.04,220.04,1301
1730758200,219.97,219.97,219.97,219.97,1070
1730758260,220.02,220.02,220.02,220.02,234
1730758620,220.03,220.04,220.03,220.04,5749
1730758800,220.03,220.04,220.04,220.04,1032
1730758920,220.04,220.04,220.04,220.04,163
1730758980,220.04,220.04,220.04,220.04,216
1730759040,220.04,220.04,220.04,220.04,1641
1730759340,220.04,220.04,220.04,220.04,340
1730759520,220.09,220.09,220.09,220.09,200
1730759580,220.09,220.1,220.09,220.1,261040
1730759880,220.1,220.1,220.1,220.1,525
1730760480,220.13,220.13,220.13,220.13,1053
1730760540,220.13,220.1499,220.1499,220.13,4100
1730760720,220.04,220.15,220.04,220.15,648
1730760780,220.15,220.15,220.15,220.15,4934
1730760960,220.14,220.15,220.15,220.14,1188
1730761200,220.28,220.28,220.28,220.28,1233
1730761260,220.04,220.14,220.14,220.04,7021
1730761320,220,220.05,220.04,220,5072
1730761440,219.99,219.99,219.99,219.99,501
1730761560,219.99,219.99,219.99,219.99,200
1730761740,219.91,219.91,219.91,219.91,188
1730761860,220,220,220,220,4703
1730761920,220,220,220,220,122
1730762100,220,220,220,220,388
1730762160,219.85,219.9,219.9,219.9,2223
1730762220,219.87,219.87,219.87,219.87,502
1730762340,219.87,219.89,219.87,219.89,291
1730762460,219.97,220.05,219.99,220.05,1420
1730762760,220.049,220.049,220.049,220.049,200
1730763180,219.98,219.98,219.98,219.98,120
1730763240,219.99,219.99,219.99,219.99,1550
1730763300,219.96,219.96,219.96,219.96,222
1730763720,220,220,220,220,3019
1730763900,219.9,219.95,219.95,219.9,2256
1730764020,219.9,219.9,219.9,219.9,100
1730764080,219.9,219.9,219.9,219.9,400
1730764320,219.8984,219.9,219.9,219.8984,533
1730764440,219.89,219.89,219.89,219.89,154
1730764800,219.85,219.85,219.85,219.85,304
1730764860,219.789,219.81,219.81,219.789,201
1730764920,219.77,219.78,219.77,219.78,669
1730765640,219.81,219.85,219.85,219.81,681
1730765700,219.81,219.81,219.81,219.81,100
1730765760,219.8,219.8,219.8,219.8,100
1730765820,219.76,219.76,219.76,219.76,160
1730766180,219.86,219.86,219.86,219.86,1008
1730766360,219.8896,219.8896,219.8896,219.8896,113
1730766420,219.85,219.85,219.85,219.85,200
1730766480,219.81,219.88,219.88,219.81,700
1730766540,219.86,219.86,219.86,219.86,202
1730767020,219.88,219.88,219.88,219.88,272
1730767140,219.82,219.82,219.82,219.82,301
1730767320,219.81,219.8112,219.8112,219.81,1448
1730767560,219.74,219.74,219.74,219.74,275
1730767620,219.78,219.78,219.78,219.78,157
1730767800,219.84,219.86,219.85,219.86,7516
1730767860,219.83,219.86,219.86,219.83,4528
1730768040,219.86,219.86,219.86,219.86,146
1730768100,219.78,219.79,219.79,219.78,1402
1730768160,219.83,219.83,219.83,219.83,1530
1730768220,219.84,219.84,219.84,219.84,118
1730768280,219.85,219.85,219.85,219.85,138
1730768340,219.8001,219.8001,219.8001,219.8001,175
1730797200,220.26,220.31,220.26,220.31,718
1730797380,220.2,220.25,220.22,220.2,1372
1730797440,220.2,220.24,220.2,220.24,982
1730797500,220.2,220.3,220.22,220.2,2119
1730797560,220.28,220.3,220.28,220.3,1350
1730797620,220.3,220.3,220.3,220.3,339
1730797680,220.44,220.44,220.44,220.44,189
1730797740,220.36,220.36,220.36,220.36,185
1730797800,220.36,220.36,220.36,220.36,100
1730797860,220.38,220.38,220.38,220.38,169
1730797920,220.29,220.33,220.29,220.3,1226
1730797980,220.29,220.32,220.29,220.29,4309
1730798040,220.32,220.32,220.32,220.32,129
1730798100,220.29,220.35,220.29,220.35,1718
1730798160,220.3,220.35,220.35,220.31,1376
