start,low,high,open,close,volume
1713168000,199.68,200.15,199.68,199.85,36120
1713169800,199.71,199.91,199.84,199.83,8373
1713171600,199.25,199.92,199.71,199.3,23133
1713173400,199.11,199.31,199.26,199.11,4945
1713175200,199.14,199.46,199.36,199.14,33764
1713177000,198.95,199.22,199.16,199.09,23190
1713178800,199.09,199.57,199.2,199.37,39554
1713180600,199.3,199.73,199.464,199.41,77748
1713182400,199.06,200,199.15,199.24,217977
1713184200,198.09,199.72,199,199.33,249331
1713186000,199.03,199.74,199.45,199.37,182344
1713187800,199.175,200.23,199.37,199.51,4001706
1713189600,197.59,199.55,199.5,197.62,3374385
1713191400,197.51,198.43,197.63,197.53,2715039
1713193200,196.83,197.71,197.53,197.42,2845297
1713195000,197.42,198.1,197.44,197.99,1882987
1713196800,197.1,198.29,197.99,197.26,1387797
1713198600,196.92,197.27,197.27,196.97,1962762
1713200400,195.88,197.1525,196.965,195.91,2537574
1713202200,195.5,196.44,195.92,196.39,3751286
1713204000,195.49,196.48,196.39,195.59,2452842
1713205800,195.17,196.08,195.58,195.45,2240459
1713207600,194.98,195.62,195.43,195.37,2613323
1713209400,195.36,196.08,195.37,195.81,5619649
1713211200,195.49,198.1273,195.78,195.57,1206556
1713213000,195.49,196.02,195.55,195.92,75830
1713214800,195.71,196,196,195.71,13133
1713216600,195.65,195.78,195.78,195.66,1119151
1713218400,195.75,196.09,195.75,195.9,31862
1713220200,195.751,195.9,195.85,195.83,18443
1713222000,195.35,195.8095,195.8095,195.56,47845
1713223800,195.54,195.69,195.58,195.61,10072
1713254400,195.15,195.44,195.42,195.21,5995
1713256200,195,195.3,195.11,195.2,7881
1713258000,194.62,195.25,195,194.82,17916
1713259800,194.4,194.81,194.81,194.58,27387
1713261600,194.1,194.64,194.63,194.21,39446
1713263400,194.1,194.58,194.16,194.36,48014
1713265200,194.42,194.94,194.43,194.78,92350
1713267000,194.8,195.35,194.84,195.32,152957
1713268800,194.4604,195.67,194.8,194.55,110686
1713270600,194.42,195.18,194.67,194.85,197309
1713272400,194.16,195,194.8,194.42,297808
1713274200,193.36,194.51,194.42,193.92,5267377
1713276000,193.61,194.64,193.92,193.93,3360717
1713277800,193.4,194.38,193.92,194.13,2573170
1713279600,194.11,195.12,194.13,195.06,2806752
1713281400,194.77,195.4999,195.06,194.9918,2163446
1713283200,194.62,195.34,195,195.15,1765198
1713285000,195.01,195.51,195.13,195.375,1974537
1713286800,195.01,195.6998,195.385,195.25,1629884
1713288600,193.96,195.36,195.26,194.905,5067225
1713290400,194.45,196.24,194.91,194.65,4271474
1713292200,194.45,195.65,194.64,195.6499,2514775
1713294000,195.16,195.66,195.66,195.53,1964392
1713295800,194.65,195.54,195.5398,195.09,4199004
1713297600,194.91,195.1,195.06,195.03,2100782
1713299400,194.88,195.14,195.03,195.14,214295
1713301200,195.06,195.14,195.06,195.14,6479
1713303000,195.06,195.18,195.15,195.17,16535
1713304800,195.18,195.39,195.18,195.25,15354
1713306600,195.25,195.36,195.32,195.36,3123
1713308400,195.16,195.53,195.29,195.46,6957
1713310200,195.46,195.78,195.47,195.73,19203
1713340800,195.49,195.91,195.49,195.84,9008
1713342600,195.83,196.27,195.84,196.27,5922
1713344400,195.97,196.4,196.22,196,16522
1713346200,196.08,196.66,196.08,196.63,14992
1713348000,196.53,196.78,196.64,196.56,10660
1713349800,196.25,196.64,196.63,196.35,9586
1713351600,196.08,196.38,196.27,196.23,28622
1713353400,195.87,196.25,196.21,195.93,33168
1713355200,194.42,196.7104,196.2811,195.71,122982
1713357000,195.59,195.92,195.67,195.69,60006
1713358800,195.61,196.68,195.65,196.44,288525
1713360600,195.91,196.62,196.47,196.12,2950484
1713362400,194.85,196.14,196.13,195.22,2440396
1713364200,194.3795,195.31,195.23,194.75,1889493
1713366000,194.095,195.32,194.76,194.11,2065920
1713367800,193.78,194.54,194.11,194.4,2365363
1713369600,193.47,194.39,194.39,193.715,2459884
1713371400,193.08,193.8098,193.71,193.37,2371312
1713373200,193.32,194.705,193.38,194.6879,2679452
1713375000,194.18,194.88,194.67,194.82,3407045
1713376800,194.085,194.89,194.83,194.35,1634045
1713378600,193.82,195.21,194.34,194.02,2477854
1713380400,193.25,194.02,194.02,193.3,1865055
1713382200,192.99,193.855,193.3,193.05,6256774
1713384000,192.8,193.18,193.06,193.17,2542067
1713385800,193.01,193.18,193.17,193.09,87303
1713387600,192.87,193.25,193.06,193.1,36073
1713389400,193.0252,193.2,193.2,193.0252,80194
1713391200,193,193.35,193.12,193.32,89847
1713393000,193.26,193.41,193.32,193.41,49123
1713394800,193.3,193.48,193.41,193.34,64087
1713396600,193.28,193.42,193.37,193.29,67645
1713427200,193.3,193.63,193.6,193.55,21884
1713429000,193.42,193.62,193.53,193.42,2863
1713430800,192.97,193.42,193.4,193.08,8904
1713432600,193.07,193.46,193.07,193.26,2388
1713434400,193.17,193.4,193.23,193.37,17320
1713436200,193.45,193.6,193.47,193.48,9300
1713438000,193.15,193.52,193.47,193.34,24750
1713439800,193.34,193.87,193.34,193.85,48917
1713441600,193.0796,194.18,193.4792,193.4,61148
1713443400,192.99,193.6,193.4,193.56,103756
1713445200,193.4204,194.5,193.68,193.68,218907
1713447000,192.6,193.96,193.71,193.71,3579831
1713448800,193.125,194.7,193.71,194.66,2440114
1713450600,194.49,195.27,194.66,195.1125,2525561
1713452400,194.95,195.655,195.12,195.14,1831118
1713454200,194.655,195.29,195.15,194.81,3609565
1713456000,194.48,195.11,194.81,194.95,1439039
1713457800,193.76,194.955,194.94,194,2493903
1713459600,192.93,194.15,194,193.645,2900111
1713461400,192.95,193.725,193.65,193.33,2408745
1713463200,192.63,193.32,193.32,192.729,3081093
1713465000,192.15,192.83,192.73,192.59,3705764
1713466800,192.55,193.09,192.58,193,2246302
1713468600,192.58,193.29,193.01,192.78,5180948
1713470400,192.61,193,192.84,192.72,2185365
1713472200,192.53,192.82,192.79,192.8,23109
1713474000,192.73,192.81,192.8,192.77,4170
1713475800,192.6,192.84,192.67,192.77,12507
1713477600,192.84,193.02,192.84,192.88,17890
1713479400,192.7,192.85,192.84,192.7,157575
1713481200,192.54,192.69,192.66,192.6,8711
1713483000,192.16,192.61,192.6,192.32,15824
1713513600,191.43,191.88,191.68,191.72,56324
1713515400,191.34,191.83,191.83,191.66,9975
1713517200,191.46,191.73,191.73,191.62,51048
1713519000,191.41,191.74,191.66,191.41,13497
1713520800,191.2,191.65,191.4,191.4,34282
1713522600,191.35,191.81,191.4,191.8,123770
1713524400,191.68,192.51,191.79,192.39,342887
1713526200,192.35,192.83,192.5,192.63,463862
1713528000,190.62,192.95,191.8388,192.86,324817
1713529800,192.36,193.08,192.86,192.44,143610
1713531600,191.77,192.68,192.43,191.93,510794
1713533400,191.79,194.26,191.93,194.1,5039880
1713535200,192.95,194.39,194.1,193.38,3224607
1713537000,192.71,193.64,193.35,193.105,2870629
1713538800,192.71,193.425,193.1,193.12,3535468
1713540600,192.86,193.51,193.12,193.12,1482772
1713542400,192,193.385,193.1,192.02,2467112
1713544200,192.02,192.99,192.04,192.88,2976585
1713546000,192.66,193.29,192.87,192.6999,1620194
1713547800,192.63,193.49,192.69,192.95,1449752
1713549600,191.86,192.96,192.95,191.86,2674056
1713551400,191.34,192.1292,191.82,191.95,2488437
1713553200,191.71,192.6497,191.94,192.38,2686304
1713555000,192.07,193.32,192.37,193.07,6236425
1713556800,193.01,193.37,193.14,193.34,1290811
1713558600,193.25,193.4,193.35,193.31,119255
1713560400,193.19,193.31,193.31,193.3,20256
1713562200,193.14,193.42,193.3,193.42,50803
1713564000,193.4,193.42,193.4,193.42,10611
1713565800,193.08,193.42,193.42,193.12,150641
1713567600,193.05,193.14,193.09,193.05,3799
1713569400,193.03,193.25,193.07,193.25,8635
1713772800,194.12,194.45,194.19,194.31,22752
1713774600,194.1,194.46,194.36,194.27,7556
1713776400,194.2,194.62,194.23,194.45,4371
1713778200,194.4,194.66,194.51,194.51,9702
1713780000,194.35,194.51,194.47,194.36,7611
1713781800,194.06,194.3,194.29,194.06,10696
1713783600,193.97,194.15,194.08,194.09,45215
1713785400,194.1,194.59,194.1,194.57,158187
1713787200,193.14,194.53,194.081,194.08,143820
1713789000,193.95,194.39,194.04,194.26,121231
1713790800,194.07,194.35,194.26,194.2,72646
1713792600,192.9,194.6,194.21,193.94,3830316
1713794400,193.72,194.38,193.94,193.9101,1989392
1713796200,193.68,194.4,193.92,193.73,1597412
1713798000,193.24,193.73,193.73,193.47,2512492
1713799800,193.35,194.07,193.48,194.04,2248893
1713801600,193.88,194.67,194.04,194.395,1379730
1713803400,194.15,194.86,194.39,194.84,1373915
1713805200,194.72,195.46,194.85,195.45,1527358
1713807000,195.28,196.17,195.45,195.845,1678455
1713808800,195.8,196.25,195.85,196.14,1760775
1713810600,195.56,196.295,196.13,195.92,1980988
1713812400,195.39,195.995,195.93,195.52,1299654
1713814200,194.98,195.585,195.53,195.23,5358661
1713816000,194.96,195.3,195.3,195.2401,1846892
1713817800,195.28,195.4901,195.28,195.48,41948
1713819600,195.37,195.48,195.44,195.4015,388326
1713821400,195.4,195.58,195.41,195.4,4010
1713823200,195.11,195.6,195.47,195.23,12901
1713825000,195.29,195.35,195.3,195.33,1873
1713826800,195.02,195.35,195.28,195.16,2483
1713828600,195.21,195.32,195.23,195.32,29152
1713859200,195.37,195.64,195.37,195.56,9316
1713861000,195.14,195.53,195.53,195.14,8633
1713862800,194.98,195.13,195.13,195.03,6528
1713864600,194.91,195.11,195.08,194.96,4880
1713866400,195.03,195.45,195.03,195.43,15644
1713868200,195.39,195.6,195.45,195.54,7756
1713870000,195.24,195.6,195.5,195.25,47705
1713871800,194.87,195.25,195.25,195.1,114441
1713873600,194.5,195.6,195.52,194.64,102087
1713875400,194.65,195.18,194.7099,194.91,71322
1713877200,194.83,195.39,194.97,195.31,99071
1713879000,195.13,197.82,195.26,197.79,3992798
1713880800,197.5,198.475,197.8,198.45,2696559
1713882600,198.13,198.75,198.475,198.44,2188821
1713884400,197.89,198.77,198.45,198.62,1791954
1713886200,198.16,198.669,198.62,198.21,1157908
1713888000,198.14,198.56,198.24,198.5291,1009409
1713889800,198.38,198.84,198.51,198.57,1398427
1713891600,198.44,198.88,198.56,198.87,1276873
1713893400,198.72,199.2,198.87,199.1799,1125170
1713895200,198.87,199.32,199.18,199.17,1862622
1713897000,198.94,199.32,199.18,199.13,1457184
1713898800,198.51,199.13,199.12,198.6,3142537
1713900600,198.275,198.69,198.59,198.52,6080685
1713902400,198.39,198.64,198.57,198.52,1743145
1713904200,198.44,198.52,198.47,198.44,90390
1713906000,198.44,198.59,198.44,198.57,207036
1713907800,198.57,198.89,198.57,198.88,11763
1713909600,198.38,198.7,198.7,198.5,44124
1713911400,198.45,198.57,198.53,198.56,34607
1713913200,198.52,198.64,198.57,198.62,9772
1713915000,198.61,198.82,198.62,198.64,24034
1713945600,198.05,198.25,198.25,198.1,12959
1713947400,197.92,198.39,198.06,197.92,16687
1713949200,197.99,198.23,197.99,197.99,7955
1713951000,197.78,198,197.98,197.89,7505
1713952800,197.82,198,197.85,197.97,2387
1713954600,197.66,197.97,197.91,197.73,6072
1713956400,197.65,198.04,197.73,197.95,28348
1713958200,197.79,198.11,197.89,198.07,81764
1713960000,197.7096,198.9,197.74,198.24,55874
1713961800,197.58,198.39,198.11,197.74,130919
1713963600,197.43,198.24,197.75,198.24,123386
1713965400,197.14,198.91,198.17,198.44,3790334
1713967200,198.115,198.9103,198.46,198.19,2229878
1713969000,197.4,198.365,198.195,197.58,1851063
1713970800,196.93,197.71,197.62,197.27,2177945
1713972600,196.4601,197.418,197.27,196.74,1400225
1713974400,196.53,196.98,196.73,196.91,1100363
1713976200,196.46,197.13,196.91,197.09,1168909
1713978000,196.95,197.395,197.09,197.38,1258296
1713979800,197.36,197.97,197.39,197.92,1931893
1713981600,197.14,197.93,197.915,197.33,1440011
1713983400,197.01,197.48,197.32,197.22,1242613
1713985200,196.99,197.59,197.22,197.49,1436999
1713987000,197.435,198.05,197.49,197.68,3120895
1713988800,197.47,197.96,197.68,197.77,3604965
1713990600,197.65,198.17,197.74,198.12,181163
1713992400,197.5,198.1,198.1,197.5,64903
1713994200,197.25,197.68,197.5,197.68,64967
1713996000,197.55,198.13,197.56,197.88,128982
1713997800,197.64,197.86,197.85,197.69,73394
1713999600,197.69,197.89,197.7,197.73,5966
1714001400,197.51,197.79,197.75,197.58,43629
1714032000,198.3,198.93,198.3,198.78,27541
1714033800,198.77,198.93,198.77,198.82,5708
1714035600,198.8,198.93,198.83,198.84,3006
1714037400,198.84,199.17,198.97,198.9,6071
1714039200,198.9,199.04,199.04,199,5418
1714041000,198.71,199.01,198.9,198.84,3749
1714042800,198.42,198.67,198.62,198.43,51100
1714044600,198.19,198.79,198.38,198.71,29896
1714046400,197.78,198.829,198.6879,198.58,69371
1714048200,195.18,199.37,198.75,195.63,880164
1714050000,194.75,195.8,195.61,195.43,434542
1714051800,193.88,195.68,195.44,194.285,4539415
1714053600,193.77,195.36,194.29,195.33,3179798
1714055400,194.45,195.42,195.34,194.86,2049261
1714057200,194.65,195.17,194.85,195.12,1670022
1714059000,194.71,195.39,195.105,195.34,1282715
1714060800,195.09,195.61,195.33,195.415,1757001
1714062600,195.23,195.88,195.405,195.7101,1156909
1714064400,195.225,195.942,195.73,195.54,1581524
1714066200,195.46,196.5,195.53,196.31,2075380
1714068000,195.615,196.39,196.31,195.64,1789596
1714069800,195.6,196.1,195.63,196.09,1407698
1714071600,196.05,196.83,196.09,196.66,2415054
1714073400,196.01,196.66,196.66,196.49,2747909
