start,low,high,open,close,volume
1723104000,98.42,99.79,99.14,99.2,634099
1723104900,98.75,99.41,99.21,98.95,250575
1723105800,98.81,99.42,98.95,99.39,245667
1723106700,99.26,99.58,99.39,99.45,184481
1723107600,99.37,99.7,99.48,99.5,137707
1723108500,99.18,99.67,99.56,99.35,110391
1723109400,98.84,99.52,99.32,98.88,170038
1723110300,98.46,98.93,98.85,98.65,219447
1723111200,98.33,98.83,98.78,98.6,170885
1723112100,98.53,98.95,98.57,98.93,95129
1723113000,98.82,99.17,98.94,98.85,116945
1723113900,98.36,99.1,98.9,98.59,235915
1723114800,98.3,99.39,98.51,99.39,581897
1723115700,98.97,99.37,99.35,98.97,250691
1723116600,98.8,99.33,98.94,99.33,326112
1723117500,98.88,99.3,99.28,99.03,272610
1723118400,98.01,100.09,98.56,98.6686,1651423
1723119300,97.32,98.6995,98.631,97.95,1195745
1723120200,97.93,101.78,97.98,101.45,5206805
1723121100,100.61,101.6,101.43,100.64,2186750
1723122000,100.3,101.1,100.62,101.09,1327060
1723122900,101.03,102.28,101.09,101.99,2123361
1723123800,99.19,102.1,102,99.2,30574067
1723124700,97.52,100.35,99.19,100.24,30122371
1723125600,99.9514,101.09,100.25,100.995,18808274
1723126500,100.8201,102.17,100.96,102.04,18068167
1723127400,101.51,102.89,102.04,101.75,18184772
1723128300,101.65,103,101.7434,102.445,14845275
1723129200,101.52,102.7399,102.45,101.79,12185926
1723130100,101.52,103.18,101.79,102.74,13601586
1723131000,102.71,103.53,102.75,103.26,12434590
1723131900,102.52,103.36,103.2501,103.095,8429670
1723132800,103.03,104.145,103.09,103.7,12094749
1723133700,103.36,104.14,103.69,103.76,9835179
1723134600,102.78,103.79,103.77,103.0705,11329912
1723135500,103.03,103.77,103.07,103.5745,8384180
1723136400,102.92,103.85,103.58,103.5503,8368391
1723137300,103.43,104.605,103.57,104.59,9507492
1723138200,104.46,105,104.58,104.815,9237502
1723139100,104.78,105.46,104.82,105.015,10443194
1723140000,104.8401,105.455,105.0183,105.28,8115336
1723140900,104.612,105.5,105.29,104.8247,8219483
1723141800,104.6601,105.34,104.835,104.795,7943981
1723142700,104.73,105.2,104.795,104.9801,6395153
1723143600,103.91,104.99,104.98,104.3542,11570055
1723144500,104.13,104.99,104.37,104.205,8494558
1723145400,103.6603,105.09,104.22,105.04,13684447
1723146300,104.36,105.25,105.03,105.22,18300164
1723147200,104.95,105.64,105.16,105.27,27640865
1723148100,105.2,105.75,105.27,105.67,670259
1723149000,105.54,105.7593,105.65,105.68,379310
1723149900,102.9206,105.9,105.68,105.8,1192445
1723150800,105.51,105.8293,105.8,105.5797,237233
1723151700,104.97,105.7,105.58,105.61,846821
1723152600,105.36,105.65,105.64,105.41,2102897
1723153500,104.97,105.49,105.3944,105.42,198245
1723154400,105.15,105.55,105.42,105.2,268608
1723155300,105.19,105.46,105.25,105.41,168387
1723156200,105.29,105.45,105.4101,105.4,114338
1723157100,105.252,105.43,105.39,105.37,150694
1723158000,105.36,105.76,105.39,105.72,211576
1723158900,105.61,105.75,105.701,105.68,189501
1723159800,105.6663,105.976,105.6663,105.9602,225476
1723160700,105.94,106.2,105.97,106.2,441161
1723190400,105.26,106.87,105.84,106.7,520457
1723191300,106.68,109,106.72,107.55,374109
1723192200,107.27,107.98,107.54,107.49,381009
1723193100,107.03,107.5,107.47,107.43,221905
1723194000,107.36,107.68,107.44,107.6,183428
1723194900,107.44,107.74,107.59,107.45,173281
1723195800,107.2,107.6,107.45,107.2,175312
1723196700,106.9,107.47,107.19,107.2,254448
1723197600,106.62,107.2,107.13,106.72,232776
1723198500,106.16,106.8,106.73,106.8,299318
1723199400,106.42,106.9,106.84,106.43,136966
1723200300,106.45,106.89,106.45,106.84,163242
1723201200,106.71,107.41,106.82,107.08,615377
1723202100,106.37,107.32,107.07,106.48,540907
1723203000,105.5,106.64,106.49,105.75,708009
1723203900,105.68,107.05,105.71,106.79,818110
1723204800,105.04,107.7076,106.84,105.72,2512221
1723205700,105.11,106.12,105.71,105.54,995387
1723206600,104.08,105.51,105.51,105.01,1644978
1723207500,104.75,105.72,105.01,105.44,948745
1723208400,104.95,105.6,105.41,105,688847
1723209300,104.75,105.75,104.9515,105.51,1419813
1723210200,104.9,106.6,105.64,105.32,26008565
1723211100,103.76,105.7,105.32,103.82,21516700
1723212000,103.43,106.04,103.81,105.67,21376395
1723212900,104.16,105.88,105.67,104.19,14674181
1723213800,103.87,104.57,104.2,104.31,12355846
1723214700,104.2901,105.47,104.32,104.89,11490824
1723215600,104.57,105.68,104.895,104.845,9937795
1723216500,104.41,105.2,104.86,104.41,7812103
1723217400,104.08,104.68,104.42,104.22,8475738
1723218300,103.86,104.79,104.22,103.97,8773715
1723219200,103.72,104.3,103.97,103.841,7363223
1723220100,103.74,104.33,103.8527,104.2101,6783355
1723221000,104.1,104.595,104.21,104.2,7178228
1723221900,104.0501,104.54,104.2,104.3901,5738389
1723222800,104.305,105.23,104.39,105.195,7988233
1723223700,105.09,105.63,105.2,105.625,8370269
1723224600,105.16,105.8299,105.6255,105.325,7466312
1723225500,104.84,105.57,105.33,105.2292,8874368
1723226400,104.63,105.445,105.24,104.9,6763632
1723227300,104.82,105.23,104.88,105.1532,6157853
1723228200,104.81,105.32,105.15,105.16,5632333
1723229100,104.565,105.1599,105.15,104.765,6591633
1723230000,104.3,104.89,104.76,104.7497,6788944
1723230900,104.4,104.94,104.75,104.7401,6822820
1723231800,104.72,105.04,104.74,104.82,7563946
1723232700,104.21,105.04,104.82,104.71,13014708
1723233600,104.61,105.01,104.7,105.01,11733406
1723234500,104.75,105.05,105.01,104.83,335241
1723235400,104.79,104.91,104.86,104.84,151674
1723236300,104.6,104.88,104.83,104.641,199709
1723237200,104.57,104.7497,104.68,104.57,196102
1723238100,104.5,104.75,104.57,104.57,207045
1723239000,104.51,104.64,104.57,104.6,1719268
1723239900,104.58,104.64,104.6,104.61,59262
1723240800,104.58,104.64,104.63,104.6,64574
1723241700,104.59,104.64,104.6,104.63,65744
1723242600,104.6,104.64,104.62,104.64,35891
1723243500,104.61,104.72,104.64,104.698,56002
1723244400,104.65,104.75,104.69,104.69,45553
1723245300,104.62,104.82,104.69,104.77,115657
1723246200,104.7,104.765,104.765,104.75,124583
1723247100,104.75,104.84,104.75,104.7698,205009
1723449600,105.1,106.13,105.45,105.92,329559
1723450500,105.73,106.06,105.94,105.86,112998
1723451400,105.62,106.05,105.89,105.73,167321
1723452300,105.33,105.79,105.7,105.44,118696
1723453200,105.18,105.6,105.41,105.6,92030
1723454100,105.37,105.69,105.6,105.46,50573
1723455000,105.36,105.64,105.45,105.64,52716
1723455900,105.46,105.7,105.64,105.5,61319
1723456800,105.34,105.59,105.49,105.57,82971
1723457700,105.47,105.64,105.56,105.61,73625
1723458600,105.49,105.63,105.61,105.49,35412
1723459500,105.37,105.57,105.5,105.45,57506
1723460400,105.22,105.67,105.46,105.59,250858
1723461300,105.49,105.8,105.58,105.73,172419
1723462200,105.51,105.7,105.7,105.51,106560
1723463100,105.42,105.7,105.53,105.65,101286
1723464000,104.89,105.9793,105.44,105.6,814850
1723464900,105.5802,106.07,105.6,106.03,423954
1723465800,105.58,106.4464,106.0298,106.15,898798
1723466700,105.93,106.25,106.14,106.08,426182
1723467600,106.03,106.34,106.07,106.25,619075
1723468500,105.96,106.7,106.26,106.32,1242222
1723469400,106.26,108.5,106.32,106.9798,30251893
1723470300,106.58,107.99,106.9899,107.14,18844114
1723471200,107.02,110,107.15,109.9401,22704855
1723472100,109.56,111.07,109.94,110.06,24714170
1723473000,109.58,110.49,110.06,109.63,13734743
1723473900,109.24,110.3857,109.63,109.4403,11377289
1723474800,109.3,110.6825,109.45,110.335,12994082
1723475700,108.6,110.65,110.33,109.23,15228182
1723476600,108.17,109.22,109.22,108.835,13078241
1723477500,108.59,109.64,108.855,109.34,10066095
1723478400,108.81,109.41,109.34,109.255,8179322
1723479300,108.92,109.85,109.255,109.835,7986141
1723480200,109.78,110.38,109.835,110.0157,9298831
1723481100,109.2,110.35,110.02,109.28,7686320
1723482000,109,109.98,109.2999,109.93,8349115
1723482900,109.67,110.26,109.94,109.7899,6518203
1723483800,109.45,110.12,109.785,109.62,5673248
1723484700,109.06,109.8499,109.61,109.59,6800753
1723485600,109.36,109.83,109.6,109.715,5693154
1723486500,109.57,110.17,109.71,109.8585,6573964
1723487400,109.64,110.11,109.86,109.8901,5454837
1723488300,109.6801,110.09,109.895,110.0519,5325477
1723489200,109.04,110.08,110.06,109.1403,8640619
1723490100,109.07,109.655,109.16,109.3302,6872188
1723491000,108.86,109.6998,109.34,109.115,9340861
1723491900,108.68,109.27,109.105,109.1216,14049443
1723492800,108.81,109.18,109.12,109,19298370
1723493700,108.81,109.03,109.02,108.83,229244
1723494600,108.66,109.02,108.85,108.76,516977
1723495500,108.641,108.77,108.77,108.76,227326
1723496400,108.75,109.02,108.75,108.95,224235
1723497300,108.84,109.02,108.95,108.86,207334
1723498200,108.8,108.87,108.8503,108.86,91189
1723499100,108.75,108.94,108.85,108.82,86537
1723500000,108.8192,109.05,108.83,108.9999,2143192
1723500900,108.95,109.13,108.99,109.08,164566
1723501800,106.3,109.09,109.06,109.05,93675
1723502700,109,109.05,109.021,109.04,79717
1723503600,109.02,109.06,109.05,109.05,84473
1723504500,108.92,109.06,109.06,109,100668
1723505400,108.9203,109.06,109,108.98,85088
1723506300,108.9239,109.05,108.98,108.9239,198353
1723536000,109.88,111.38,110.9,111.02,598021
1723536900,110.71,111.27,111.04,111.07,265277
1723537800,110.71,111.06,111.04,110.77,163279
1723538700,110.56,110.84,110.76,110.76,149414
1723539600,110.62,110.76,110.76,110.65,80398
1723540500,110.67,110.97,110.68,110.88,88525
1723541400,110.52,111.09,110.88,110.61,227266
1723542300,110.53,110.98,110.6,110.7,132061
1723543200,110.36,110.71,110.71,110.45,141721
1723544100,110.13,110.48,110.48,110.29,121677
1723545000,110.14,110.46,110.3,110.3,128013
1723545900,109.82,110.36,110.29,109.83,225941
1723546800,109.57,110.14,109.83,110.1,448194
1723547700,110.1,110.539,110.1,110.51,296029
1723548600,110.44,110.74,110.52,110.74,319836
1723549500,110.7,111,110.73,110.98,315271
1723550400,109.292,111.28,109.68,111.151,2065675
1723551300,110.86,111.35,111.18,111.3493,699581
1723552200,111.35,113.3699,111.37,112.6,4351788
1723553100,112.45,113.3,112.66,113.16,1814504
1723554000,112.9,113.3,113.18,113,1284062
1723554900,112.35,113.15,112.9801,112.43,1339534
1723555800,111.58,113.06,112.44,112.3499,28790690
1723556700,112.35,113.95,112.35,113.7816,21998506
1723557600,113.71,114.43,113.79,114.215,17007029
1723558500,113.73,114.62,114.18,113.8258,12987396
