start,low,high,open,close,volume
1728460800,132.73,133.7,133.38,133.7,229582
1728461100,133.59,133.79,133.69,133.68,136548
1728461400,133.69,133.99,133.71,133.96,114213
1728461700,133.73,134,133.97,133.83,93089
1728462000,133.77,133.96,133.84,133.9,51846
1728462300,133.86,133.95,133.9,133.88,51742
1728462600,133.68,133.91,133.89,133.85,69881
1728462900,133.83,134.24,133.83,134.22,111959
1728463200,134.24,134.47,134.24,134.41,100680
1728463500,134.41,134.64,134.43,134.5,156620
1728463800,134.25,134.52,134.5,134.45,100782
1728464100,134.4,134.54,134.46,134.52,55137
1728464400,134.5,134.62,134.53,134.57,75551
1728464700,134.58,134.72,134.58,134.71,92667
1728465000,134.61,134.74,134.72,134.72,54931
1728465300,134.7,134.8,134.71,134.8,54365
1728465600,134.68,134.85,134.8,134.68,87030
1728465900,134.45,134.73,134.7,134.5,80037
1728466200,134.5,134.69,134.5,134.65,43932
1728466500,134.52,134.67,134.67,134.52,41031
1728466800,134.42,134.59,134.5,134.53,50697
1728467100,134.46,134.53,134.53,134.51,30751
1728467400,134.51,134.65,134.51,134.63,24050
1728467700,134.57,134.75,134.63,134.57,51453
1728468000,134.4,134.61,134.55,134.42,55619
1728468300,134.43,134.57,134.43,134.57,21363
1728468600,134.51,134.56,134.56,134.53,14912
1728468900,134.53,134.65,134.54,134.56,25410
1728469200,134.45,134.55,134.54,134.5,23569
1728469500,134.49,134.56,134.5,134.55,14058
1728469800,134.41,134.53,134.51,134.41,18028
1728470100,134.3,134.44,134.42,134.38,35182
1728470400,134.2,134.4,134.39,134.25,86839
1728470700,134.22,134.45,134.25,134.45,40654
1728471000,134.4,134.49,134.45,134.46,18939
1728471300,134.44,134.57,134.46,134.53,41929
1728471600,134.31,134.73,134.52,134.66,387763
1728471900,134.52,134.8,134.67,134.58,185409
1728472200,134.56,134.7,134.58,134.65,78631
1728472500,134.63,134.74,134.64,134.67,81794
1728472800,134.551,134.67,134.67,134.63,69269
1728473100,134.52,134.63,134.62,134.57,53996
1728473400,134.41,134.59,134.59,134.43,79835
1728473700,134.35,134.5,134.43,134.44,90042
1728474000,134.35,134.49,134.45,134.37,106281
1728474300,133.92,134.4,134.37,134.05,307060
1728474600,133.9,134.2,134.02,133.911,139016
1728474900,133.62,134.019,133.91,133.8,167377
1728475200,132.57,134.79,133.8,134.1,1727105
1728475500,134.06,134.33,134.1,134.11,293850
1728475800,134.07,134.2,134.14,134.07,112308
1728476100,134.07,134.35,134.07,134.32,492688
