start,low,high,open,close,volume
1666324800,118.87,124.98,120.982,124.66,63872025
1666584000,120.64,127.1,125.08,125.99,53523824
1666670400,126.64,133,126.935,132.61,52415889
1666756800,127.08,133.88,128.69,128.96,55366741
1666843200,131.22,138.38,136.3,131.76,61447869
1666929600,130.61,138.5,131.04,138.34,55134108
1667188800,132.97,138.38,137.78,134.97,51079903
1667275200,135.19,139.25,138.11,135.43,44603607
1667361600,132.1124,142.1,138.5,132.19,70271203
1667448000,129.56,137.81,130.43,134.21,51960330
1667534400,136.97,142.29,139.86,141.56,64355003
1667797200,139.54,144.12,142.28,143.01,42798884
1667883600,142.16,148.9101,148.01,146.02,61282498
1667970000,137.5901,142.11,141.615,137.76,48228978
1668056400,145.47,157.73,148,157.5,75430151
1668142800,154.82,163.89,158.075,163.27,68050763
1668402000,159.22,165.4,162.18,162.95,55672381
1668488400,163.82,169.98,167.215,166.66,57373881
1668574800,158.73,163.62,161.615,159.1,68719159
1668661200,155.35,162.66,157.15,156.77,72881841
1668747600,151.2001,160.02,159.66,154.09,51173495
1669006800,150.8,154.77,151.47,153.17,42561852
1669093200,151.216,160.5757,153.28,160.38,49188854
1669179600,160.4801,165.27,160.98,165.19,44252670
1669352400,161.72,164.87,163.18,162.7,17717427
1669611600,157.25,163.57,160.26,158.27,32906411
1669698000,155.2,159.32,158.27,156.39,31106825
1669784400,155.97,169.3,156.97,169.23,62291293
1669870800,166.35,172.65,169.99,171.35,50352370
1669957200,164.45,169.3257,166.59,168.76,38892287
1670216400,164.7201,169.95,166.79,166.1,37637286
1670302800,158.19,165.73,165.3,159.87,37087160
1670389200,156.67,161.86,157.72,161.2,38873541
1670475600,159.59,171.79,162.73,171.69,54227158
1670562000,169.75,175.83,171.6,170.01,48681575
1670821200,167.97,175.38,170.37,175.35,47837997
1670907600,177.11,187.9,185.31,180.72,68693255
1670994000,174.2,182.52,179.87,176.74,52365926
1671080400,167,173.2,171.46,169.52,51236181
1671166800,164.1,170.41,168.642,165.71,56651657
1671426000,161.45,166.09,165.72,162.54,37757766
1671512400,158.52,163.1,160.64,160.85,42319450
1671598800,161.02,166.27,161.14,165.01,34612883
1671685200,148.82,161.38,160.935,153.39,59520686
1671771600,148.83,153.39,151.96,152.06,36582597
1672117200,140.56,151,150.74,141.21,48435470
1672203600,138.84,142.62,139.27,140.36,36661959
1672290000,142.27,146.83,144.02,146.03,37806380
1672376400,142.33,146.2899,143.34,146.14,33304297
1672722000,140.96,149.96,148.51,143.15,41810749
1672808400,142.41,148.53,145.67,147.49,45047174
1672894800,141.4795,145.64,144.91,142.65,41702951
1672981200,140.34,150.1,144.74,148.59,43123117
1673240400,151.41,160.56,152.84,156.28,52588232
1673326800,154.72,159.6199,155.07,159.09,40374109
1673413200,155.63,160.28,158.3951,160.01,37772219
1673499600,154.92,166.37,161,165.11,57246159
1673586000,161.65,169.22,162.78,168.99,46579169
1673931600,168.99,177.28,168.99,177.02,53349850
1674018000,172.82,178.73,176.67,173.77,46116435
1674104400,167.31,171.97,170.36,167.65,48022329
1674190800,168.25,178.56,170.11,178.39,60373746
1674450000,178.175,192.45,180.64,191.93,68143517
1674536400,188.2,194.95,188.27,192.65,51556244
1674622800,185.8,193.7,189.125,193.23,46419756
1674709200,192.78,201.66,197.01,198.02,50881372
1674795600,194.05,206.28,194.62,203.65,55925775
1675054800,191.5,201.4,199.5,191.62,50754016
1675141200,189.5,196.87,191.695,195.37,52448249
1675227600,196.11,211.92,196.91,209.43,69248016
1675314000,207,219.49,210,217.09,57012533
1675400400,207.89,217.4499,210,211,45611088
1675659600,207.86,215.7,208.06,210.89,46678865
1675746000,211.5,222.59,213.82,221.73,68928590
1675832400,220.0801,228.78,223.87,222.05,58179290
1675918800,221.2,230.2,226.06,223.37,53963263
1676005200,208.11,220.7764,216.9,212.65,56862895
1676264400,209.62,220.48,215.38,217.88,50133579
1676350800,213.66,230.488,215.78,229.71,69801249
1676437200,221.06,228.55,225.49,227.64,44096797
1676523600,219.268,225.5,221.33,220.02,43957508
1676610000,209.75,217.4,216.31,213.88,48143019
1676955600,206.18,214.938,210,206.55,44553755
1677042000,204.21,211.04,207.07,207.54,53440494
1677128400,230.25,238.88,234.4,236.64,115126835
1677214800,229.47,234.74,232.25,232.86,61438022
1677474000,234.54,238.7994,236.7,235.01,46804659
1677560400,232.06,238.25,233.72,232.16,49947912
1677646800,225.08,232.5557,231.92,226.98,47676244
1677733200,224.32,233.804,224.88,233.14,40757880
1677819600,231.3,239,233.2,238.9,43661039
1678078800,234.87,242.48,238.91,235.54,45832416
1678165200,232.41,241.25,236,232.88,53100164
1678251600,234.235,242,234.87,241.81,53314270
1678338000,233.8284,244.54,241.75,234.36,52589800
1678424400,227.26,236.27,234.09,229.65,49754798
1678680000,222.97,232.98,227.52,229.66,44737487
1678766400,234.6,242.19,234.96,240.63,50577136
1678852800,233.6,242.86,237.61,242.28,54916008
1678939200,238.94,255.88,240.27,255.41,61099837
1679025600,256.68,263.99,259.82,257.25,101839860
1679284800,251.2983,260.24,256.15,259,45236193
1679371200,253.81,263.92,261.8,261.99,56824563
1679457600,262.37,275.89,264.25,264.68,80972030
1679544000,266.9,274.99,271.155,271.91,57026890
1679630400,263.55,271.67,270.31,267.79,47038091
1679889600,263.65,270,268.37,265.31,37487743
1679976000,258.5,265.13,264.47,264.1,36773145
1680062400,265.97,270.78,268.25,269.84,41868011
1680148800,271.02,274.99,272.29,273.83,38269301
1680235200,271.05,278.3431,271.4,277.77,43598777
1680494400,273.36,280,275.09,279.65,41864269
1680580800,273.07,280,279.66,274.53,38711401
1680667200,263.95,269.98,268.29,268.81,53546442
1680753600,264.27,270.8,265.84,270.37,41498845
1681099200,266.69,276.2099,268.23,275.79,40916478
1681185600,271.26,277.9,277.235,271.69,32919396
1681272000,264.475,274.6799,273.7,264.95,45953272
1681358400,263.29,268.869,267.34,264.63,37543209
1681444800,262.2,268.83,265.04,267.58,41094420
1681704000,264.3318,270.06,265.655,270.02,32325429
1681790400,273.57,281.1,275.335,276.67,61830458
1681876800,272.32,280,273.61,279.31,36071939
1681963200,270,280.3,276.71,271.04,44864247
1682049600,267.22,271.83,269.52,271.19,36156701
1682308800,266.7101,273.6599,270.13,270.42,34081193
1682395200,262.25,272.47,270.78,262.41,37987463
1682481600,267.051,273.3,270.02,269.56,40904650
1682568000,266.2501,274.95,273.63,272.26,37927648
1682654400,270.7148,277.58,272.25,277.49,31144754
1682913600,277.8,290.5844,278.4,289.1,57212367
1683000000,280.83,288.3599,286.8,282.1,41867326
1683086400,274.72,283.67,278.4,278.02,39671487
1683172800,272.4,278.59,276.51,275.62,33552343
1683259200,277.31,287.55,278.255,286.8,38068801
1683518400,283.5,292.2,285.22,291.51,35728327
1683604800,284.5,289.73,288.99,285.71,32978722
1683691200,284.6128,291.13,290.05,288.85,37237717
1683777600,282.46,289.5,288.96,285.78,33692515
1683864000,280.46,287.8,285.29,283.4,27560361
1684123200,281.52,289.69,285.085,289.53,30990713
1684209600,288.32,298.7,288.41,292.13,45059492
1684296000,294.3001,301.99,295.84,301.78,45586184
1684382400,303.2,318.28,304.1,316.78,77370786
1684468800,309.16,315.8,315.36,312.64,49975477
1684728000,306.8,315.2,309.01,311.76,38956449
1684814400,306.31,312.88,310,306.88,35625326
1684900800,298.06,306.07,302.1,305.38,72141851
1684987200,366.35,394.8,385.23,379.8,156572617
1685073600,375.5,391.7,378.9,389.46,75676840
1685419200,399.49,419.38,405.95,401.11,92340113
1685505600,378.22,402.95,394.88,378.34,100798988
1685592000,383.4,400.5,384.89,397.7,64073543
1685678400,390.5801,405,400.97,393.27,56804963
1685937600,387.07,395.6503,389.09,391.71,39622572
1686024000,381.48,391.6,388.3,386.54,38872217
1686110400,373.56,394.99,389.15,374.75,51229255
1686196800,375.05,388.64,377.24,385.1,41785641
1686283200,385.67,397.11,390.37,387.7,42855407
1686542400,386.18,395.2999,392,394.82,38970455
1686628800,397.4,411.01,401.86,410.22,61334763
1686715200,405.52,430,408.24,429.97,74038755
1686801600,421.47,432.89,426.02,426.53,56849710
1686888000,426.605,437.21,434.5,426.92,65548809
1687233600,426.74,439.9,429.98,438.08,45123463
1687320000,420.8,436.15,435.01,430.45,55187835
1687406400,422.34,434.255,422.53,430.25,41780819
1687492800,420.15,428.09,424.64,422.09,35833560
1687752000,401,427.64,424.61,406.32,59440026
1687838400,404.48,419.4,407.99,418.76,46408477
1687924800,405.18,418.45,406.6,411.17,58283768
1688011200,406,416,415.58,408.22,38051430
1688097600,415.01,425.5,416.8,423.02,49567756
1688356800,422.02,428.98,425.17,424.13,19770252
1688529600,420.85,431.77,421.35,423.17,32371034
1688616000,413.46,421.79,418.44,421.03,30422017
1688702400,421.8,432.14,423.22,425.03,35588149
1688961600,416.49,428.11,426.57,421.8,35430049
1689048000,420.67,427.58,424.81,424.05,30185091
1689134400,427.7728,439.35,430.33,439.02,48153862
1689220800,444.92,461.55,445.18,459.77,47856483
1689307200,450.6,480.88,465.8281,454.69,77208933
1689566400,452.6241,464.96,462.89,464.61,51062648
1689652800,457.34,478.9599,467.01,474.94,57036869
1689739200,467.42,478.18,474.64,470.77,42816008
1689825600,450.62,470.87,465.07,455.2,53833607
1689912000,441,458.66,457.88,443.09,97466460
1690171200,440.4,451.09,447.31,446.12,38317522
1690257600,449.23,461.825,449.41,456.79,34934388
1690344000,446.3,460.53,460.21,454.52,36435215
1690430400,457.5,473.95,465.19,459,45611385
1690516800,463.81,470.27,466.68,467.5,33119424
1690776000,465.0601,471.3,467.54,467.29,25114815
1690862400,460.27,469,464.595,465.07,23951637
1690948800,433.87,458.4,458.31,442.69,53028453
1691035200,438,451.18,438,445.15,32515687
1691121600,443.93,456.42,449.85,446.8,36266620
1691380800,445.6345,455.4,451.11,454.165,32221369
1691467200,440.5601,452.42,448.53,446.64,35398862
1691553600,421.34,443.12,442.74,425.54,58662685
1691640000,418.35,435.74,421.6,423.88,49273399
1691726400,406.39,420.18,417.51,408.55,53308527
1691985600,403.11,438,404.86,437.53,69109577
1692072000,437.1,452.68,445.6,439.4,67664826
1692158400,434.06,446.75,445.2,434.86,52759646
1692244800,430.01,440.62,439.7,433.435,45257691
1692331200,416.6,435.7799,426.35,432.99,58376788
1692590400,442.22,470.65,444.94,469.67,69286886
1692676800,453.331,481.87,481.35,456.68,75744767
1692763200,452.08,472,458.66,471.16,78516548
1692849600,471.59,502.66,502.16,471.63,115650628
1692936000,450.24,478.05,470.12,460.18,92618866
1693195200,448.88,469.8,464.82,468.35,68539813
1693281600,463.9101,490.81,466.66,487.84,70161175
1693368000,484.25,499.27,490.44,492.64,73530144
1693454400,489.58,497.44,493.8,493.55,52870144
1693540800,481.416,498,497.62,485.09,46383031
1693886400,478.6,488.5081,482.23,485.48,38274041
1693972800,465.8,485.49,484.41,470.61,46883773
1694059200,451.52,463.44,455.25,462.41,43340006
1694145600,452.71,466.06,459.42,455.72,47389996
