start,low,high,open,close,volume
1695196800,429.05,435,435,432.1,61001
1695200400,431.76,432.51,432.2,432.12,14654
1695204000,431.5,432.2,432.2,431.5,11708
1695207600,431.78,434.91,431.78,433.8,100280
1695211200,431.85,436.99,431.99,436.8,248029
1695214800,432.8326,439.03,436.74,437.5152,5195497
1695218400,433.79,437.59,437.52,434.19,5083432
1695222000,432.66,435.4699,434.1622,435.46,3865045
1695225600,434.61,435.96,435.405,434.9,2027570
1695229200,431.1,435,434.95,432.37,3046874
1695232800,429.13,433.8797,432.35,430.715,5924254
1695236400,422.23,431.5599,430.6101,422.31,8209342
1695240000,419.52,422.41,422.31,420.87,2204322
1695243600,420.18,422.39,420.9,420.75,535238
1695247200,420.3,421.5,420.72,420.35,89267
1695250800,420.1,420.65,420.3,420.34,86961
1695283200,416,419.61,417.7,416.47,51014
1695286800,415.45,416.99,416.82,415.64,54503
1695290400,415.26,416.54,415.8,416.54,47814
1695294000,412,416.95,416.59,413.1,299456
1695297600,411.5,419.2,413.2,412.39,608207
1695301200,412,421,412.5,413.2401,8664463
1695304800,412.71,418.25,413.6,416.0469,9123190
1695308400,413.33,417.2,415.99,413.76,4812789
1695312000,412.9,415.4431,413.78,413.52,3706762
1695315600,413.1501,416.6,413.545,414.72,3635333
1695319200,412.37,414.9,414.7,412.38,3504251
1695322800,409.8,412.96,412.41,410.06,7991547
1695326400,408.75,414.22,410.05,409.5999,2141067
1695330000,407.2538,409.55,409.55,407.64,197920
1695333600,407.75,409.14,407.75,408.54,101032
1695337200,407.68,408.52,408.46,408.15,126365
1695369600,411.84,414.54,412.73,414.36,80755
1695373200,413.83,415.9,414.25,415.4,31312
1695376800,414.6,415.45,415.45,414.6,30578
1695380400,413.3,414.75,414.5,413.75,120943
1695384000,411.85,416.37,413.05,416.09,468160
1695387600,413.35,419.14,416.09,416.75,6785882
1695391200,412.31,420.3,416.77,419.71,9855658
1695394800,418.29,421.15,419.74,418.4401,7782129
1695398400,418,419.9,418.46,418.959,3570378
1695402000,414.89,418.96,418.96,414.93,4584037
1695405600,412.99,416.06,414.9274,415.4888,4569510
1695409200,415.3,419.79,415.46,416.15,7014136
1695412800,415.9,416.75,416.1,416.2,2149610
1695416400,416.16,416.4675,416.2,416.38,23082
1695420000,415.92,416.44,416.44,415.92,39178
1695423600,415.2,416,416,415.87,66992
1695628800,414.57,419.9,419.9,415.59,40222
1695632400,414.5,416.8,415.82,415.4,15375
