start,low,high,open,close,volume
1730756580,136.23,136.3,136.24,136.25,12105
1730756640,136.25,136.29,136.26,136.25,14652
1730756700,136.21,136.25,136.23,136.2201,9404
1730756760,136.22,136.25,136.23,136.23,15992
1730756820,136.22,136.2494,136.2299,136.23,12048
1730756880,136.2,136.23,136.22,136.229,21838
1730756940,136.2,136.23,136.23,136.23,17271
1730757000,136.2,136.23,136.23,136.23,10408
1730757060,136.2,136.23,136.23,136.23,12747
1730757120,136.2,136.23,136.21,136.23,7805
1730757180,136.211,136.23,136.23,136.22,2937
1730757240,136.22,136.23,136.23,136.23,9713
1730757300,136.19,136.23,136.23,136.19,10184
1730757360,136.19,136.2,136.19,136.19,5714
1730757420,136.15,136.2,136.19,136.16,12847
1730757480,136.12,136.1899,136.161,136.12,23978
1730757540,136.1131,136.15,136.15,136.15,17175
1730757600,136.12,136.15,136.15,136.13,8523
1730757660,136.1101,136.14,136.12,136.1101,5589
1730757720,136.11,136.2,136.11,136.15,20798
1730757780,136.14,136.15,136.15,136.14,5728
1730757840,136.13,136.15,136.1403,136.13,10410
1730757900,136.1397,136.15,136.1397,136.15,9230
1730757960,136.14,136.15,136.14,136.15,7890
1730758020,136.13,136.15,136.14,136.13,17652
1730758080,136.11,136.14,136.13,136.13,2876
1730758140,136.09,136.13,136.1101,136.119,17482
1730758200,136.1,136.12,136.1,136.12,4266
1730758260,136.1,136.12,136.11,136.11,11091
1730758320,136.06,136.12,136.12,136.06,9845
1730758380,136.02,136.07,136.06,136.06,22227
1730758440,136.05,136.09,136.0501,136.05,7512
1730758500,136.0692,136.08,136.0698,136.0702,3704
1730758560,136.05,136.08,136.08,136.06,3930
1730758620,135.96,136.04,136.04,135.96,48788
1730758680,135.96,136,135.9895,135.97,8043
1730758740,135.96,136,135.98,135.96,16118
1730758800,135.95,135.98,135.96,135.95,12427
1730758860,135.94,135.97,135.95,135.9539,15049
1730758920,135.93,135.96,135.96,135.96,19170
1730758980,135.881,135.96,135.95,135.89,20513
1730759040,135.85,135.881,135.881,135.85,13332
1730759100,135.83,135.87,135.84,135.86,8141
1730759160,135.85,135.95,135.869,135.95,15797
1730759220,135.93,135.98,135.95,135.98,4308
1730759280,135.78,136.07,135.98,135.85,46126
1730759340,135.77,135.9191,135.8,135.89,10571
1730759400,135.88,135.98,135.88,135.9,3059
1730759460,135.86,135.95,135.88,135.86,3142
1730759520,135.85,135.89,135.85,135.87,4634
1730759580,135.85,135.94,135.87,135.94,5181
1730759640,135.93,136.07,135.93,136,15455
1730759700,135.95,136.02,136,136,9182
1730759760,136.01,136.04,136.02,136.04,4484
1730759820,136.0587,136.08,136.07,136.0587,2210
1730759880,136.03,136.07,136.05,136.0601,4650
1730759940,135.99,136.06,136.06,136.01,7747
1730760000,135.95,136.02,135.9601,136.02,4495
1730760060,135.95,136.02,136,135.98,6884
1730760120,135.95,135.99,135.99,135.95,2052
1730760180,135.92,135.9503,135.95,135.9208,7010
1730760240,135.95,135.9999,135.95,135.9999,4636
1730760300,135.97,136,136,135.97,5802
1730760360,135.98,136.02,136,136.02,7444
1730760420,135.93,136.07,136.019,136,12578
1730760480,135.92,136.03,136,136,11057
1730760540,136,136.07,136,136.07,3354
1730760600,136.06,136.1,136.06,136.1,4003
1730760660,136.01,136.1,136.1,136.0501,8766
1730760720,136.01,136.05,136.05,136.05,1566
1730760780,136.05,136.11,136.05,136.0901,9240
1730760840,136.06,136.12,136.0616,136.12,3010
1730760900,136.09,136.1297,136.1297,136.11,3555
1730760960,136.0699,136.11,136.08,136.07,4474
1730761020,136,136.0799,136.0799,136.0044,5683
1730761080,136,136.02,136.01,136.02,8272
1730761140,136,136.06,136.02,136,7954
1730761200,136,136.2,136.1,136.07,22468
1730761260,136.05,136.18,136.09,136.1,6879
1730761320,136.02,136.09,136.06,136.03,7827
1730761380,136.04,136.09,136.04,136.09,6338
1730761440,136.05,136.09,136.07,136.0897,9097
1730761500,136.02,136.09,136.09,136.07,9491
1730761560,136.0601,136.14,136.0899,136.14,3258
1730761620,136.02,136.1,136.0803,136.02,3843
1730761680,136.02,136.07,136.07,136.02,2241
1730761740,136.02,136.07,136.02,136.07,7728
1730761800,136,136.08,136.04,136.04,12238
1730761860,136.02,136.02,136.02,136.02,942
1730761920,135.95,136.01,136,135.96,10464
1730761980,135.95,135.9899,135.97,135.98,5771
1730762040,135.96,136.0655,135.96,136.04,7420
1730762100,135.98,136.04,136.04,135.98,3783
1730762160,135.95,135.9999,135.98,135.98,1847
1730762220,135.96,135.99,135.96,135.99,3272
1730762280,135.9,135.98,135.96,135.9,5373
1730762340,135.9,135.93,135.9,135.93,5557
1730762400,135.9,135.95,135.9,135.95,5690
1730762460,135.91,135.949,135.92,135.91,1227
1730762520,135.9,135.9377,135.93,135.9,2244
1730762580,135.9,135.93,135.9,135.93,3660
1730762640,135.9,135.93,135.9,135.93,5939
1730762700,135.92,135.9799,135.92,135.9799,4408
1730762760,135.9512,136,135.98,135.96,3939
1730762820,135.95,135.98,135.96,135.98,4336
1730762880,135.95,135.98,135.95,135.96,3780
1730762940,135.93,135.98,135.96,135.93,7631
1730763000,135.9,135.94,135.93,135.93,6583
1730763060,135.87,135.901,135.901,135.9,9828
1730763120,135.87,135.9,135.9,135.87,3732
1730763180,135.86,135.88,135.88,135.86,6625
1730763240,135.85,135.88,135.86,135.88,5965
1730763300,135.8612,135.93,135.868,135.93,3736
1730763360,135.92,135.93,135.93,135.93,1824
1730763420,135.93,135.979,135.93,135.979,4758
1730763480,135.97,135.98,135.98,135.97,1905
1730763540,135.95,135.984,135.98,135.98,4087
1730763600,135.9204,136,135.99,135.9204,29070
1730763660,135.97,135.9999,135.9999,135.97,7943
1730763720,136,136.01,136,136,1286
1730763780,136.01,136.0497,136.0198,136.0497,7747
1730763840,136.03,136.05,136.04,136.05,5914
1730763900,135.91,136.0586,136.0499,135.91,17744
1730763960,135.9,135.99,135.95,135.99,2858
1730764020,135.94,136,135.99,135.999,8110
1730764080,135.98,136,135.9988,135.99,3804
1730764140,135.94,135.99,135.99,135.95,3652
1730764200,135.9,135.99,135.941,135.99,4411
1730764260,135.99,135.99,135.99,135.99,1389
1730764320,135.97,136.0001,136,135.97,7229
1730764380,135.99,135.9901,135.99,135.99,2478
1730764440,135.95,136,135.999,135.96,5600
1730764500,135.95,135.97,135.95,135.9603,2537
1730764560,135.96,135.97,135.9601,135.9699,2061
1730764620,135.98,136.01,135.98,136,7454
1730764680,136,136.0259,136.01,136.01,3441
1730764740,136,136.02,136.02,136.01,3219
1730764800,136,136.02,136.01,136.01,4216
1730764860,136,136.04,136.0192,136.04,4937
1730764920,135.9701,136.03,136,135.99,6480
1730764980,135.97,136,135.97,135.98,5275
1730765040,135.95,135.99,135.99,135.95,2079
1730765100,135.95,135.98,135.951,135.95,1125
1730765160,135.9,135.95,135.95,135.91,9805
1730765220,135.85,135.92,135.92,135.87,11532
1730765280,135.85,135.88,135.86,135.88,7701
1730765340,135.85,135.88,135.86,135.8507,9978
1730765400,135.84,135.8699,135.85,135.84,5906
