start,low,high,open,close,volume
1713168000,881.52,890.5,881.52,887.5,59482
1713169800,887.42,889.35,887.54,888.5,11071
1713171600,888.59,893.77,888.59,890.4,37247
1713173400,890.23,891.1,890.4,890.55,4867
1713175200,891,894.5,891,891.99,26373
1713177000,891.45,893.49,892.43,891.45,11017
1713178800,887.52,892.5,891.3,890.85,121724
1713180600,887.75,891.51,890.86,889.05,77918
1713182400,879,891.5056,889.71,887.13,267214
1713184200,886,889.88,887.01,889.78,174170
1713186000,889.5,891.49,889.87,891.11,152003
1713187800,882.3,904.24,891,901.575,7519877
1713189600,893.26,906.13,901.64,899.3444,4973857
1713191400,886.499,901.2199,899.39,887.47,3198478
1713193200,883.04,890.18,887.76,886.8,2507544
1713195000,886.6576,890.93,886.87,889.6201,2092439
1713196800,883.05,891.9565,889.56,883.0627,1681355
1713198600,875.88,883.5116,883.05,880.7699,2490105
1713200400,867.8,883.3378,880.51,868.57,2740817
1713202200,863.3301,870.729,868.845,869.2568,3194864
1713204000,864.8,869.98,869.25,868.06,2013994
1713205800,866,872.7899,867.9,868.335,2068760
1713207600,860.14,868.3789,868.335,860.19,2585049
1713209400,859.2901,866.859,860.34,860.01,3910087
1713211200,855.85,880,860.01,858.65,1895985
1713213000,855,859.34,858.76,857.4,121000
1713214800,855.14,857.8298,857.1124,856.16,73561
1713216600,853.85,860.01,856.25,856,76825
1713218400,856.06,857.5,856.06,856.75,50468
1713220200,856.25,858.2,856.6837,857.34,47215
1713222000,856.4001,857.5,857.34,857.14,35064
1713223800,856.5,857.8,857.22,857,55501
1713254400,857.11,862.6,857.52,861.3,42195
1713256200,860.1,862.19,861.35,861,16384
1713258000,859.2,860.71,860.12,859.64,6945
1713259800,852,859.97,859.97,854.01,30996
1713261600,849.3,852.95,852.5,850.65,49159
1713263400,851,858.84,851,857.58,37395
1713265200,857.5,864.23,857.61,863.06,112456
1713267000,862.71,868.28,862.99,865,110692
1713268800,855,868.3,858.99,863.16,242512
1713270600,863.21,867.7,863.46,866.36,140125
1713272400,863.77,867.2,866.36,865,115932
