start,low,high,open,close,volume
1723104000,433.29,434.78,434.78,434,62966
1723104900,433.54,434.27,434.19,433.63,23577
1723105800,433.61,434.79,433.61,434.67,11121
1723106700,434.79,435.5,434.79,435.45,21571
1723107600,435.21,435.94,435.5,435.45,13835
1723108500,434.8,435.55,435.55,435.04,12028
1723109400,434.36,435.44,435.39,434.43,15588
1723110300,433.51,434.51,434.2,434.43,37888
1723111200,433.67,434.52,434.46,434.5,27934
1723112100,434.33,435.3,434.37,435.02,13367
1723113000,434.9,435.5,435.06,434.92,10639
1723113900,434.44,435.33,435.04,434.93,11659
1723114800,434.14,435.74,434.86,435.74,92885
1723115700,434.91,435.53,435.526,435.19,66703
1723116600,434.8,435.59,435,435.52,35595
1723117500,435.24,435.69,435.39,435.43,59545
1723118400,433.13,436.68,434.66,435.15,200515
1723119300,434.59,435.51,435.31,435.1,115275
1723120200,435.46,440.4,435.55,439.8,731482
1723121100,438.91,440.46,439.72,439.43,292829
1723122000,439.17,440.25,439.5,440.0696,176043
1723122900,439.88,441.64,440.03,441,376571
1723123800,438.7501,441.43,441.07,438.78,3032473
1723124700,437.15,440.72,438.87,440.6025,2899927
1723125600,440.19,442.88,440.68,442.845,2196965
1723126500,442.55,444.93,442.84,444.75,2309046
1723127400,444.14,445.44,444.79,444.42,1449969
1723128300,444.31,446.09,444.45,445.49,1625697
1723129200,443.49,445.64,445.53,443.68,1157678
1723130100,443.37,445.49,443.75,444.78,1187651
1723131000,444.4,445.61,444.8,445.06,784668
1723131900,444.14,445.7,445.06,445.32,1379773
1723132800,445.19,446.85,445.32,446.2589,982614
1723133700,445.89,446.68,446.26,446.1,643844
1723134600,444.28,446.13,446.12,444.91,954517
1723135500,444.845,446,444.9,445.37,756462
1723136400,444.22,445.84,445.42,445.58,1187979
1723137300,445.45,447.57,445.61,447.54,1053400
1723138200,447.38,448.06,447.57,447.8,1354456
1723139100,447.68,448.43,447.81,447.995,786802
1723140000,447.7,448.95,448,448.6,912986
1723140900,447.57,448.99,448.6,447.96,955154
1723141800,446.99,448.54,447.97,447.16,1176356
1723142700,446.99,447.93,447.17,447.47,1017047
1723143600,446.1,447.93,447.43,447.28,1321518
1723144500,446.18,447.8485,447.3013,446.26,1327990
1723145400,445.34,447.93,446.28,447.85,2554828
