start,low,high,open,close,volume
1728460800,487.63,488.07,487.99,488.05,24924
1728461100,487.82,488.07,488.05,487.85,5828
1728461400,487.8,488.02,487.82,487.9,8062
1728461700,487.4,487.93,487.86,487.46,15581
1728462000,487.3,487.51,487.4,487.43,7910
1728462300,487.26,487.45,487.45,487.42,2896
1728462600,487.27,487.62,487.37,487.62,3397
1728462900,487.74,487.9,487.74,487.9,2454
1728463200,487.8,487.9,487.9,487.88,2668
1728463500,487.99,488.14,488.03,488.01,6206
1728463800,487.78,488.01,488.01,487.86,3405
1728464100,487.87,488.05,487.87,488,4079
1728464400,488.12,488.21,488.17,488.15,5143
1728464700,488.16,488.21,488.19,488.18,1489
1728465000,488.16,488.24,488.24,488.16,2046
1728465300,488.33,488.47,488.33,488.46,4515
1728465600,488.42,488.55,488.55,488.45,2794
1728465900,488.32,488.39,488.38,488.34,1428
1728466200,488.33,488.46,488.33,488.46,3208
1728466500,488.33,488.47,488.47,488.33,2502
1728466800,488.38,488.52,488.4,488.52,1337
1728467100,488.52,488.56,488.52,488.55,2602
1728467400,488.57,488.63,488.57,488.59,910
1728467700,488.55,488.55,488.55,488.55,343
1728468000,488.47,488.5,488.48,488.47,560
1728468300,488.58,488.7,488.58,488.67,2469
1728468600,488.7,488.88,488.7,488.88,6106
1728468900,488.85,489.13,488.85,489,4883
1728469200,488.94,488.99,488.99,488.99,1525
1728469500,488.95,488.95,488.95,488.95,446
1728469800,488.83,488.99,488.99,488.87,4362
1728470100,488.85,488.91,488.87,488.9,3115
1728470400,488.99,489,489,489,1513
1728470700,489.06,489.06,489.06,489.06,1259
1728471000,489.02,489.18,489.09,489.02,5458
1728471300,488.89,489.05,489,488.9,5700
1728471600,488.93,489.18,488.94,488.93,12786
1728471900,488.74,489.01,488.92,488.79,8441
1728472200,488.85,488.97,488.85,488.97,9034
1728472500,488.96,489,488.96,488.97,5783
1728472800,488.93,488.99,488.93,488.93,2408
1728473100,488.76,488.96,488.93,488.81,11548
1728473400,488.65,488.86,488.84,488.71,6532
1728473700,488.54,488.71,488.69,488.6,5123
1728474000,488.68,488.81,488.68,488.7,2753
1728474300,488.68,488.95,488.8,488.74,3491
1728474600,488.7,488.75,488.75,488.72,998
1728474900,488.35,488.74,488.74,488.35,16167
1728475200,487,489.198,489.15,488.55,67723
1728475500,488.6,488.934,488.6,488.64,5730
1728475800,488.5209,488.69,488.68,488.56,3951
1728476100,488.5525,488.7,488.6,488.68,5482
1728476400,488.39,488.64,488.64,488.52,22844
1728476700,488.46,488.78,488.5,488.78,9194
1728477000,488.65,488.75,488.72,488.71,8594
1728477300,488.7001,488.85,488.7001,488.85,9269
1728477600,488.51,488.8509,488.8509,488.56,10667
1728477900,488.24,488.53,488.53,488.4,25790
1728478200,488.34,488.68,488.4396,488.672,5475
1728478500,488.67,488.78,488.68,488.72,3504
1728478800,488.72,489,488.72,489,8802
1728479100,489,489.24,489.051,489.2,22730
1728479400,489.02,489.281,489.2,489.06,8895
1728479700,488.9692,489.39,489,489.35,11848
1728480000,489.29,489.38,489.37,489.38,18758
1728480300,488.9,489.381,489.35,489.01,26746
1728480600,488.3,489.17,488.98,488.42,446689
1728480900,488.04,488.78,488.4,488.69,416666
1728481200,487.95,489.38,488.69,488.25,566970
1728481500,487.97,488.89,488.25,488.575,341720
1728481800,488.2,488.76,488.561,488.61,275279
1728482100,488.1,488.7,488.62,488.595,314918
1728482400,488.51,489.165,488.59,488.88,477964
1728482700,488.66,489.5,488.88,489.0599,641881
1728483000,489.11,489.57,489.18,489.4094,238560
1728483300,489.25,489.9012,489.39,489.9,379266
1728483600,489.5829,490.25,489.9,490.18,410260
1728483900,490.07,490.7,490.19,490.42,381584
1728484200,490.15,490.6663,490.44,490.65,269290
1728484500,490.16,490.73,490.61,490.5487,228711
1728484800,490.01,490.59,490.51,490.22,161269
1728485100,489.8,490.34,490.24,490,197044
1728485400,489.77,490.3199,489.98,489.91,188997
1728485700,489.95,490.92,489.985,490.888,208919
1728486000,490.91,491.47,490.91,491.15,432021
1728486300,491.185,491.41,491.21,491.32,211172
