start,low,high,open,close,volume
1695196800,369.67,370.6,370.05,370.56,35613
1695200400,370.37,370.7,370.6,370.6,19160
1695204000,370.25,370.63,370.51,370.57,85116
1695207600,370.33,370.75,370.55,370.6,68471
1695211200,369.11,371.21,369.24,371.2,250273
1695214800,369.87,371.33,371.2,370.765,3047622
1695218400,369.42,370.9692,370.78,369.58,4205828
1695222000,368.77,369.91,369.59,369.89,3666325
1695225600,369.5,370.11,369.89,370.05,2088221
1695229200,369.22,370.15,370.06,369.76,2039765
1695232800,367.75,370.28,369.73,368.19,12970181
1695236400,364.46,368.68,368.17,364.54,14274690
1695240000,363.97,364.69,364.54,364.08,2419243
1695243600,363.95,364.21,364.12,364.091,73371
1695247200,363.7,364.44,364.19,363.92,198652
1695250800,363.55,364.07,363.85,363.6,150957
1695283200,362.36,363.64,363.5,362.54,75376
1695286800,362,362.83,362.5,362.13,139504
1695290400,361.56,362.15,362.14,361.75,91269
1695294000,360.68,361.97,361.85,360.76,489408
1695297600,359.8,364.813,361.34,360.2,1416826
1695301200,359.435,361.6,360.2,359.5,10970692
1695304800,359.17,361.56,359.47,360.2094,13018306
1695308400,359.61,360.81,360.21,359.82,6931507
1695312000,359.2273,360.44,359.81,359.86,5890377
1695315600,359.795,361.12,359.86,360.59,6304752
1695319200,359.2,360.67,360.6084,359.29,5476462
1695322800,357.69,359.64,359.27,357.755,14534308
1695326400,357.32,357.93,357.76,357.48,3658178
1695330000,357.37,357.86,357.48,357.41,529537
1695333600,357.45,357.99,357.45,357.88,144379
1695337200,357.43,357.89,357.89,357.55,114991
1695369600,358.63,359.33,358.93,359.2,177079
1695373200,358.91,359.61,359.16,359.57,36666
1695376800,359.22,359.66,359.5,359.49,38186
1695380400,359.05,359.42,359.38,359.3,147241
1695384000,358.128,360.46,358.27,360.03,1217890
1695387600,358.44,360.21,360.06,359.94,7029362
1695391200,359.03,361.51,359.945,361.38,8278911
1695394800,360.565,361.8,361.39,360.5999,5419372
1695398400,360.45,361.68,360.6,361.32,3333301
1695402000,358.95,361.37,361.325,359.12,5416434
1695405600,357.9099,359.31,359.11,358.5,5189350
1695409200,357.59,360.6001,358.5,357.94,11923833
1695412800,357.91,358.5,357.94,358.1,3282857
1695416400,358.1,358.5,358.1,358.35,48195
1695420000,358.2,358.4,358.4,358.2,18888
1695423600,358.05,358.27,358.19,358.23,22916
1695628800,356.35,359.52,359.34,357.3,249568
1695632400,357.17,357.92,357.25,357.7,71178
1695636000,357.29,358.15,357.78,357.82,49132
1695639600,356.71,358.05,357.78,356.9,227351
1695643200,356.39,359.6,356.89,356.89,532401
1695646800,355.93,358.68,356.85,358.18,6642200
1695650400,356.725,358.4,358.2,356.79,6500450
1695654000,356.77,359.27,356.786,358.77,5812488
1695657600,357.91,359.6,358.76,358.35,3577499
1695661200,358.05,359.25,358.36,358.82,2854448
1695664800,358.03,359.15,358.81,358.16,2905420
1695668400,357.38,359.7,358.17,359.65,7618197
1695672000,358.2253,360.08,359.64,360.03,1656713
1695675600,359.88,360.14,359.99,360.11,79585
1695679200,359.75,360.1,360.1,359.8,104685
1695682800,359.56,359.8,359.8,359.58,124672
1695715200,357.5,358.49,357.58,357.86,111854
1695718800,357.3,358.03,357.86,357.36,48329
1695722400,357.42,358.15,357.45,358.15,36213
1695726000,357.45,358.52,358.11,358.19,189452
1695729600,356.53,359.879,358.3,357.48,397008
1695733200,355.5739,357.54,357.5,355.7499,6303225
1695736800,354.63,356.58,355.72,355.69,11025541
1695740400,354.63,355.89,355.69,354.94,5470952
1695744000,354.59,355.99,354.95,355.53,4162329
1695747600,354.15,356.025,355.55,354.9301,5892659
1695751200,353.81,354.94,354.94,354.22,5398136
