start,low,high,open,close,volume
1713168000,440.02,440.8,440.77,440.49,374643
1713169800,440.44,440.85,440.54,440.63,125426
1713171600,440.26,441.05,440.63,440.44,153617
1713173400,440.24,440.72,440.41,440.42,21001
1713175200,440.4,440.77,440.55,440.45,35684
1713177000,440.39,440.91,440.39,440.61,134683
1713178800,440.35,441.079,440.6,440.9,127991
1713180600,440.64,441.1,440.97,440.949,59569
1713182400,438.598,441.35,440.96,441.24,259974
1713184200,440.48,442.29,441.13,441.96,594127
1713186000,441.92,442.42,442.03,442.03,257323
1713187800,440.27,442.15,442.06,441.34,5304686
1713189600,438.59,441.84,441.34,439.51,4135706
1713191400,438.12,440,439.51,438.14,3482978
1713193200,437.82,438.75,438.13,438.71,3068201
1713195000,438.37,439.39,438.71,439.09,2087064
1713196800,437.05,439.48,439.08,437.29,1995706
1713198600,436.05,437.3,437.3,436.67,2263549
1713200400,432.69,437.2,436.65,432.79,5834604
1713202200,431.05,432.81,432.81,432.1701,8173601
1713204000,430.94,432.22,432.19,431.43,4252420
1713205800,430.83,432.55,431.43,431.31,2959146
1713207600,430.21,431.45,431.3,430.62,4497679
1713209400,430.57,431.74,430.66,430.99,9054164
1713211200,430.58,431.06,430.99,430.69,3193648
1713213000,430.27,431.16,430.71,431.06,489222
1713214800,430.51,431.03,431.03,430.62,138133
1713216600,430.53,431.06,430.6,430.83,147330
1713218400,430.89,431.379,430.89,431.13,95035
1713220200,431.03,431.25,431.14,431.11,54034
1713222000,430.3,431.11,431.1,430.82,40381
1713223800,430.81,431.07,430.83,430.89,39643
1713254400,430.62,431.22,431,431.03,55764
1713256200,430.68,431.13,431,431.02,26488
1713258000,430.31,431.09,430.8,430.89,23232
1713259800,429.83,430.78,430.78,430.16,36968
1713261600,429.08,430.33,430.33,429.52,60972
1713263400,429.42,430.69,429.48,430.6,52778
1713265200,430.5,431.44,430.67,431.08,156891
1713267000,431.01,432.06,431.1,431.91,149376
1713268800,429.3404,432.01,430.9,431.09,285297
1713270600,430.89,432.05,431.16,431.56,192812
1713272400,430.86,431.65,431.46,430.89,230473
1713274200,429.78,431.9285,430.89,431.6,5702669
1713276000,430.64,432.41,431.6,430.64,3399636
1713277800,430.07,431.25,430.63,430.74,3586448
1713279600,430.49,432.11,430.77,431.93,2734445
1713281400,431.26,432.53,431.93,431.42,2032065
1713283200,430.74,432.2,431.42,431.655,2007916
1713285000,431.455,432.38,431.62,431.95,1558279
1713286800,431.34,432.35,431.96,431.64,2170137
1713288600,429.7,432.1,431.66,431.37,5039601
1713290400,430.34,433.76,431.4,430.62,4542723
1713292200,430.58,432.89,430.62,432.88,3169794
1713294000,431.93,432.99,432.89,432.74,2316180
1713295800,430.99,432.71,432.7,431.08,5898683
1713297600,430.99,431.48,431.08,431.16,1870206
1713299400,431.2,431.55,431.24,431.48,72202
1713301200,431.51,431.71,431.53,431.66,30202
1713303000,431.6,431.74,431.65,431.74,9025
1713304800,431.58,431.98,431.66,431.68,132172
1713306600,431.7,431.9791,431.7,431.85,28082
