start,low,high,open,close,volume
1723123800,564.37,568.785,564.37,567.88,89162
1723124700,567.21,570.78,568.12,569.89,67092
1723125600,569.26,571.365,570.235,569.26,64468
1723126500,567.37,569.68,569.15,569.29,60639
1723127400,568,569.29,569.29,568.73,47238
1723128300,568.3,569.9499,568.76,569.36,53806
1723129200,569.36,571.2,569.36,569.9,70607
1723130100,569.3,572,569.78,571.6,98092
1723131000,570.11,571.67,571.66,570.47,74624
1723131900,570.31,572.45,570.45,570.53,84594
1723132800,568.8901,570.675,570.34,569.03,52257
1723133700,567.52,569.27,569.03,567.685,39704
1723134600,567,568.5299,567.685,567.02,50210
1723135500,566.31,567.36,567,567.215,51535
1723136400,566.25,567.29,567.29,566.59,37466
1723137300,566.57,567.79,566.76,567.57,47974
1723138200,567.27,568.38,567.69,568.14,40504
1723139100,568.12,568.76,568.14,568.76,47215
1723140000,568.44,569.78,568.755,569.775,84243
1723140900,568.1,570.06,569.66,568.37,59625
1723141800,567.77,568.9351,568.685,568.1,61065
1723142700,566.975,568.55,568.24,567.16,61426
1723143600,566.74,567.7793,567.16,566.74,59090
1723144500,565.69,567.107,566.64,565.82,89537
1723145400,564.75,566.595,565.6453,566.14,132244
1723146300,564.81,566.78,565.9893,566.48,384464
1723147200,564.45,566.24,566.24,566.24,722075
1723149900,566.24,566.24,566.24,566.24,1534
1723151700,566.24,566.24,566.24,566.24,538
1723205700,566.01,566.24,566.24,566.01,370
1723210200,560,565.93,564.54,563.215,135907
1723211100,561.56,564.83,563.21,563.75,84173
1723212000,561.73,565.525,564.265,561.73,104936
1723212900,561.08,562.98,561.93,562.79,94206
1723213800,561.62,563.28,563.08,562.64,90872
1723214700,561.96,562.98,562.5635,562.98,90338
1723215600,562.75,564.1875,563.05,563.75,65205
1723216500,561.88,563.72,563.66,561.9,66195
1723217400,561.02,562.38,562.23,561.2575,73787
1723218300,560.07,561.81,561.42,560.25,73595
1723219200,560.101,560.95,560.41,560.745,67083
1723220100,559.8,560.72,560.66,560.63,59705
1723221000,560.155,561.55,560.77,561.39,51230
1723221900,561.15,561.8,561.55,561.27,32033
1723222800,560.75,561.8,561.55,561.04,78927
1723223700,560.67,561.93,561.23,561.575,67216
1723224600,560.9,562.05,561.71,560.99,88859
1723225500,559.84,561.14,560.98,559.99,61456
1723226400,559.23,560.08,559.95,559.42,161323
1723227300,558.24,559.44,559.42,558.475,99002
1723228200,558.06,558.89,558.535,558.72,89627
1723229100,558.3,559.29,558.72,559.12,57561
1723230000,558.69,559.3,559.265,558.89,67788
1723230900,558.67,559.29,558.89,559.08,80182
1723231800,558,559.51,559.16,558.085,133189
1723232700,557.63,560,558.08,558.66,419054
1723233600,558.76,558.76,558.76,558.76,387163
1723234500,560,560,560,560,305
1723236300,558.76,558.76,558.76,558.76,4152
1723467600,559.22,559.22,559.22,559.22,144
1723468500,560.64,563,560.64,563,1118
1723469400,561.05,565.09,562.32,564.025,188484
1723470300,562.305,565.1399,564,564.39,172257
1723471200,563.02,564.96,564.58,563.835,101201
1723472100,563.33,565.4651,563.67,564.88,72073
1723473000,564.86,566.8,564.89,566.745,97828
1723473900,565.29,567.4,566.55,565.36,87195
1723474800,564.235,565.44,565.26,564.235,61471
1723475700,564.02,566.1997,564.235,565.91,55835
1723476600,565.53,567.99,565.89,566.55,92605
1723477500,566.15,568.44,566.49,567.91,85533
1723478400,567.63,569,567.825,568.655,67135
1723479300,567.48,568.81,568.655,568.29,50696
1723480200,567.46,568.2832,568.2832,567.97,48901
1723481100,567.41,568.47,567.88,567.79,56770
1723482000,565.695,567.635,567.635,566.77,43356
1723482900,566.11,567.655,567.01,566.55,48720
1723483800,566.14,566.71,566.4898,566.4,41093
1723484700,564.85,566.38,566.3,564.85,70469
1723485600,564.91,566.22,565.2572,566.06,37751
1723486500,565.4,566.72,565.98,565.97,53621
1723487400,565.8,567.19,565.95,566.08,54551
1723488300,566,566.73,566.175,566,32347
1723489200,565.92,566.3475,566,566.105,64685
1723490100,565.93,566.39,566.03,566.335,61856
1723491000,565.92,566.94,566.39,566.02,89298
1723491900,564.84,566.885,566.02,565.4,314561
1723492800,565.29,565.29,565.29,565.29,364227
1723542300,565.99,565.99,565.99,565.99,101
1723554900,566,569.04,566,569.04,886
1723555800,569,572.1,569.99,571.15,150908
1723556700,571.19,573.23,571.52,572.485,144650
1723557600,570.8,572.4,572.2,572.34,133396
1723558500,570.812,572.34,572.3149,571.325,86785
1723559400,570.99,571.99,571.25,571.91,83894
1723560300,571.15,572.215,571.93,571.55,85027
1723561200,571.14,572.19,571.51,571.91,54554
1723562100,571.47,572.88,571.77,571.47,46117
1723563000,571.47,572.72,571.494,572.14,32300
1723563900,571.52,572.434,572.02,571.8099,41329
1723564800,571.18,572.04,571.5538,571.18,38220
1723565700,571.1801,572.915,571.32,572.26,37725
1723566600,571.71,572.37,572.17,572.225,22316
1723567500,572.225,572.91,572.225,572.69,35928
1723568400,571.62,572.87,572.63,572.2,34836
1723569300,571.91,572.87,572.05,572.06,31781
1723570200,571.8,572.85,572.15,571.8,37395
