start,low,high,open,close,volume
1666324800,518.01,536.5325,518.06,533.73,3553661
1666584000,537.8,546.48,538.07,541.6,2986312
1666670400,533.9,543.92,537.79,540.22,2909262
1666756800,540.205,547.64,541.38,543.17,3310568
1666843200,539.76,546.52,546.52,541.8,2614120
1666929600,543.69,553,544.97,551.24,3205573
1667188800,550.13,558.1,555,555.15,3459955
1667275200,544.22,555.69,555,547.31,3985399
1667361600,543.07,554.58,544.41,543.43,3153884
1667448000,538.13,547.87,541.74,543.61,2529651
1667534400,527.14,547.76,547.05,538.17,3950088
1667797200,535.47,546.95,538.17,545.02,2540371
1667883600,542,554.8,547.05,553.05,2797204
1667970000,539.44,554.61,553.78,540.66,2672602
1668056400,533.95,551.7,548.93,544.17,3426381
1668142800,509.65,546.28,546.28,522.08,7032682
1668402000,513.41,528.98,522,513.75,5238379
1668488400,500.7724,516.635,512.81,503.01,5103837
1668574800,505.47,514.13,505.89,511.52,3430771
1668661200,512.16,526.98,512.16,515.31,4247498
1668747600,519.4591,532.995,522.12,530,3565984
1669006800,515.38,531.95,529.01,517.19,3349944
1669093200,519.91,524.6552,519.94,523.09,2567508
1669179600,523,530.44,525,529.71,2238349
1669352400,532.52,540.85,534,537.62,1419205
1669611600,531.69,539.58,535.83,532.27,2702268
1669698000,523.65,532.97,531.67,528,3751059
1669784400,527.48,548.08,529.72,547.76,9688890
1669870800,535.8,553,552.36,536.91,2997802
1669957200,532.44,538.61,532.83,536.16,2345208
1670216400,530.88,540.38,531.49,535.04,2424963
1670302800,534.24,540.59,534.42,539.32,3097655
1670389200,539.6344,545.905,540.84,542.91,2849099
1670475600,543.78,551.29,544.86,547.92,2272332
1670562000,538.87,548.49,547.93,539.2,2852013
1670821200,539.28,546.079,541.85,545.86,2714056
1670907600,535.1,550.99,550.56,538.22,3369673
1670994000,531.57,543.48,541.93,538.36,2654614
1671080400,525.47,534.07,533.99,527.68,2964503
1671166800,515.72,525.81,525.15,523.7,7107975
1671426000,520.928,527.2111,524.6,523.6,1808107
1671512400,519.7,526.99,526.99,520.21,2086249
1671598800,518.1,527.8799,523.63,527.54,2182136
1671685200,521.63,529.01,526.48,527.09,1852690
1671771600,522.895,531.31,524.1,531.31,1291925
1672117200,529.845,535.84,533.93,531.99,1596719
1672203600,527.734,538.15,535.07,528.45,1694377
1672290000,528.86,533.68,532.54,529.88,1379681
1672376400,524.84,530.5,530,530.18,1849243
1672722000,512.1601,525.63,525.13,518.64,3525627
1672808400,500.6,518.64,518.64,504.5,5070439
1672894800,488.5,502.09,501.01,489.96,5497123
1672981200,487.5401,492.87,491.59,490,4840502
1673240400,488.54,499.99,492.41,490.06,3702782
1673326800,482.68,490.47,488.85,486,3164038
1673413200,485,495.6,485.29,493.4,4274212
1673499600,485.22,498.73,490,495.67,3726800
1673586000,486,509.5,486.11,489.57,5384122
1673931600,483.78,492.94,491.2,485.08,4495565
1674018000,474.75,489.5,488.05,476.24,4398196
1674104400,477.3882,486.39,477.87,484.36,4549554
1674190800,479,486.99,485.53,486.72,3496108
1674450000,481.39,490.1,486.68,485.81,3418670
1674536400,436.51,500.26,500.26,491.6,3036790
1674622800,485.73,495.36,489.28,492.5,3037315
1674709200,490.5801,496.45,492.5,492.48,3004962
1674795600,484.47,493.37,493.37,486.05,3163618
1675054800,484.8,495.25,487.81,485.79,3606855
1675141200,493.13,505.5,498,499.19,5567038
1675227600,495.67,504.38,499.95,497,3451202
1675314000,463.89,495,494.26,470.83,11169877
1675400400,469.75,478.78,475.23,472.02,5439194
1675659600,471.01,478.965,472,475.24,4174173
1675746000,469.0301,478.08,471.04,476.88,3394630
1675832400,475.11,485.035,475.47,483.22,3466399
1675918800,482.4,489.695,485.63,485.73,3664633
1676005200,488.75,495.66,489.13,494.25,3417665
1676264400,491.76,499.865,494,495.35,2589104
1676350800,489.09,497.9535,494.29,492.83,2072571
1676437200,488.39,491.83,489.65,491.25,2243051
1676523600,487.27,494,491.15,487.35,2611457
1676610000,487.35,499.46,487.38,499.08,3891188
1676955600,490.5,501.395,496.7,491.31,2877341
1677042000,488.67,493.89,492.81,488.89,2982756
1677128400,485.8665,493.33,486.66,491.69,2511809
1677214800,483.01,492.51,489.58,484.33,2940400
1677474000,481.96,490.94,488.77,483.32,3006212
1677560400,473.92,483.36,482.67,475.94,3902052
1677646800,472,478.405,473.61,475.22,2996913
1677733200,473.25,480.43,475.21,477.7,2189176
1677819600,474.22,479.1,477.94,478.56,2863025
1678078800,479,484.35,481.37,480.78,3812682
1678165200,472.56,483.82,482.98,473.88,2589219
1678251600,466.76,475.39,471.75,470.6,3036582
1678338000,463.75,473.95,473.95,464.91,2780394
1678424400,457.59,468.86,462.77,460.33,3785971
1678680000,458.65,470.37,458.65,463.68,2906391
1678766400,459.05,469.8393,464.65,464.58,3258220
1678852800,459.24,468.879,460.99,465.43,3770207
1678939200,463.1,473.39,464.71,472.02,2941004
1679025600,466.3,472.01,471.39,469.5,5283091
1679284800,470,479.82,470,476.96,3119552
1679371200,475.72,481.45,478.39,480.1,3163421
1679457600,474.82,485.74,481.95,475.52,2632211
1679544000,466.67,480.67,477.41,469.91,3284884
1679630400,467.59,476.88,468.98,475.99,2533180
1679889600,478.59,486.29,485.55,481.9,2271779
1679976000,470.69,483.79,482,472.58,2369491
1680062400,464.95,475.88,475.11,466.59,3733210
1680148800,461.075,470.4099,466.57,470.06,3324845
1680235200,470.1,475.995,471.52,472.59,3971217
1680494400,483.4901,496.13,485.2,494.19,4729089
1680580800,491.84,496.095,493.03,493.25,2624755
1680667200,496.1,511.74,497.39,509.23,4964776
1680753600,507.1519,514.24,511,512.81,3472551
1681099200,508.09,515.39,510.81,515.18,2714548
1681185600,515.22,522.22,516.14,520.97,3065335
1681272000,520.04,526.7,524.98,521.19,3422561
1681358400,520.5,530.45,523.91,526.23,4224353
1681444800,508.5,527.24,522,511.79,4870608
1681704000,502.75,509.59,508.72,505.35,3660928
1681790400,498.14,506.99,503.67,504.48,3232033
1681876800,483.625,501.97,500.65,486.2,5809078
1681963200,483.26,489.65,485.47,487.46,3283234
1682049600,482.14,490.73,490.04,483.82,3164314
1682308800,482.6481,490.22,483.41,488.94,2322433
1682395200,490.58,498.5026,492.68,491.92,2937292
1682481600,478.36,487.7,485.87,482.95,2929969
1682568000,482.2,490.98,482.2,490.47,2473222
1682654400,488.12,493.96,488.69,492.09,2398404
1682913600,491.8091,499.385,494.59,495.7,2105592
1683000000,489.27,496.71,495.25,493.39,2152342
1683086400,488.03,495.45,494.4,489.44,1749709
1683172800,481.95,489.69,487.05,487.28,2555690
