start,low,high,open,close,volume
1695200400,481.49,481.49,481.49,481.49,101
1695214800,479.14,482.91,482.75,481.175,107074
1695218400,481.08,484.39,481.175,483.925,215286
1695222000,483.26,485.81,483.99,485.7644,179349
1695225600,485.72,488.93,485.72,488.93,262035
1695229200,488.75,493.73,488.905,492.185,583297
1695232800,490.29,494,492.03,493.9675,459088
1695236400,492.01,495.11,493.985,492.22,897596
1695240000,491,492.13,492.13,492.13,730710
1695243600,492.13,492.13,492.13,492.13,1509
1695250800,491,491,491,491,200
1695297600,488.92,493.54,493.3,488.92,1109
1695301200,493.08,502.35,494.21,500.455,506444
1695304800,498.9801,502.28,500.455,500.1675,726442
1695308400,499.9,503,500.1125,502.32,556818
1695312000,501.8,503.56,502.36,503.18,341157
1695315600,502.69,505.135,503.16,504.86,388332
1695319200,502.03,505.06,504.75,502.95,391096
1695322800,500.63,503.29,502.955,501.06,1206189
1695326400,500,502,501.06,501.14,570323
1695380400,501.13,501.14,501.14,501.13,965
1695384000,499.74,500.9,500.9,499.74,2832
1695387600,497.37,504.5574,497.37,502.21,323370
1695391200,501.64,506.4,502.33,505.17,532752
1695394800,504.53,507.96,505.23,507.675,554555
1695398400,507.57,509.4288,507.67,507.93,529242
1695402000,506.03,508.41,507.93,507.525,391278
1695405600,505.9891,507.89,507.41,507.0475,347131
1695409200,505.75,508.6899,507.04,506.2,959681
1695412800,506.1,506.19,506.19,506.1,598908
1695416400,506,506.1,506,506.1,2080
1695639600,506.5,507.75,507.75,507,1020
1695643200,504.98,506.1,506.1,506.1,2050
1695646800,505.52,509.88,505.52,509.75,288823
1695650400,507.77,510.27,509.6,508.1,349019
1695654000,506.63,510.15,508.085,510.1,254932
1695657600,509.4201,510.7,510.14,509.91,180141
1695661200,508.94,510.32,509.915,510.21,159800
1695664800,509.78,510.7,510.31,509.8275,186995
1695668400,509,510.935,509.81,510.53,495407
1695672000,509.04,510.28,510.28,510.28,711238
1695675600,510,510,510,510,150
1695729600,508.6565,509.25,509.25,508.8,499
1695733200,505.745,509.42,509,508.53,191683
1695736800,505.86,508.715,508.54,507.315,283592
1695740400,504.38,507.44,507.26,504.74,240945
1695744000,504.7,505.79,504.8,505.21,156819
1695747600,504.89,506.04,505.32,505.84,182630
1695751200,505.13,506.17,505.8507,505.555,227066
1695754800,504.94,506.71,505.52,505.72,522609
1695758400,505.25,505.45,505.45,505.45,553089
1695819600,502.6,506.23,506.23,504.06,236191
1695823200,502.3,504.46,504.26,503.33,315806
1695826800,501.3801,503.77,503.37,502.85,226944
1695830400,502.18,503.66,502.87,502.96,209214
1695834000,501.05,503.34,502.935,501.97,201695
1695837600,501.8,506.36,501.9,505.61,403086
1695841200,503.44,505.61,505.59,503.84,420373
1695844800,503.73,505.9746,503.92,503.73,398022
1695848400,503.73,503.73,503.73,503.73,300
1695902400,504,504,504,504,106
1695906000,502.5325,512.5,502.5325,512.5,315337
1695909600,511.33,514.15,512.4252,511.3901,499717
1695913200,509.68,511.91,511.59,510.03,281475
1695916800,509.17,510.89,510.15,509.775,191729
1695920400,508.67,510.25,509.775,509.875,188727
1695924000,509.25,510.73,509.78,510.43,195645
1695927600,508.94,510.98,510.5,510.1,500436
1695931200,510.1,510.1,510.1,510.1,643226
1695934800,510.1,510.1,510.1,510.1,500
1695992400,504.925,509.88,509.69,506.2,212532
1695996000,506.3,509.09,506.3,508.47,238822
1695999600,506.34,508.86,508.42,506.48,219980
1696003200,505.9218,507.35,506.49,506.29,194127
1696006800,504.88,506.97,506.27,505.84,259844
1696010400,503.91,505.92,505.82,505.035,258711
1696014000,503.8,506.4236,505.1104,504.24,664844
1696017600,504.19,505.8984,504.19,504.19,794261
1696021200,504.19,504.19,504.19,504.19,4613
1696248000,502.7,502.7,502.7,502.7,293
1696251600,503.135,507.58,503.99,504.465,239064
1696255200,504.095,510.61,504.43,509.12,405181
1696258800,507.6954,511,509.075,507.89,291415
1696262400,506.53,508.17,507.895,507.375,189237
1696266000,507.19,510.44,507.3525,510.2,238489
1696269600,510.194,512.39,510.21,511.2,343991
1696273200,510.89,514.84,511.19,514.36,1034203
1696276800,504.19,514.87,514.57,514.57,667462
1696287600,514.6,514.6,514.6,514.6,256
1696334400,513.6301,514.99,513.6301,514.99,1022
1696338000,510.8261,514,514,512.685,260055
1696341600,508.67,513.75,512.765,509.035,407001
1696345200,508.36,512.87,508.91,511.61,417063
1696348800,511.66,513.17,511.75,512.125,252307
1696352400,510.09,512.71,512.2,510.389,315028
1696356000,509.3,510.77,510.31,510.38,285238
1696359600,509.06,511.44,510.34,509.62,640479
1696363200,509.47,509.47,509.47,509.47,439889
1696420800,510.34,510.34,510.34,510.34,350
1696424400,508.22,511.82,509.485,509.025,201564
