start,low,high,open,close,volume
1713175200,440.5,440.5,440.5,440.5,220
1713180600,440.06,440.06,440.06,440.06,210
1713182400,440.5,441,441,440.5,2511
1713184200,441.63,441.8975,441.63,441.8975,539
1713186000,440.06,441.55,440.06,441.55,738
1713187800,441.99,446.22,442,445.98,723770
1713189600,443.345,446.195,445.98,445.26,288980
1713191400,444.11,445.81,445.15,444.84,250253
1713193200,444.83,447.7785,444.83,446.715,282960
1713195000,446.69,448.17,446.72,447.225,269158
1713196800,446.92,448.35,447.225,447.55,239492
1713198600,446.18,448.01,447.47,446.785,224284
1713200400,446.39,447.71,446.785,446.45,258245
1713202200,446.09,447.665,446.44,446.73,318023
1713204000,444.84,446.735,446.68,444.84,214376
1713205800,444.49,446.455,444.78,446.455,229891
1713207600,445.58,446.99,446.41,446.41,378247
1713209400,445.39,447.09,446.45,445.4,665201
1713211200,445.05,446.4651,445.63,445.13,791583
1713213000,445.08,446,445.2,446,683
1713214800,445.15,445.15,445.15,445.15,116
1713216600,445.23,445.79,445.79,445.23,268
1713218400,445.64,445.64,445.64,445.64,170
1713220200,445.64,446,445.64,446,1710
1713223800,445.5893,445.59,445.59,445.5893,719
1713254400,445,445,445,445,1759
1713259800,446,451,446,450.98,2781
1713261600,452.16,475,452.16,468.61,27086
1713263400,468,478,468.22,476.11,21312
1713265200,475,477.99,475.3,477.75,50276
1713267000,476.07,479.78,477.32,478,69307
1713268800,475,482,475.6,480.33,106835
1713270600,477.82,481.58,480.4,479.75,102889
1713272400,475.07,480.4,479.52,476.71,168462
1713274200,467.94,479.75,476.77,475.145,2834733
1713276000,470.33,475.14,475,471.62,1009513
1713277800,465.6,471.69,471.6115,468.32,1274830
1713279600,467.52,471.7423,468.47,470.175,739103
1713281400,469.93,473.85,470.01,473.605,548895
1713283200,472.25,474.17,473.51,473.63,358875
1713285000,470.1845,474.29,473.63,470.28,504574
1713286800,468.5,471.07,470.4899,469.27,351698
1713288600,467.5,470.244,469.3,468.27,328559
1713290400,466.01,469.81,468.4,466.1,297099
1713292200,465.84,469.01,466.0042,469.01,366237
1713294000,467.395,471.45,469.04,470.915,542106
1713295800,468.84,471.815,470.835,469,1304431
1713297600,468.4,468.94,468.89,468.89,732531
1713299400,469.69,469.9945,469.9945,469.69,310
1713301200,469,469.24,469,469.24,230
1713304800,468.8901,468.8901,468.8901,468.8901,124
1713306600,469.7,469.7,469.7,469.7,200
1713308400,469.7,469.7,469.7,469.7,106
1713351600,472,472,472,472,267
