start,low,high,open,close,volume
1723104900,74.54,74.54,74.54,74.54,200
1723105800,74.34,74.37,74.34,74.37,1778
1723106700,74.48,74.48,74.48,74.48,800
1723107600,74.51,74.51,74.51,74.51,643
1723108500,74.28,74.29,74.29,74.29,3462
1723110300,74.09,74.09,74.09,74.09,300
1723113000,74.4,74.4,74.4,74.4,492
1723113900,74.45,74.45,74.45,74.45,250
1723114800,74.6,74.611,74.6,74.611,7101
1723116600,74.681,74.681,74.681,74.681,100
1723117500,74.59,74.59,74.59,74.59,500
1723118400,74.4,74.8,74.58,74.52,10282
1723119300,74.48,74.54,74.5,74.54,1260
1723120200,74.63,74.87,74.75,74.87,14945
1723121100,74.9,75.05,74.9,74.96,10409
1723122000,74.66,75,74.99,74.71,7311
1723122900,74.53,74.68,74.61,74.53,4867
1723123800,74.4975,74.83,74.53,74.56,65847
1723124700,74.44,74.71,74.56,74.68,51209
1723125600,74.45,74.82,74.7,74.58,51557
1723126500,74.56,75.01,74.56,74.94,105714
1723127400,74.93,75.41,74.96,75.3601,166951
1723128300,75.28,75.4295,75.36,75.29,104102
1723129200,75.07,75.42,75.3,75.38,71332
1723130100,75.29,75.52,75.38,75.35,109669
1723131000,75.34,75.5,75.3699,75.44,30270
1723131900,75.1,75.44,75.44,75.11,51646
1723132800,75.05,75.42,75.13,75.34,67149
1723133700,75.26,75.48,75.32,75.44,63934
1723134600,75.33,75.53,75.43,75.3562,66805
1723135500,75.28,75.43,75.36,75.32,147666
1723136400,75.32,75.4403,75.35,75.4,20696
1723137300,75.37,75.47,75.415,75.43,22531
1723138200,75.44,75.7996,75.45,75.625,119962
1723139100,75.59,75.75,75.61,75.71,56648
1723140000,75.59,75.74,75.71,75.71,34820
1723140900,75.47,75.72,75.68,75.53,41869
1723141800,75.28,75.52,75.52,75.42,72339
1723142700,75.35,75.45,75.41,75.37,165172
1723143600,75.27,75.42,75.37,75.369,324337
1723144500,75.33,75.43,75.36,75.42,34788
1723145400,75.35,75.43,75.42,75.365,58557
1723146300,75.35,75.45,75.365,75.38,556346
1723147200,75.36,75.45,75.36,75.45,239842
1723148100,75.4,75.4,75.4,75.4,112
1723149000,75.38,75.38,75.38,75.38,481
1723151700,75.3501,75.36,75.3501,75.36,600
1723152600,75.36,75.3611,75.36,75.3611,200
1723153500,75.36,75.36,75.36,75.36,590
1723154400,75.35,75.36,75.36,75.35,397
1723155300,75.36,75.36,75.36,75.36,20000
1723157100,75.39,75.4,75.39,75.4,2601
1723159800,75.4,75.4,75.4,75.4,100
1723190400,75.3,75.3,75.3,75.3,4200
1723195800,75.63,75.63,75.63,75.63,525
1723200300,75.78,75.78,75.78,75.78,1371
1723201200,75.75,75.8,75.75,75.8,2482
1723202100,75.84,75.93,75.93,75.84,1142
1723203000,75.93,76.01,75.99,75.99,3360
1723203900,75.96,76,76,76,1210
1723204800,75.4,76.05,75.96,75.91,7865
1723205700,75.92,75.95,75.93,75.93,2406
1723206600,75.8,75.87,75.87,75.86,1200
1723207500,75.85,75.9,75.89,75.89,2661
1723208400,75.65,75.82,75.82,75.74,3256
1723209300,75.7,75.87,75.8,75.7,3018
1723210200,75.29,75.7,75.67,75.339,69472
1723211100,75.31,75.5,75.34,75.37,43769
1723212000,75.25,75.66,75.35,75.54,64847
1723212900,75.51,75.77,75.52,75.77,60901
1723213800,75.73,75.89,75.73,75.89,57381
1723214700,75.77,76.025,75.8935,75.96,71284
1723215600,75.75,76.11,75.96,75.75,77491
1723216500,75.68,76.03,75.73,75.84,134067
1723217400,75.79,75.99,75.87,75.99,69680
1723218300,75.96,76.1,75.99,76.01,31176
1723219200,75.88,76.15,75.99,76.12,60456
1723220100,76.04,76.25,76.11,76.18,212437
1723221000,76.155,76.3,76.175,76.29,44699
1723221900,76.1705,76.34,76.29,76.26,44869
1723222800,76.16,76.3,76.25,76.16,80367
1723223700,76.06,76.18,76.15,76.16,35622
1723224600,75.91,76.18,76.162,75.91,131251
1723225500,75.935,76.04,75.94,75.98,59688
1723226400,75.84,76.05,76.01,76,40696
1723227300,76.03,76.28,76.03,76.13,92487
1723228200,75.81,76.13,76.12,76.05,101670
1723229100,76.03,76.11,76.06,76.07,56410
1723230000,76.01,76.12,76.07,76.08,79913
1723230900,76.05,76.2,76.05,76.195,326211
1723231800,76.18,76.33,76.19,76.31,133624
1723232700,76.21,76.35,76.31,76.23,475635
1723233600,76.2004,76.28,76.22,76.28,199500
1723234500,76.23,76.2304,76.2304,76.23,300
1723236300,76.27,76.27,76.27,76.27,110
1723237200,76.35,76.35,76.35,76.35,100
1723239900,76.2115,76.2115,76.2115,76.2115,100
1723240800,76.32,76.4,76.32,76.4,718
1723244400,76.37,76.37,76.37,76.37,200
1723245300,76.4,76.41,76.4,76.41,352
1723247100,76.41,76.49,76.41,76.49,652
1723449600,76.78,77,76.78,77,1306
1723450500,76.84,76.92,76.91,76.84,1100
1723451400,76.7,76.8,76.8,76.7,200
1723454100,76.82,76.82,76.82,76.82,390
1723455000,76.9,76.9,76.9,76.9,100
1723456800,77,77,77,77,317
1723457700,76.95,76.95,76.95,76.95,150
1723458600,76.91,76.91,76.91,76.91,400
1723459500,76.89,77,76.89,77,2745
1723460400,76.9,77,77,77,3446
1723461300,77.03,77.03,77.03,77.03,400
1723462200,76.96,76.97,76.96,76.97,1075
1723463100,76.99,77.02,77,77.02,3500
1723464000,76.49,77.03,76.9896,76.9,4883
1723464900,76.87,76.96,76.87,76.93,557
