start,low,high,open,close,volume
1728461100,75.85,75.85,75.85,75.85,110
1728461400,75.68,75.83,75.83,75.71,2576
1728462600,76.02,76.02,76.02,76.02,400
1728463500,75.69,75.69,75.69,75.69,276
1728465300,75.9,75.9,75.9,75.9,1050
1728465600,75.97,75.97,75.97,75.97,100
1728465900,76.25,76.25,76.25,76.25,316
1728467100,76.05,76.05,76.05,76.05,100
1728468600,75.75,75.75,75.75,75.75,200
1728468900,75.22,75.25,75.25,75.22,1052
1728469200,75.12,75.14,75.12,75.14,560
1728469500,75.11,75.11,75.11,75.11,750
1728469800,75.12,75.24,75.24,75.12,1600
1728470400,75.36,75.36,75.36,75.36,100
1728470700,75.41,75.41,75.41,75.41,500
1728471600,75.09,75.12,75.12,75.11,4233
1728471900,75.01,75.01,75.01,75.01,245
1728472200,75.02,75.05,75.05,75.02,1150
1728472500,74.82,75.04,75.04,74.85,3862
1728472800,74.84,74.89,74.89,74.85,3999
1728473100,74.92,75.09,74.92,75.05,10792
1728473400,74.95,75.08,75.08,74.96,4228
1728474000,75.05,75.17,75.05,75.16,3859
1728474300,74.92,75.01,74.99,74.96,3121
1728474600,75.02,75.1,75.02,75.1,1100
1728475200,74.852,76.13,75.1091,75.34,12555
1728475500,75.33,75.46,75.33,75.46,692
1728475800,75.5075,75.62,75.55,75.6003,7062
1728476100,75.44,75.46,75.46,75.46,310
1728476400,75.42,75.48,75.48,75.42,565
1728476700,75.191,75.37,75.35,75.3,5391
1728477000,75.29,75.33,75.33,75.29,1052
1728477300,75.31,75.52,75.32,75.47,6365
1728477600,75.38,75.46,75.46,75.43,1272
1728477900,75.1,75.33,75.33,75.1,3276
1728478200,74.97,75.15,75.15,75.07,3850
1728478500,75.06,75.16,75.06,75.09,1260
1728478800,74.92,75.16,75.16,74.95,4622
1728479100,74.69,74.95,74.91,74.8482,4706
1728479400,74.19,74.79,74.75,74.19,43902
1728479700,74.25,74.54,74.25,74.45,25744
1728480000,74.27,74.59,74.4,74.48,548264
1728480300,74.05,74.47,74.47,74.1,22752
1728480600,73.94,74.14,74.11,73.99,126698
1728480900,73.72,74.07,74.05,73.885,87167
