start,low,high,open,close,volume
1666324800,69.46,70.99,70.15,70.57,1631921
1666584000,69.8,71.18,70.24,70.38,1762055
1666670400,70.23,71.45,70.59,70.61,1601421
1666756800,71.35,73.14,71.36,72.97,4300521
1666843200,73.11,74.09,73.69,73.62,1323967
1666929600,72.03,73.3,72.71,72.82,1526050
1667188800,70.72,72.64,71.39,71.53,3206505
1667275200,72.66,73.89,73.8,73.12,4804613
1667361600,72.79,74.88,73.12,74.08,2838854
1667448000,72.86,74.01,73.05,73.29,1507802
1667534400,75.5,76.94,76.541,76.82,3773117
1667797200,76.22,77.72,76.84,76.56,2231417
1667883600,74.08,76.49,76.27,74.47,2539688
1667970000,71.58,73.2,73.17,71.67,2585547
1668056400,71.19,72.985,71.66,72.24,2020506
1668142800,73.68,75.15,74.53,74.38,3189376
1668402000,71.88,74.62,73.54,71.91,2680683
1668488400,71.6,74.78,72.12,73.25,3318087
1668574800,71.38,72.4664,72.11,72.04,3359552
1668661200,69.52,71.44,71.15,70.14,5007000
1668747600,67.46,69.12,67.73,69.03,8367632
1669006800,65.37,69.37,66.67,69.03,12862852
1669093200,69.58,70.76,69.92,69.98,3714977
1669179600,66.86,68.22,67.84,67.41,4692969
1669352400,66.78,68.49,68.19,66.96,1703592
1669611600,65,67.69,65.16,66.88,7380132
1669698000,67.19,69.12,68.51,68.34,6290798
1669784400,69.55,70.44,70.3,70.23,3723971
1669870800,70.3,72.14,71.64,70.45,4571175
1669957200,69.35,71.1383,70.6,69.84,3451878
1670216400,67.25,71.78,71.56,67.72,5259083
1670302800,64.52,67.36,66.97,65.23,6746240
1670389200,63.2,65.89,65.47,63.65,5443883
1670475600,62.46,64.68,64.61,62.71,8334647
1670562000,61.81,63.75,63.07,62.85,7183647
1670821200,63.05,64.63,63.21,64.41,4520073
1670907600,65.14,66.47,65.16,65.86,4496139
1670994000,66.08,67.67,66.79,67.36,7394103
1671080400,65.68,67.05,66.9,66.15,4671452
1671166800,64.14,65.82,64.35,64.9,4844397
1671426000,64.83,66.5,65.77,66.07,3920684
1671512400,64.82,66.8,65.83,66.22,2501338
1671598800,67.41,68.1615,67.61,68.06,3292439
1671685200,66.8527,68.5858,68.48,67.7,2385372
1671771600,68.87,69.56,68.94,69.32,2928176
1672117200,69.06,70.54,69.59,69.53,3147916
1672203600,67.53,69.22,69.18,68.58,2782833
1672290000,67.37,68.59,67.55,68.53,1972345
1672376400,68.35,70.27,68.36,70.11,3648110
1672722000,67.12,69.65,68.64,67.64,3339735
1672808400,63.9822,65.5847,65.58,64.3,4215280
1672894800,63.93,65.75,64.32,64.78,3555472
1672981200,64.46,66.18,65.82,64.83,2992953
1673240400,65.45,67.33,66.49,65.88,2941090
1673326800,65.22,66.68,66.27,65.9,2000373
1673413200,66.46,68.22,67.24,68.05,3545139
1673499600,68.42,69.32,69.12,68.61,2616302
1673586000,68.9201,70.09,69.3,70.05,2502287
1673931600,69.4642,71.14,70.865,70.86,3796496
1674018000,69.35,72.0301,71.59,69.51,3172677
1674104400,69.69,71.14,70.19,70.59,2814912
1674190800,69.969,71.56,70.86,71.55,2435344
1674450000,71.29,72.25,71.82,71.5,1583917
1674536400,69.88,71.66,71.59,70.22,1653244
1674622800,69.64,71.09,70.41,70.51,1613158
1674709200,70.27,71.7601,71.65,70.93,1481393
1674795600,69.2,71.7823,71.74,69.5,3183970
1675054800,68.03,69.87,68.68,68.1,2345830
1675141200,67.67,69.37,67.86,69.32,1391649
1675227600,66.7594,69.41,69.21,67.36,3538495
1675314000,65.9,67.49,66.99,66.57,2561457
1675400400,64.35,68.39,66.73,64.4,4867200
1675659600,63.67,65.53,65.07,65.5,2694177
1675746000,65.82,67.845,65.83,67.76,3598069
1675832400,67.61,68.79,68.4,68.68,2052011
1675918800,67.12,68.5,67.88,67.92,2430734
1676005200,68.95,69.9,69.02,69.87,2806896
1676264400,69.07,70.43,69.38,69.5,3458154
1676350800,68.01,69.63,68.22,69.4,1601529
1676437200,67.8,69.39,68.79,69.02,1908779
1676523600,68.415,69.385,68.82,68.45,2369692
1676610000,66.01,67.26,66.36,67.02,3851126
1676955600,66.54,67.82,67.5,66.69,2432686
1677042000,64.89,66.67,66.4,64.92,3495572
1677128400,65.7,66.65,66.22,66.38,2136849
1677214800,65.11,67.15,65.56,67.1,2591625
1677474000,65.73,66.7599,66.63,66.25,3024804
1677560400,67.16,67.93,67.8,67.21,1886369
1677646800,66.73,68.12,67.14,68.07,2577618
1677733200,67.89,68.762,68.44,68.3,1628091
1677819600,67.14,69.91,67.19,69.86,5178581
1678078800,69.05,70.521,69.29,70.49,3977842
1678165200,67.56,70.215,70.14,67.85,5071165
1678251600,66.78,67.85,67.13,67.1,3018060
1678338000,66.17,68.39,67.9,66.24,2436627
1678424400,66.2,67.56,66.37,67.14,2988888
1678680000,64.07,66.82,64.51,65.25,5193839
1678766400,62.335,65.32,64.02,62.93,6367406
1678852800,57.94,60.97,60.26,60.02,13746538
1678939200,58.04,61.09,58.72,60.05,8449874
1679025600,57.83,60.02,59.94,58.66,9066526
1679284800,58.05,59.865,58.73,59.79,5391627
1679371200,60.11,61.32,60.54,61.23,3975147
1679457600,60.92,62.67,61.39,61.61,3512773
1679544000,60.9,63.02,62.51,60.99,2635452
1679630400,59.84,61.25,60.31,60.96,3721101
1679889600,61.86,64.27,62.24,64.15,8701162
1679976000,63.76,64.98,63.76,64.55,4149501
1680062400,64,65.348,65.01,64.15,2593052
1680148800,64.19,65.54,64.81,65.32,3295127
1680235200,65.26,66.5,65.92,66.44,2730264
1680494400,69.63,70.7,69.93,70.27,8377861
1680580800,69.575,71.13,71.13,70.27,3592706
1680667200,69.6801,70.55,70.49,70.24,3015038
1680753600,69.77,70.49,70.35,70.26,2839335
1681099200,69.62,70.79,70.23,69.76,2884626
1681185600,69.97,71.21,70.08,71.07,3346818
1681272000,71.61,72.65,71.74,72.43,4474082
1681358400,71.65,72.63,72.36,71.8,2790907
1681444800,71.34,72.45,72.06,72.09,3168728
1681704000,70.48,71.85,71.66,70.84,2985722
1681790400,70.09,71.3601,70.92,70.73,1468754
1681876800,68.86,69.98,69.72,69.3,3621061
1681963200,67.51,68.34,67.86,67.6,3486789
1682049600,67.91,68.72,68.58,68.21,2620159
1682308800,68.11,69.6,68.29,69.25,1924421
1682395200,67.26,68.57,68.54,67.62,2262607
1682481600,65.2,67.83,67.18,65.36,5692095
1682568000,65.16,66.21,65.83,65.81,2752664
1682654400,65.53,67.6,65.85,67.5,3043112
1682913600,65.62,66.93,66.34,66.55,2939028
1683000000,62.99,65.5016,65.48,63.05,6535707
1683086400,60.16,61.39,61.31,60.31,12166711
1683172800,59.78,61.66,60.5,60.7,4997434
1683259200,62.61,63.34,62.73,63.03,4699378
1683518400,64.045,64.89,64.75,64.26,3454600
1683604800,63.1,65.1499,63.84,64.87,5831528
1683691200,63.59,64.8,64.8,64.39,2683676
1683777600,62.62,63.615,63.26,63.25,4023257
1683864000,61.94,63.5,63.21,62.07,4068594
1684123200,62.37,63.46,62.7,62.99,4837830
1684209600,62.445,63.54,63.11,62.54,1992072
1684296000,63.06,64.99,63.87,64.6,4275997
1684382400,63.58,64.4,64.32,64.04,2496649
1684468800,63.25,64.66,64.61,63.9,2489703
1684728000,63.36,64.33,63.59,63.91,1644956
1684814400,64.5,65.4,64.64,64.87,3409715
1684900800,64.94,66.24,65.96,65.66,3775795
1684987200,63.21,64.7,64.46,64.09,4322679
1685073600,64.36,64.99,64.9,64.8,2145045
1685419200,61.7,62.97,62.85,62.3,6442616
1685505600,60.6099,62.09,61.48,60.63,4040657
1685592000,60.63,63.37,60.66,62.55,3631404
1685678400,63.46,64.365,64.1,64.15,6937902
1685937600,64.015,65.41,65.37,64.03,3745064
1686024000,63.01,64.43,63.08,63.79,2569494
1686110400,64.21,65.205,64.49,64.71,3520529
1686196800,61.82,64.94,64.89,63.46,8584267
1686283200,62.79,64.195,63.64,62.93,3354971
1686542400,60.02,61.2259,61,60.24,5997296
1686628800,61.99,62.65,62.09,62.14,3473431
1686715200,61.26,63.2,63,61.83,4818592
1686801600,62.14,63.77,62.21,63.41,3445591
1686888000,63.28,64.53,63.48,64.35,2973957
1687233600,62.61,63.96,63.75,63.92,2316538
1687320000,63.7,65.09,63.83,65.04,2725515
1687406400,62.14,63.65,63.15,62.52,3882134
1687492800,60.97,62.4902,61.04,62.42,2413605
1687752000,62.08,63.14,62.15,62.73,2084529
1687838400,61.1,62.63,62.33,61.3,2610114
1687924800,60.8699,62.94,61.47,62.52,2461468
1688011200,62.25,63.64,62.75,62.96,1992226
1688097600,63.15,63.97,63.35,63.55,3117096
1688356800,63.12,64.11,63.82,63.39,1218868
1688529600,63.9,64.85,64.66,64.63,2971118
1688616000,63.12,64.56,64.33,64.44,2371967
1688702400,64.14,66.05,64.14,65.85,2784598
1688961600,65.158,66.31,65.63,65.54,2448955
1689048000,65.89,67.05,66.03,67.03,2349459
1689134400,67.26,67.97,67.62,67.87,3046212
1689220800,67.53,69.095,67.79,69.09,3608660
1689307200,67.36,68.57,68.53,67.47,2400571
1689566400,66.53,67.4,66.85,66.58,2283611
1689652800,66.65,68.12,66.79,67.96,2550083
1689739200,67.49,68.92,68.39,67.69,1934966
1689825600,67.13,68.49,68.33,68.05,2031411
1689912000,68.17,69.31,68.52,68.99,2993283
1690171200,69.29,70.93,69.61,70.69,2420158
1690257600,70.27,71.41,70.4,71.16,2340054
1690344000,70.41,71.305,70.59,70.66,1384274
1690430400,70.72,71.99,71.16,71.43,1807191
1690516800,70.87,72.24,71.32,72.09,1751601
1690776000,72.56,73.29,72.75,73.17,2074314
1690862400,72.17,73.19,72.68,72.96,1487378
1690948800,70.88,72.74,72.67,71.48,3173369
1691035200,71.7,73.25,71.7,73.14,2923083
