start,low,high,open,close,volume
1695196800,80,80.8,80.8,80.09,9018
1695200400,80.23,80.5,80.29,80.5,1065
1695204000,80.55,80.55,80.55,80.55,204
1695207600,80.63,80.8,80.8,80.7,11384
1695211200,80.36,80.79,80.64,80.61,13648
1695214800,80.36,81.09,80.5401,81.04,622502
1695218400,80.68,81.25,81.06,81.16,731478
1695222000,80.78,81.59,81.14,80.88,567612
1695225600,80.82,81.34,80.87,81.28,277627
1695229200,80.58,81.29,81.28,80.8,525206
1695232800,80.26,80.79,80.78,80.43,587898
1695236400,80.13,80.48,80.43,80.16,667559
1695240000,80.13,80.23,80.14,80.13,91035
1695243600,80.06,80.17,80.17,80.17,2702
1695247200,80.19,80.2,80.19,80.2,2200
1695250800,80.14,80.18,80.18,80.14,4050
1695283200,79.51,79.87,79.87,79.51,5272
1695294000,79.85,80.05,79.85,80.05,1075
1695297600,79.5,80.75,80.03,80.75,59666
1695301200,80.81,81.51,80.83,81.36,476196
1695304800,80.84,81.4,81.4,80.86,684534
1695308400,80.51,81.2995,80.85,80.68,464757
1695312000,80.64,81.05,80.67,80.69,155850
1695315600,80.53,80.82,80.705,80.76,346120
1695319200,80.4,80.85,80.74,80.45,419962
1695322800,80.395,80.56,80.44,80.43,248984
1695326400,80.41,80.49,80.41,80.43,22142
1695330000,80.4,80.44,80.44,80.4,201
1695333600,80.46,80.51,80.46,80.49,3601
1695337200,80.51,80.57,80.57,80.51,998
1695369600,80.7,80.98,80.97,80.98,4445
1695376800,81.2,81.2,81.2,81.2,135
1695380400,81.2,81.27,81.2,81.27,5333
1695384000,80.92,81.37,81.27,81.37,10935
1695387600,81.09,81.6,81.23,81.52,381301
1695391200,80.98,81.6,81.51,80.98,382253
1695394800,80.53,81.04,80.97,80.66,417638
1695398400,79.99,80.68,80.68,80.44,614813
1695402000,80.27,80.73,80.45,80.29,430525
1695405600,80.22,80.71,80.26,80.57,181812
1695409200,80.599,80.77,80.6,80.62,251696
