start,low,high,open,close,volume
1730757480,74.31,74.33,74.31,74.33,450
1730758020,74.28,74.28,74.28,74.28,1003
1730758320,74.28,74.28,74.28,74.28,312
1730760240,74.3057,74.3057,74.3057,74.3057,200
1730760840,74.23,74.23,74.23,74.23,134
1730761740,74.22,74.22,74.22,74.22,500
1730761800,74.219,74.219,74.219,74.219,500
1730761860,74.22,74.22,74.22,74.22,504
1730764500,74.1,74.1,74.1,74.1,1000
1730764800,74.12,74.12,74.12,74.12,500
1730765040,74.07,74.07,74.07,74.07,120
1730765340,74.1,74.1,74.1,74.1,200
1730765760,74.1,74.1,74.1,74.1,100
1730765880,74,74,74,74,500
1730765940,74.09,74.09,74.09,74.09,500
1730766180,74.0404,74.0404,74.0404,74.0404,500
1730766300,74.0304,74.0304,74.0304,74.0304,1001
1730766420,74.0304,74.0304,74.0304,74.0304,4663
1730766480,74.03,74.031,74.031,74.03,4401
1730766540,74.0104,74.0104,74.0104,74.0104,1418
1730766960,74.03,74.03,74.03,74.03,100
1730767500,74,74,74,74,255
1730767800,74,74,74,74,102
1730768280,74.01,74.01,74.01,74.01,200
1730797260,74.41,74.62,74.42,74.52,4188
1730797560,74.33,74.4,74.4,74.33,1410
1730797680,74.28,74.28,74.28,74.28,433
1730797860,74.25,74.25,74.25,74.25,785
1730797920,74.29,74.3,74.29,74.3,200
1730798280,74.34,74.34,74.34,74.34,600
1730798340,74.39,74.39,74.39,74.39,100
1730798580,74.39,74.39,74.39,74.39,302
1730798640,74.4,74.4,74.4,74.4,560
1730798760,74.41,74.41,74.41,74.41,421
1730798880,74.42,74.44,74.42,74.44,766
1730798940,74.49,74.53,74.49,74.53,834
1730799000,74.55,74.65,74.55,74.65,2350
1730799060,74.61,74.61,74.61,74.61,680
1730799660,74.61,74.61,74.61,74.61,560
1730799720,74.64,74.68,74.64,74.68,1220
1730799900,74.57,74.57,74.57,74.57,357
1730800080,74.48,74.48,74.48,74.48,594
1730801580,74.5,74.5,74.5,74.5,120
1730802540,74.51,74.51,74.51,74.51,250
1730802840,74.38,74.42,74.42,74.38,1718
1730803080,74.39,74.39,74.39,74.39,562
1730803140,74.34,74.34,74.34,74.34,290
1730803200,74.36,74.36,74.36,74.36,560
1730803440,74.38,74.38,74.38,74.38,560
1730804220,74.36,74.36,74.36,74.36,300
1730804520,74.45,74.5,74.45,74.5,1531
1730804880,74.45,74.45,74.45,74.45,799
1730807460,74.31,74.31,74.31,74.31,583
1730808420,74.5,74.5,74.5,74.5,1165
1730808840,74.49,74.49,74.49,74.49,100
1730809200,74.55,74.55,74.55,74.55,1025
1730809320,74.57,74.58,74.57,74.58,673
1730809440,74.59,74.6,74.59,74.6,980
1730809620,74.53,74.55,74.55,74.53,1209
1730810100,74.66,74.71,74.66,74.71,561
1730811180,74.71,74.71,74.71,74.71,175
1730811600,74.06,74.5704,74.46,74.49,1466
1730811660,74.07,74.34,74.07,74.34,697
1730811720,74.52,74.52,74.52,74.52,112
1730811780,74.54,74.57,74.57,74.54,610
1730812080,74.51,74.51,74.51,74.51,104
1730812140,74.53,74.53,74.53,74.53,200
1730812200,74.56,74.56,74.56,74.56,542
1730812320,74.54,74.54,74.54,74.54,100
1730812500,74.59,74.59,74.59,74.59,271
