start,low,high,open,close,volume
1713168000,80.43,81.6,81.6,80.61,10765
1713169800,80.63,80.83,80.83,80.63,1550
1713171600,80.56,80.69,80.68,80.69,2570
1713173400,80.7,80.83,80.71,80.75,2912
1713175200,80.9,80.97,80.9,80.97,890
1713177000,80.94,81.12,80.94,81.07,3409
1713178800,80.95,81.05,81.05,81,11846
1713180600,80.92,81.07,80.97,80.98,14693
1713182400,80.59,81.42,81.0497,80.97,25786
1713184200,80.88,81.16,80.98,80.9,15815
1713186000,80.78,81.3,80.92,80.95,60157
1713187800,80.63,81.05,81,80.76,540555
1713189600,80.09,80.8,80.74,80.25,1097429
1713191400,80.24,81.27,80.26,80.75,1217840
1713193200,80.5,80.8,80.76,80.77,485896
1713195000,80.27,80.79,80.765,80.55,1266142
1713196800,80.38,80.61,80.5401,80.43,326036
1713198600,80.32,80.85,80.43,80.78,463222
1713200400,80.65,81.15,80.76,81.11,807730
1713202200,80.98,81.47,81.11,81.47,685163
1713204000,81.16,81.67,81.46,81.42,699082
1713205800,81.39,81.65,81.43,81.6,268495
1713207600,81.49,81.69,81.602,81.52,601109
1713209400,81.46,81.7,81.525,81.63,1081506
1713211200,81.6,81.68,81.62,81.65,318578
1713213000,81.6297,81.67,81.6297,81.6499,7543
1713214800,81.59,81.63,81.59,81.63,1378
1713216600,81.61,81.718,81.718,81.61,302
1713218400,81.66,82.02,81.66,81.95,49308
1713220200,81.81,81.94,81.86,81.81,17083
1713222000,81.76,81.83,81.79,81.81,7953
1713223800,81.79,81.84,81.84,81.8,7845
1713254400,81.35,81.55,81.53,81.35,8656
1713256200,81.33,81.39,81.39,81.33,1620
1713258000,81.25,81.38,81.35,81.25,1475
1713259800,81,81.08,81.05,81,2896
1713261600,81.03,81.19,81.04,81.19,625
1713263400,81.17,81.17,81.17,81.17,105
1713265200,81.1,81.25,81.1,81.11,10750
1713267000,81.07,81.19,81.13,81.07,35324
1713268800,80.89,81.99,81.2316,81.01,14795
1713270600,80.81,81.15,81.02,80.81,7790
1713272400,80.97,81.37,81.07,81.31,29784
1713274200,81.12,81.52,81.31,81.29,411275
1713276000,81.01,81.3,81.27,81.05,539635
1713277800,81.04,81.66,81.045,81.6282,481047
1713279600,81.44,81.72,81.63,81.53,375305
1713281400,81.44,81.72,81.53,81.495,248047
1713283200,81.23,81.52,81.495,81.38,202320
1713285000,81.29,81.54,81.38,81.33,125847
1713286800,81.27,81.48,81.34,81.41,182815
1713288600,81.16,81.4,81.4,81.33,400699
1713290400,81.158,81.51,81.32,81.3698,257680
1713292200,81.27,81.488,81.37,81.485,310920
1713294000,81.43,81.54,81.48,81.5,169098
1713295800,81.3101,81.5,81.5,81.33,318855
1713297600,81.3,81.36,81.33,81.34,89808
1713299400,81.3,81.35,81.35,81.3,911
1713301200,81.21,81.32,81.32,81.3,7535
1713303000,81.3,81.5,81.3,81.5,1101
1713304800,81.37,81.47,81.41,81.37,23856
1713306600,81.31,81.35,81.35,81.32,8633
1713308400,81.26,81.34,81.33,81.26,5846
1713310200,81.43,81.48,81.43,81.48,1628
1713340800,81,81.2,81,81.15,1235
1713344400,81.06,81.23,81.09,81.23,11539
1713346200,80.79,80.94,80.94,80.79,640
1713348000,80.64,80.77,80.64,80.77,11570
1713349800,80.63,80.89,80.67,80.89,8565
1713351600,80.88,81.01,80.9,80.95,4521
1713353400,80.88,80.98,80.88,80.98,285
1713355200,80.77,81.19,80.99,80.77,11136
1713357000,80.37,80.73,80.73,80.41,16330
1713358800,80.09,80.54,80.44,80.27,52936
1713360600,80.24,80.76,80.28,80.71,577071
1713362400,80.348,80.96,80.71,80.5,890409
1713364200,80.42,80.87,80.5,80.79,264193
1713366000,80.32,80.79,80.77,80.35,259866
1713367800,79.37,80.3601,80.35,79.44,694630
1713369600,78.77,79.53,79.45,78.825,741949
1713371400,78.69,79.07,78.82,79.07,359055
1713373200,78.815,79.18,79.08,78.91,357155
1713375000,78.88,79.11,78.94,78.93,288049
1713376800,78.76,79.17,78.925,78.88,236439
1713378600,78.81,79.065,78.91,78.82,146288
1713380400,78.75,78.98,78.84,78.92,316565
1713382200,78.8199,78.935,78.92,78.91,404585
1713384000,78.9,79.03,78.9,79.01,76002
1713385800,78.94,79.02,79.0109,79.02,1956
1713387600,78.98,79.01,79,78.98,76494
1713389400,78.97,79.05,78.98,78.97,1338
1713391200,78.94,79.03,78.97,79.03,3400
1713393000,78.92,78.94,78.94,78.94,1294
1713394800,78.83,78.96,78.93,78.96,38841
1713396600,78.88,78.97,78.94,78.97,106110
1713427200,78.19,78.53,78.43,78.53,4712
1713429000,78.48,78.56,78.48,78.56,676
1713430800,78.27,78.35,78.35,78.34,55315
