start,low,high,open,close,volume
1723106700,28.5,28.5,28.5,28.5,350
1723123800,28.63,28.67,28.63,28.67,27480
1723124700,28.6401,28.671,28.67,28.6401,16330
1723125600,28.6301,28.64,28.64,28.635,15986
1723126500,28.63,28.635,28.63,28.63,6525
1723127400,28.63,28.64,28.63,28.6322,11920
1723128300,28.62,28.6399,28.6399,28.62,962
1723129200,28.605,28.618,28.618,28.6052,14188
1723130100,28.6037,28.62,28.6099,28.605,23910
1723131000,28.6,28.61,28.6,28.6,23837
1723131900,28.6,28.606,28.605,28.6,15767
1723132800,28.595,28.6,28.595,28.595,2018
1723133700,28.6,28.61,28.6,28.61,2256
1723134600,28.6001,28.61,28.6001,28.61,1592
1723135500,28.605,28.61,28.61,28.605,2532
1723136400,28.595,28.61,28.6,28.6,7984
1723137300,28.595,28.595,28.595,28.595,4448
1723138200,28.59,28.6,28.59,28.6,16291
1723139100,28.6,28.6,28.6,28.6,3394
1723140000,28.6,28.61,28.6,28.6025,10067
1723140900,28.6,28.61,28.6,28.6001,2735
1723141800,28.595,28.6,28.6,28.595,5498
1723142700,28.59,28.6,28.6,28.59,5736
1723143600,28.5898,28.595,28.5898,28.5901,18068
1723144500,28.595,28.6,28.5953,28.595,1183
1723145400,28.59,28.595,28.595,28.595,2096
1723146300,28.59,28.6,28.59,28.59,53303
1723147200,28.6,28.6,28.6,28.6,5611
1723154400,28.29,28.29,28.29,28.29,1010
1723200300,28.6,28.6,28.6,28.6,965
1723201200,28.6,28.6,28.6,28.6,144
1723206600,28.57,28.57,28.57,28.57,191
1723207500,28.6,28.6,28.6,28.6,7400
1723210200,28.5697,28.58,28.58,28.58,6588
1723211100,28.575,28.585,28.575,28.575,6232
1723212000,28.5622,28.57,28.57,28.57,7756
1723212900,28.545,28.565,28.565,28.55,4990
1723213800,28.55,28.56,28.55,28.56,53623
1723214700,28.55,28.57,28.56,28.56,14261
1723215600,28.56,28.57,28.565,28.56,2704
1723216500,28.55,28.57,28.57,28.555,86684
1723217400,28.55,28.5598,28.55,28.5501,2987
1723218300,28.55,28.5551,28.55,28.5551,2573
1723219200,28.5551,28.57,28.5551,28.57,7970
1723220100,28.57,28.57,28.57,28.57,100
1723221000,28.57,28.5773,28.57,28.5773,4212
1723221900,28.575,28.575,28.575,28.575,1575
1723222800,28.57,28.58,28.5701,28.58,1510
1723223700,28.58,28.5827,28.58,28.58,27705
1723224600,28.565,28.57,28.57,28.57,5097
1723225500,28.565,28.575,28.565,28.575,3030
1723226400,28.5741,28.575,28.5741,28.575,921
1723227300,28.5701,28.58,28.5701,28.575,919
1723228200,28.575,28.58,28.58,28.575,2211
1723229100,28.57,28.5793,28.574,28.57,1851
1723230000,28.57,28.58,28.575,28.57,1604
1723230900,28.5701,28.575,28.575,28.575,1744
1723231800,28.57,28.58,28.58,28.575,14059
1723232700,28.57,28.58,28.5778,28.575,67915
1723233600,28.57,28.57,28.57,28.57,9210
1723449600,28.57,28.57,28.57,28.57,444
1723456800,28.56,28.56,28.56,28.56,705
1723466700,28.62,28.62,28.62,28.62,12700
1723469400,28.6,28.615,28.61,28.6024,9329
1723470300,28.59,28.61,28.6,28.61,12439
1723471200,28.61,28.62,28.61,28.62,807
1723472100,28.62,28.625,28.62,28.62,2337
1723473000,28.6,28.62,28.62,28.61,11964
1723473900,28.595,28.6054,28.6054,28.595,5771
1723474800,28.585,28.5999,28.5999,28.585,3114
1723475700,28.57,28.58,28.58,28.57,3270
1723476600,28.575,28.59,28.575,28.59,5842
1723477500,28.5802,28.59,28.5802,28.59,1735
1723478400,28.585,28.59,28.59,28.585,18362
1723479300,28.5801,28.595,28.59,28.59,5052
1723480200,28.59,28.6,28.59,28.6,3711
1723481100,28.6006,28.605,28.605,28.6011,2241
1723482000,28.59,28.6,28.6,28.59,10007
1723482900,28.585,28.59,28.59,28.59,4009
1723483800,28.5801,28.585,28.5801,28.585,3173
1723484700,28.5749,28.58,28.58,28.58,19923
1723486500,28.575,28.58,28.575,28.58,2044
1723487400,28.575,28.58,28.58,28.58,2430
1723488300,28.5749,28.585,28.58,28.585,9925
1723489200,28.5701,28.5802,28.5802,28.5735,3925
1723490100,28.5739,28.575,28.5739,28.575,772
1723491000,28.5702,28.575,28.5702,28.575,257
1723491900,28.57,28.58,28.5736,28.58,21342
1723492800,28.57,28.57,28.57,28.57,632
1723498200,28.56,28.56,28.56,28.56,750
1723554900,28.54,28.54,28.54,28.54,524
1723555800,28.52,28.53,28.53,28.525,12670
1723556700,28.52,28.523,28.52,28.52,1828
1723557600,28.52,28.5303,28.52,28.5263,5551
1723558500,28.52,28.5201,28.52,28.52,7967
1723559400,28.515,28.53,28.525,28.515,51432
1723560300,28.51,28.52,28.51,28.515,4624
1723561200,28.5101,28.515,28.515,28.515,1859
1723562100,28.515,28.53,28.515,28.5208,11132
1723563000,28.5201,28.53,28.5201,28.53,510
1723563900,28.52,28.53,28.53,28.52,2162
1723564800,28.5001,28.52,28.52,28.5001,11207
1723565700,28.505,28.51,28.51,28.505,1085
1723566600,28.4937,28.505,28.5013,28.4937,1941
1723567500,28.4701,28.495,28.495,28.4701,14119
1723568400,28.47,28.48,28.48,28.475,9811
1723571100,28.47,28.475,28.475,28.47,4542
1723572000,28.45,28.4701,28.47,28.4501,21284
1723572900,28.44,28.455,28.455,28.44,4034
1723573800,28.43,28.44,28.44,28.4301,4757
1723574700,28.42,28.43,28.43,28.42,1605
1723575600,28.4215,28.43,28.43,28.4215,5531
1723576500,28.425,28.43,28.425,28.425,2556
1723577400,28.42,28.43,28.425,28.425,10638
1723578300,28.42,28.43,28.425,28.425,27922
1723579200,28.42,28.42,28.42,28.42,5624
1723582800,28.4398,28.4398,28.4398,28.4398,100
1723633200,28.42,28.42,28.42,28.42,100
1723642200,28.37,28.43,28.43,28.375,26374
