start,low,high,open,close,volume
1728478500,28.76,28.76,28.76,28.76,132
1728479100,28.761,28.761,28.761,28.761,100
1728480600,28.7699,28.78,28.77,28.77,16064
1728480900,28.7686,28.7799,28.77,28.77,3403
1728481200,28.76,28.77,28.77,28.76,654
1728481500,28.7599,28.765,28.7599,28.765,2840
1728481800,28.77,28.77,28.77,28.77,700
1728482100,28.77,28.77,28.77,28.77,1024
1728482400,28.77,28.775,28.775,28.77,1224
1728482700,28.775,28.78,28.7799,28.775,1505
1728483000,28.76,28.77,28.77,28.76,3150
1728483900,28.77,28.78,28.78,28.77,712
1728484200,28.77,28.7701,28.7701,28.77,3841
1728484500,28.775,28.78,28.78,28.78,2400
1728484800,28.7843,28.7843,28.7843,28.7843,128
1728485100,28.79,28.791,28.79,28.7902,5768
1728485400,28.79,28.79,28.79,28.79,500
1728485700,28.785,28.785,28.785,28.785,200
1728486000,28.78,28.78,28.78,28.78,107
1728486300,28.78,28.78,28.78,28.78,2204
1728486600,28.77,28.77,28.77,28.77,3092
1728486900,28.765,28.7701,28.7701,28.77,4000
1728487200,28.7702,28.7702,28.7702,28.7702,2000
1728487500,28.765,28.77,28.77,28.77,1887
1728488100,28.78,28.785,28.785,28.78,700
1728488700,28.78,28.78,28.78,28.78,101
1728489000,28.775,28.78,28.775,28.78,2458
1728489300,28.78,28.78,28.78,28.78,200
1728489600,28.78,28.785,28.78,28.78,7344
1728489900,28.785,28.79,28.79,28.788,3385
1728490200,28.79,28.79,28.79,28.79,238
1728490500,28.785,28.785,28.785,28.785,300
1728490800,28.79,28.79,28.79,28.79,100
1728491400,28.79,28.7994,28.79,28.795,1552
1728492000,28.8,28.8,28.8,28.8,101
1728492300,28.79,28.8,28.795,28.79,4128
1728492600,28.795,28.8,28.795,28.8,2982
1728492900,28.7999,28.7999,28.7999,28.7999,150
1728493200,28.795,28.805,28.795,28.805,8412
1728493500,28.795,28.8,28.8,28.795,1100
1728493800,28.8,28.8,28.8,28.8,2069
1728494100,28.8099,28.8099,28.8099,28.8099,500
