start,low,high,open,close,volume
1666324800,30.05,30.49,30.47,30.11,6381619
1666584000,30.065,30.225,30.21,30.14,3173718
1666670400,29.79,29.95,29.95,29.81,5377254
1666756800,29.48,29.69,29.685,29.5,7861304
1666843200,29.53,29.75,29.68,29.73,4336659
1666929600,29.74,29.87,29.78,29.78,2524385
1667188800,29.955,30.0499,29.981,30.03,2940894
1667275200,29.82,30.075,29.84,30.02,3341664
1667361600,29.7,30.15,29.92,30.15,5361127
1667448000,30.27,30.43,30.4,30.4,8891017
1667534400,29.8,30.13,30.03,29.83,5592131
1667797200,29.62,29.765,29.71,29.66,3220175
1667883600,29.44,29.7,29.69,29.53,4722273
1667970000,29.54,29.8,29.68,29.75,2870793
1668056400,29.07,29.3,29.26,29.07,10429165
1668142800,28.6133,28.895,28.811,28.65,8425327
1668402000,28.7,28.8699,28.83,28.78,6588465
1668488400,28.52,28.85,28.55,28.68,5245239
1668574800,28.58,28.72,28.6,28.62,2510649
1668661200,28.73,28.875,28.83,28.73,3651968
1668747600,28.7,28.835,28.75,28.81,3318316
1669006800,29,29.105,29.03,29.06,3623272
1669093200,28.87,28.99,28.97,28.88,3116292
1669179600,28.571,28.8052,28.8,28.58,4713236
1669352400,28.57,28.69,28.66,28.58,1306413
1669611600,28.53,28.8,28.56,28.79,2836633
1669698000,28.7,28.84,28.8,28.84,1322534
1669784400,28.54,28.92,28.72,28.61,4062322
1669870800,28.24,28.38,28.31,28.26,6989549
1669957200,28.2,28.44,28.36,28.23,3845589
1670216400,28.22,28.47,28.249,28.46,5149210
1670302800,28.34,28.5299,28.4,28.48,4039378
1670389200,28.35,28.4555,28.37,28.39,2869868
1670475600,28.29,28.4,28.36,28.3,2483418
1670562000,28.23,28.39,28.34,28.36,2642718
1670821200,28.29,28.45,28.34,28.38,4195225
1670907600,28.02,28.15,28.029,28.13,9962163
1670994000,27.95,28.17,28.09,28,5789148
1671080400,28.035,28.35,28.06,28.26,9087002
1671166800,28.2,28.33,28.28,28.31,5046131
1671426000,27.99,28.12,28.03,28.07,5859361
1671512400,27.81,27.9382,27.92,27.88,3683595
1671598800,27.87,27.99,27.92,27.95,4431777
1671685200,27.9749,28.06,28,27.99,2744638
1671771600,27.945,28.05,28.01,27.98,1851457
1672117200,27.92,28.01,28,27.97,3022416
1672203600,27.88,28.07,27.92,28.07,1992120
1672290000,27.87,27.98,27.95,27.9,2110509
1672376400,27.77,27.929,27.86,27.81,3437127
1672722000,27.9901,28.1599,28.07,28.11,4482567
1672808400,27.94,28.0689,27.97,28.01,1979142
1672894800,28.19,28.3,28.201,28.27,3417767
1672981200,27.9,28.3278,28.26,27.9,3793680
1673240400,27.66,27.7899,27.78,27.73,9855120
1673326800,27.69,27.79,27.73,27.75,1670154
1673413200,27.72,27.805,27.74,27.75,1929830
1673499600,27.44,27.745,27.57,27.48,4370486
1673586000,27.46,27.56,27.55,27.47,2049015
1673931600,27.41,27.58,27.44,27.55,2566944
1674018000,27.3123,27.566,27.33,27.55,3212964
1674104400,27.44,27.57,27.5,27.48,2509112
1674190800,27.44,27.6,27.56,27.44,2634912
1674450000,27.4411,27.5299,27.51,27.48,3615646
1674536400,27.43,27.58,27.49,27.45,1753977
1674622800,27.345,27.47,27.44,27.36,2230984
1674709200,27.39,27.52,27.4,27.43,2657089
1674795600,27.44,27.54,27.52,27.47,2544057
1675054800,27.445,27.57,27.48,27.57,3006503
1675141200,27.5,27.61,27.55,27.51,2126339
1675227600,27.22,27.51,27.43,27.25,7137953
1675314000,27.31,27.48,27.32,27.43,4302143
1675400400,27.6,27.79,27.65,27.79,7866349
1675659600,27.87,28.01,27.9,27.95,6884374
1675746000,27.7901,28.06,28.01,27.9,4282759
1675832400,27.8601,27.94,27.88,27.93,1416508
1675918800,27.71,27.89,27.71,27.89,3609015
1676005200,27.88,28.01,27.9,27.98,3201804
1676264400,27.8836,28,27.99,27.9,2010618
1676350800,27.78,27.97,27.92,27.88,3456909
1676437200,28.06,28.1356,28.09,28.07,4807971
1676523600,28.06,28.1799,28.14,28.11,4101825
1676610000,28.07,28.2301,28.19,28.09,4187762
1676955600,28.06,28.2,28.13,28.18,2532007
1677042000,28.14,28.29,28.18,28.27,1745208
1677128400,28.245,28.35,28.27,28.28,4056551
1677214800,28.44,28.5,28.49,28.49,4867596
1677474000,28.2901,28.3954,28.379,28.34,3470276
1677560400,28.26,28.42,28.31,28.42,4060401
1677646800,28.22,28.34,28.26,28.27,3932261
