start,low,high,open,close,volume
1695207600,29.355,29.355,29.355,29.355,695
1695211200,29.35,29.35,29.35,29.35,21315
1695214800,29.305,29.35,29.34,29.305,65883
1695218400,29.28,29.31,29.31,29.2925,45229
1695222000,29.29,29.32,29.2949,29.31,80799
1695225600,29.26,29.315,29.315,29.265,68354
1695229200,29.2654,29.29,29.2699,29.28,48502
1695232800,29.28,29.41,29.31,29.3856,329634
1695236400,29.38,29.455,29.385,29.45,152993
1695240000,29.44,29.47,29.44,29.45,11857
1695243600,29.45,29.45,29.45,29.45,200
1695250800,29.44,29.44,29.44,29.44,500
1695294000,29.5,29.539,29.5,29.52,5766
1695297600,29.53,29.55,29.54,29.53,3675
1695301200,29.49,29.5265,29.52,29.525,127605
1695304800,29.44,29.53,29.52,29.475,134461
1695308400,29.445,29.48,29.4709,29.4541,144440
1695312000,29.4541,29.48,29.46,29.465,75118
1695315600,29.4449,29.47,29.47,29.455,61828
1695319200,29.44,29.465,29.45,29.465,91050
1695322800,29.45,29.47,29.465,29.47,292895
1695326400,29.46,29.47,29.46,29.47,40338
1695330000,29.51,29.52,29.51,29.52,500
1695337200,29.45,29.45,29.45,29.45,850
1695373200,29.55,29.55,29.55,29.55,3000
1695380400,29.54,29.54,29.54,29.54,500
1695384000,29.49,29.52,29.52,29.51,7100
1695387600,29.49,29.53,29.5,29.495,86793
1695391200,29.46,29.5,29.49,29.495,295638
1695394800,29.49,29.51,29.5,29.505,51062
1695398400,29.5,29.52,29.505,29.515,66915
1695402000,29.5,29.53,29.511,29.525,134688
1695405600,29.5236,29.5552,29.53,29.535,56665
1695409200,29.53,29.55,29.535,29.55,329268
1695412800,29.53,29.54,29.53,29.54,30143
1695423600,29.54,29.55,29.55,29.54,1174
1695636000,29.55,29.56,29.56,29.55,500
1695643200,29.57,29.59,29.57,29.59,3881
1695646800,29.58,29.65,29.58,29.625,111506
1695650400,29.62,29.69,29.63,29.685,235869
1695654000,29.64,29.685,29.685,29.65,153199
1695657600,29.63,29.65,29.65,29.6401,39119
1695661200,29.63,29.655,29.65,29.645,90514
1695664800,29.63,29.66,29.64,29.6599,198216
1695668400,29.6407,29.66,29.66,29.65,541800
1695672000,29.64,29.64,29.64,29.64,35836
1695726000,29.65,29.67,29.66,29.65,640
1695729600,29.64,29.67,29.67,29.65,2359
1695733200,29.65,29.68,29.66,29.67,297038
1695736800,29.6596,29.6981,29.67,29.685,238146
1695740400,29.68,29.72,29.685,29.715,154934
1695744000,29.7001,29.72,29.715,29.715,81926
1695747600,29.7001,29.73,29.7172,29.715,254264
1695751200,29.71,29.74,29.715,29.735,112939
1695754800,29.72,29.74,29.735,29.73,304304
1695758400,29.719,29.73,29.73,29.72,40352
1695762000,29.63,30.21,29.75,29.79,150257
1695765600,29.79,29.79,29.79,29.79,3920
1695808800,29.77,29.77,29.77,29.77,46056
1695812400,29.77,29.77,29.77,29.77,15000
1695816000,29.77,29.78,29.78,29.77,2370
1695819600,29.77,29.835,29.77,29.82,150438
1695823200,29.8125,29.85,29.82,29.8463,229400
1695826800,29.815,29.855,29.84,29.855,141992
1695830400,29.85,29.8757,29.855,29.87,162175
1695834000,29.85,29.9099,29.87,29.8801,154363
1695837600,29.85,29.905,29.885,29.86,152743
1695841200,29.82,29.87,29.86,29.86,514515
1695844800,29.86,29.87,29.87,29.8699,37235
1695848400,29.95,30.03,29.95,30.03,801
1695852000,30,30,30,30,100
1695888000,29.86,29.92,29.92,29.86,5137
1695891600,29.79,29.86,29.86,29.79,11836
1695895200,29.77,29.78,29.78,29.78,7545
1695898800,29.78,29.79,29.79,29.78,1750
1695902400,29.74,29.81,29.78,29.81,20789
1695906000,29.74,29.81,29.81,29.77,187603
1695909600,29.725,29.77,29.76,29.7358,228201
1695913200,29.685,29.7489,29.7341,29.69,142057
1695916800,29.69,29.7363,29.69,29.7325,81894
1695920400,29.725,29.76,29.73,29.755,61445
1695924000,29.725,29.755,29.7501,29.74,54582
1695927600,29.715,29.7457,29.74,29.73,266163
1695931200,29.71,29.73,29.71,29.711,33694
1695938400,29.51,29.73,29.51,29.73,1400
1695981600,29.59,29.61,29.6,29.61,1800
1695985200,29.59,29.64,29.59,29.64,4950
1695988800,29.6,29.64,29.64,29.61,5865
1695992400,29.63,29.7,29.63,29.68,260608
1695996000,29.67,29.725,29.68,29.6899,380725
1695999600,29.68,29.72,29.68,29.7,106842
1696003200,29.69,29.7199,29.6996,29.7107,134740
1696006800,29.715,29.749,29.715,29.74,80069
1696010400,29.705,29.75,29.7498,29.71,343480
1696014000,29.715,29.74,29.715,29.73,232249
1696017600,29.73,29.74,29.73,29.74,36646
1696021200,29.7,29.7,29.7,29.7,100
1696024800,29.61,29.7,29.61,29.61,710
1696237200,29.79,29.81,29.81,29.8,8194
1696240800,29.81,29.82,29.82,29.81,26510
1696244400,29.815,29.83,29.815,29.82,8005
1696248000,29.82,29.841,29.83,29.841,5823
1696251600,29.841,29.91,29.85,29.9,1823011
1696255200,29.86,29.94,29.91,29.94,419040
1696258800,29.89,29.94,29.94,29.925,397675
1696262400,29.9201,29.95,29.9201,29.945,114217
1696266000,29.91,29.95,29.95,29.935,144796
1696269600,29.9176,29.95,29.9396,29.95,264859
1696273200,29.94,29.97,29.945,29.97,476506
1696276800,29.96,29.97,29.96,29.97,37273
1696287600,30,30,30,30,100
