start,low,high,open,close,volume
1730815860,29.16,29.16,29.16,29.16,300
1730816700,29.14,29.14,29.14,29.14,100
1730817000,29.13,29.135,29.13,29.135,11325
1730817060,29.1301,29.1301,29.1301,29.1301,1294
1730817180,29.13,29.13,29.13,29.13,1501
1730817240,29.1201,29.1308,29.13,29.1201,3830
1730817300,29.125,29.125,29.125,29.125,1490
1730817360,29.125,29.1284,29.125,29.1284,1823
1730817420,29.128,29.128,29.128,29.128,578
1730817480,29.125,29.13,29.125,29.13,3673
1730817600,29.125,29.13,29.125,29.13,360
1730817660,29.125,29.125,29.125,29.125,1233
1730817720,29.1203,29.1299,29.1203,29.1285,2625
1730817780,29.1201,29.135,29.1201,29.13,5387
1730817900,29.1327,29.135,29.135,29.1327,597
1730817960,29.135,29.14,29.14,29.135,2955
1730818020,29.1368,29.1368,29.1368,29.1368,200
1730818140,29.135,29.1403,29.135,29.1403,1437
1730818200,29.14,29.1401,29.1401,29.1401,3216
1730818260,29.1453,29.1453,29.1453,29.1453,440
1730818320,29.14,29.14,29.14,29.14,1101
1730818440,29.135,29.1363,29.135,29.1363,447
1730818500,29.135,29.135,29.135,29.135,137
1730818740,29.1385,29.1385,29.1385,29.1385,130
1730818800,29.16,29.1747,29.17,29.16,3257
1730818860,29.16,29.16,29.16,29.16,966
1730819100,29.16,29.16,29.16,29.16,210
1730819160,29.1594,29.16,29.1594,29.16,7503
1730819220,29.1645,29.1671,29.1645,29.1671,1805
1730819280,29.16,29.16,29.16,29.16,1697
1730819340,29.16,29.17,29.16,29.17,586
1730819400,29.165,29.165,29.165,29.165,140
1730819460,29.1667,29.1667,29.1667,29.1667,188
1730819520,29.16,29.16,29.16,29.16,330
1730819580,29.155,29.16,29.16,29.16,4291
1730819700,29.155,29.155,29.155,29.155,967
1730819760,29.16,29.16,29.16,29.16,400
1730819880,29.155,29.155,29.155,29.155,1000
1730820000,29.155,29.155,29.155,29.155,1227
1730820180,29.15,29.151,29.15,29.151,2516
1730820240,29.14,29.15,29.15,29.14,1156
1730820420,29.14,29.14,29.14,29.14,226
1730820720,29.135,29.135,29.135,29.135,100
1730820840,29.13,29.13,29.13,29.13,165
1730820900,29.1299,29.13,29.13,29.1299,1458
1730821020,29.1245,29.1245,29.1245,29.1245,1412
1730821080,29.1246,29.13,29.1246,29.13,621
1730821200,29.14,29.14,29.14,29.14,1719
1730821320,29.145,29.145,29.145,29.145,125
1730821440,29.141,29.141,29.141,29.141,175
1730821500,29.135,29.14,29.14,29.135,900
1730821680,29.13,29.1301,29.13,29.1301,492
1730821860,29.13,29.13,29.13,29.13,1087
1730821920,29.1375,29.14,29.1375,29.14,902
1730821980,29.14,29.14,29.14,29.14,276
1730822040,29.1388,29.1399,29.1388,29.1399,441
1730822220,29.14,29.14,29.14,29.14,3651
1730822280,29.145,29.145,29.145,29.145,801
1730822400,29.145,29.145,29.145,29.145,1100
1730822700,29.14,29.1455,29.1411,29.14,2568
1730822760,29.145,29.145,29.145,29.145,1100
1730822820,29.1327,29.145,29.1407,29.1327,12439
1730822880,29.1364,29.1364,29.1364,29.1364,5025
1730822940,29.13,29.135,29.1301,29.13,1518
1730823180,29.125,29.125,29.125,29.125,1345
1730823240,29.125,29.13,29.13,29.125,1262
1730823300,29.125,29.125,29.125,29.125,219
1730823360,29.1201,29.128,29.125,29.1201,3273
1730823420,29.1235,29.129,29.128,29.129,3875
1730823540,29.12,29.12,29.12,29.12,2707
1730823600,29.1198,29.12,29.1198,29.12,40342
1730823720,29.1199,29.12,29.12,29.12,14418
1730823780,29.1199,29.12,29.12,29.1199,4118
1730823840,29.12,29.12,29.12,29.12,6860
1730823900,29.115,29.1165,29.1165,29.115,1269
1730823960,29.1171,29.1171,29.1171,29.1171,100
1730824080,29.115,29.115,29.115,29.115,950
1730824200,29.11,29.12,29.115,29.12,587993
1730824380,29.115,29.115,29.115,29.115,155
1730824440,29.1168,29.1168,29.1168,29.1168,4059
1730824500,29.115,29.115,29.115,29.115,250
1730824560,29.115,29.1193,29.1193,29.115,2374
1730824680,29.1197,29.1197,29.1197,29.1197,2556
1730824740,29.12,29.12,29.12,29.12,249
1730824920,29.12,29.12,29.12,29.12,100
1730825040,29.1165,29.1165,29.1165,29.1165,127
1730825100,29.115,29.115,29.115,29.115,126
1730825220,29.115,29.1167,29.1167,29.115,300
1730825760,29.115,29.115,29.115,29.115,12000
1730825940,29.1199,29.1199,29.1199,29.1199,195
1730826060,29.115,29.115,29.115,29.115,327
1730826120,29.1104,29.1104,29.1104,29.1104,1064
1730826180,29.11,29.11,29.11,29.11,10417
1730826420,29.105,29.1055,29.105,29.1055,1375
1730826540,29.1009,29.1009,29.1009,29.1009,100
1730826600,29.1,29.11,29.1031,29.1,1937
1730826660,29.1,29.1,29.1,29.1,140
1730826720,29.1001,29.1007,29.1007,29.1001,285
1730826840,29.1,29.1001,29.1001,29.1,3393
1730826960,29.1,29.1,29.1,29.1,609
1730827260,29.1,29.1,29.1,29.1,626
1730827380,29.1,29.1,29.1,29.1,442
1730827620,29.0949,29.1,29.1,29.0949,855
1730827680,29.0998,29.0999,29.0998,29.0999,7150
1730827860,29.0961,29.0961,29.0961,29.0961,1577
1730827920,29.095,29.095,29.095,29.095,210
1730827980,29.095,29.0959,29.0959,29.095,1271
1730828400,29.09,29.09,29.09,29.09,100
1730828460,29.08,29.09,29.09,29.08,3476
1730828520,29.085,29.085,29.085,29.085,170
1730828580,29.0852,29.0852,29.0852,29.0852,260
1730828760,29.0841,29.0841,29.0841,29.0841,1000
1730828880,29.0816,29.0816,29.0816,29.0816,179
1730829120,29.085,29.085,29.085,29.085,150
1730829180,29.08,29.08,29.08,29.08,100
1730829720,29.085,29.085,29.085,29.085,176
1730830260,29.075,29.075,29.075,29.075,100
1730830380,29.07,29.07,29.07,29.07,112
1730830620,29.075,29.075,29.075,29.075,611
1730830740,29.075,29.075,29.075,29.075,155
1730831160,29.0699,29.0699,29.0699,29.0699,325
1730831220,29.065,29.065,29.065,29.065,125
1730831340,29.065,29.065,29.065,29.065,124
1730831400,29.065,29.065,29.065,29.065,101
1730831460,29.0699,29.07,29.07,29.0699,1100
1730831580,29.065,29.065,29.065,29.065,125
1730832180,29.075,29.075,29.075,29.075,1000
1730832240,29.07,29.075,29.07,29.07,1403
1730832420,29.0629,29.065,29.0629,29.065,1200
1730832480,29.0698,29.07,29.0698,29.07,1107
1730832660,29.065,29.065,29.065,29.065,356
1730832780,29.065,29.065,29.065,29.065,525
1730832900,29.065,29.0744,29.0699,29.0744,4497
1730832960,29.075,29.075,29.075,29.075,100
1730833140,29.08,29.09,29.08,29.09,4399
1730833500,29.0861,29.0861,29.0861,29.0861,1000
1730833680,29.082,29.085,29.082,29.085,1102
1730833740,29.08,29.085,29.085,29.08,1386
1730833800,29.0899,29.0899,29.0899,29.0899,521
1730833980,29.09,29.09,29.09,29.09,701
1730834160,29.08,29.08,29.08,29.08,200
1730834340,29.0842,29.085,29.085,29.085,2563
1730834460,29.085,29.085,29.085,29.085,185
1730834520,29.085,29.09,29.09,29.09,6976
1730834640,29.08,29.08,29.08,29.08,146
1730834700,29.0758,29.08,29.08,29.0758,4509
1730834880,29.0703,29.075,29.0703,29.075,492
1730835000,29.075,29.075,29.075,29.075,122
1730835240,29.0798,29.0798,29.0798,29.0798,202
1730835420,29.075,29.075,29.075,29.075,201
1730835600,29.075,29.075,29.075,29.075,250
1730836020,29.075,29.075,29.075,29.075,272
1730836200,29.075,29.075,29.075,29.075,213
1730836320,29.07,29.07,29.07,29.07,737
1730836380,29.07,29.08,29.076,29.08,3455
1730836440,29.075,29.075,29.075,29.075,100
1730836560,29.07,29.07,29.07,29.07,114
1730836620,29.07,29.07,29.07,29.07,172
1730836680,29.07,29.075,29.07,29.07,10000
1730836740,29.0792,29.0792,29.0792,29.0792,282
1730836800,29.075,29.08,29.075,29.08,1349
1730836860,29.0799,29.08,29.0799,29.08,501
1730836920,29.08,29.08,29.08,29.08,4619
1730837100,29.085,29.085,29.085,29.085,1080
1730837160,29.08,29.08,29.08,29.08,585
1730837400,29.0852,29.0852,29.0852,29.0852,184
