start,low,high,open,close,volume
1713178800,28.92,28.92,28.92,28.92,500
1713184200,28.87,28.87,28.87,28.87,196
1713186000,28.85,28.85,28.85,28.85,100
1713187800,28.835,28.865,28.85,28.855,53334
1713189600,28.855,28.89,28.855,28.89,68729
1713191400,28.85,28.8871,28.88,28.88,68859
1713193200,28.86,28.89,28.89,28.86,57787
1713195000,28.8445,28.87,28.855,28.8488,11810
1713196800,28.84,28.86,28.845,28.855,17701
1713198600,28.8501,28.87,28.8501,28.86,21385
1713200400,28.855,28.87,28.865,28.865,15765
1713202200,28.87,28.887,28.87,28.875,31044
1713204000,28.87,28.89,28.8799,28.875,37741
1713205800,28.8734,28.89,28.88,28.885,14768
1713207600,28.88,28.895,28.885,28.885,35476
1713209400,28.87,28.8897,28.885,28.885,85321
1713211200,28.88,28.89,28.89,28.889,89199
1713220200,29,29,29,29,1000
1713263400,28.91,28.91,28.91,28.91,971
1713265200,28.91,28.91,28.91,28.91,255
1713268800,28.87,28.88,28.88,28.87,2235
1713270600,28.879,28.88,28.879,28.88,10228
1713272400,28.9,28.9,28.9,28.9,10700
1713274200,28.86,28.91,28.89,28.9,174912
1713276000,28.87,28.91,28.91,28.9,39291
1713277800,28.885,28.91,28.905,28.9035,54986
1713279600,28.88,28.91,28.9,28.9054,6041
1713281400,28.895,28.915,28.91,28.9,24410
1713283200,28.909,28.92,28.91,28.92,3770
1713285000,28.905,28.93,28.915,28.92,22843
1713286800,28.915,28.94,28.915,28.94,20189
1713288600,28.92,28.97,28.95,28.9224,45500
1713290400,28.8901,28.94,28.93,28.93,42218
1713292200,28.895,28.9301,28.9301,28.901,47864
1713294000,28.905,28.925,28.905,28.915,68048
1713295800,28.915,28.94,28.915,28.93,389465
1713297600,28.92,28.93,28.93,28.93,524009
1713299400,28.94,28.94,28.94,28.94,500
1713358800,28.87,28.8802,28.87,28.88,12150
1713360600,28.865,28.89,28.88,28.885,536114
1713362400,28.8832,28.905,28.885,28.89,68546
1713364200,28.8899,28.9173,28.8999,28.905,49533
1713366000,28.89,28.905,28.905,28.895,30471
1713367800,28.885,28.9075,28.895,28.895,25677
1713369600,28.875,28.91,28.895,28.875,27903
1713371400,28.86,28.89,28.8767,28.8776,60260
1713373200,28.86,28.88,28.875,28.865,74624
1713375000,28.835,28.865,28.86,28.835,19417
1713376800,28.805,28.831,28.831,28.82,53360
1713378600,28.8,28.83,28.826,28.825,40924
1713380400,28.8228,28.8452,28.8228,28.84,33413
1713382200,28.8201,28.84,28.84,28.83,191543
1713384000,28.82,28.84,28.84,28.82,66850
1713385800,28.82,28.82,28.82,28.82,200
1713387600,28.6904,28.6904,28.6904,28.6904,250
1713394800,28.75,28.75,28.75,28.75,300
1713441600,28.82,28.82,28.82,28.82,300
1713445200,28.84,28.85,28.84,28.85,909
1713447000,28.83,28.885,28.84,28.875,164595
