start,low,high,open,close,volume
1723118400,24.01,24.1512,24.01,24.1512,403
1723119300,24.15,24.15,24.15,24.15,1200
1723120200,23.65,23.88,23.65,23.65,2503
1723121100,23.27,23.5,23.2806,23.27,1384
1723123800,23.63,24,24,23.71,4358
1723124700,23.641,23.8224,23.65,23.8224,31173
1723125600,23.82,23.9415,23.84,23.9415,853
1723126500,23.84,23.8637,23.84,23.84,4111
1723127400,23.7801,23.82,23.82,23.8199,5815
1723128300,23.765,23.8,23.7801,23.765,731
1723129200,23.8099,23.878,23.81,23.878,1616
1723130100,23.83,23.9,23.89,23.83,4032
1723131000,23.84,23.88,23.845,23.87,8660
1723131900,23.89,23.89,23.89,23.89,1025
1723132800,23.85,23.88,23.86,23.88,4405
1723133700,23.8,23.87,23.87,23.835,1724
1723134600,23.8623,23.87,23.87,23.8623,2307
1723135500,23.84,23.86,23.84,23.84,3469
1723136400,23.82,23.8501,23.84,23.83,2071
1723137300,23.8209,23.87,23.8209,23.87,3020
1723138200,23.8,23.85,23.85,23.81,734
1723139100,23.79,23.79,23.79,23.79,1500
1723140900,23.78,23.78,23.78,23.78,3500
1723141800,23.8478,23.86,23.8478,23.8599,11821
1723142700,23.83,23.84,23.84,23.83,2806
1723143600,23.8354,23.87,23.87,23.87,885
1723144500,23.875,23.896,23.88,23.88,5650
1723145400,23.88,23.89,23.88,23.89,450
1723146300,23.85,23.9,23.8987,23.875,12226
1723147200,23.82,23.9,23.82,23.9,644
1723150800,23.791,23.791,23.791,23.791,500
1723156200,23.8,23.83,23.8,23.83,280
1723197600,23.8,23.8,23.8,23.8,185
1723204800,23.9881,23.9881,23.9881,23.9881,1110
1723206600,24.05,24.13,24.08,24.06,1250
1723207500,24.07,24.07,24.07,24.07,200
1723210200,24.0025,24.1,24.1,24.04,14496
1723211100,24.01,24.05,24.0399,24.05,1937
1723212900,24.1003,24.1442,24.108,24.1003,942
1723213800,24.14,24.14,24.14,24.14,328
1723214700,24.09,24.09,24.09,24.09,1542
1723215600,24,24.065,24.065,24.02,4300
1723216500,24.05,24.05,24.05,24.05,100
1723217400,24.07,24.1,24.1,24.07,4961
1723218300,24.0849,24.09,24.0849,24.0849,1294
1723220100,24.0784,24.09,24.09,24.0784,280
1723221000,24.08,24.08,24.08,24.08,130
1723221900,24.05,24.05,24.05,24.05,110
1723222800,24,24.03,24.03,24.01,1050
1723223700,24.01,24.0106,24.01,24.0106,3087
1723225500,24.02,24.02,24.02,24.02,2167
1723226400,24.01,24.01,24.01,24.01,600
1723227300,24.03,24.03,24.03,24.03,620
1723228200,24.0289,24.04,24.04,24.0289,3500
1723229100,24.0299,24.03,24.03,24.0299,1100
1723230000,24.0101,24.03,24.0101,24.02,1337
1723230900,24.01,24.0999,24.03,24.0999,6563
1723231800,24.0888,24.0888,24.0888,24.0888,170
1723232700,24.02,24.055,24.02,24.02,7698
1723233600,24.08,24.08,24.08,24.08,268
1723234500,24.02,24.02,24.02,24.02,600
1723450500,23.78,23.78,23.78,23.78,207
1723460400,23.84,23.84,23.84,23.84,166
1723461300,23.67,23.67,23.67,23.67,310
1723464000,23.76,23.76,23.76,23.76,100
1723465800,23.7,23.76,23.76,23.7,300
1723468500,23.56,23.6,23.56,23.6,801
1723469400,23.52,23.6599,23.52,23.6201,30860
1723470300,23.66,23.69,23.66,23.68,4572
1723471200,23.65,23.7,23.7,23.66,9533
1723472100,23.62,23.6899,23.66,23.63,1610
1723473000,23.64,23.67,23.64,23.64,3630
1723473900,23.62,23.655,23.63,23.643,1190
1723474800,23.66,23.69,23.66,23.69,304
