start,low,high,open,close,volume
1728461700,23,23.02,23.02,23,491
1728468000,23,23,23,23,331
1728479400,23.01,23.01,23.01,23.01,317
1728480000,23.01,23.01,23.01,23.01,100
1728480300,23,23,23,23,111
1728481500,22.97,22.97,22.97,22.97,107
1728482100,22.95,22.95,22.95,22.95,364
1728482400,22.9047,22.95,22.94,22.9047,2378
1728482700,22.88,22.91,22.91,22.91,4288
1728483300,22.91,22.92,22.91,22.92,816
1728483900,22.9391,22.9397,22.9397,22.9391,4130
1728484500,22.9399,22.9399,22.9399,22.9399,105
1728485400,22.945,22.95,22.945,22.95,407
1728486000,22.92,22.945,22.945,22.92,767
1728486600,22.945,22.945,22.945,22.945,100
1728487200,22.93,22.93,22.93,22.93,3505
1728489000,22.9,22.9,22.9,22.9,435
1728489300,22.8558,22.8558,22.8558,22.8558,105
1728489600,22.919,22.919,22.919,22.919,177
1728489900,22.9193,22.9193,22.9193,22.9193,201
1728490500,22.86,22.9,22.88,22.8807,4003
1728490800,22.85,22.8601,22.86,22.85,1238
1728491700,22.895,22.895,22.895,22.895,8354
1728492000,22.895,22.92,22.9013,22.895,451
1728492300,22.89,22.89,22.89,22.89,506
1728495900,22.92,22.92,22.92,22.92,142
1728496500,22.9051,22.9051,22.9051,22.9051,219
1728497100,22.9,22.9,22.9,22.9,872
1728497700,22.875,22.875,22.875,22.875,400
1728499200,22.88,22.88,22.88,22.88,200
1728499500,22.88,22.88,22.88,22.88,400
1728500100,22.85,22.8794,22.8793,22.85,4802
1728500700,22.8699,22.8699,22.8699,22.8699,2000
1728501600,22.8699,22.87,22.8699,22.87,621
1728501900,22.8794,22.88,22.8794,22.88,300
1728503100,22.88,22.88,22.88,22.88,102
1728503400,22.82,22.845,22.845,22.845,1563
1728503700,22.84,22.84,22.84,22.84,248
1728504000,22.88,22.88,22.88,22.88,108
1728563700,23.01,23.06,23.01,23.06,274
1728564300,23.1,23.1,23.1,23.1,1161
1728567000,23.0032,23.04,23.04,23.0032,4050
1728567300,23.0123,23.05,23.05,23.0123,2220
1728567600,23.0441,23.0997,23.051,23.0997,6430
1728567900,23.09,23.09,23.09,23.09,100
1728568200,23.13,23.16,23.16,23.13,393
1728570600,23.0757,23.0757,23.0757,23.0757,130
1728570900,23.03,23.05,23.05,23.03,1205
1728571200,23.01,23.0101,23.01,23.0101,370
1728572400,23.0599,23.0599,23.0599,23.0599,339
1728573600,23.0598,23.0598,23.0598,23.0598,116
1728573900,23.15,23.15,23.15,23.15,400
1728574500,23.0795,23.0795,23.0795,23.0795,225
1728575100,23.09,23.09,23.09,23.09,200
1728575400,23.08,23.08,23.08,23.08,1000
1728576000,23.09,23.09,23.09,23.09,1000
1728577500,23.08,23.11,23.085,23.0801,3144
1728577800,23.08,23.08,23.08,23.08,200
1728581700,22.95,22.9746,22.9746,22.95,550
1728582000,22.98,22.98,22.98,22.98,3259
1728582600,22.98,22.98,22.98,22.98,2507
1728584100,22.95,22.95,22.95,22.95,350
1728585000,23,23,23,23,160
1728585300,22.98,23,23,22.98,210
1728586800,22.99,22.99,22.99,22.99,225
1728587100,23.0004,23.01,23.0004,23.01,6451
1728590100,23.04,23.04,23.04,23.04,290
1728590400,23.1,23.1,23.1,23.1,122
1728648000,22.9555,22.9555,22.9555,22.9555,1030
1728653400,22.95,22.96,22.96,22.95,750
1728654600,22.94,22.94,22.94,22.94,370
1728654900,22.8601,22.88,22.8601,22.88,505
1728655200,22.891,22.92,22.891,22.92,266
1728655500,22.88,22.89,22.89,22.88,503
1728656100,22.9,22.9,22.9,22.9,1000
1728656400,22.88,22.88,22.88,22.88,275
1728657000,22.87,22.87,22.87,22.87,442
1728657300,22.845,22.8675,22.845,22.8675,838
1728659100,22.8766,22.88,22.8766,22.88,526
1728659400,22.88,22.97,22.88,22.89,11037
1728659700,22.8998,22.8998,22.8998,22.8998,4062
1728660000,22.89,22.89,22.89,22.89,305
1728660300,22.89,22.8999,22.89,22.8974,697
1728661200,22.91,22.91,22.91,22.91,200
1728662400,22.92,22.92,22.92,22.92,700
1728662700,22.9318,22.9318,22.9318,22.9318,120
1728663600,22.94,22.94,22.94,22.94,890
1728665100,22.9156,22.9156,22.9156,22.9156,350
1728666000,22.9283,22.9283,22.9283,22.9283,400
1728670500,22.94,22.94,22.94,22.94,220
