start,low,high,open,close,volume
1666324800,26.4,28.33,26.46,27.78,235012
1666584000,27.19,27.46,27.23,27.34,48610
1666670400,27.54,27.83,27.635,27.7,39292
1666756800,27.95,28.32,27.95,28.26,52254
1666843200,28.28,28.5,28.2813,28.33,32179
1666929600,27.7,27.87,27.75,27.81,36484
1667188800,27.28,27.42,27.32,27.33,37213
1667275200,27.495,27.88,27.88,27.56,12131
1667361600,27.6856,28.36,27.98,27.69,29305
1667448000,27.42,27.645,27.58,27.49,7477
1667534400,27.7893,28.117,27.86,28.08,10872
1667797200,28.08,28.25,28.25,28.1084,11186
1667883600,28.22,28.57,28.22,28.5,27144
1667970000,28.07,28.39,28.25,28.13,5895
1668056400,29.36,30.2,29.36,30.2,51187
1668142800,30.88,31.4,30.98,31.3,56542
1668402000,30.41,30.86,30.47,30.86,33827
1668488400,30.87,31.19,31.19,31.1,22277
1668574800,30.845,31.04,31,30.95,25187
1668661200,30.39,30.66,30.5472,30.61,24956
1668747600,30.55,30.822,30.79,30.55,2201
1669006800,29.72,30.105,30.105,29.75,14694
1669093200,30.06,30.172,30.122,30.14,14153
1669179600,30.27,30.9496,30.27,30.9,3759
1669352400,30.89,31.09,30.89,31.0795,3629
1669611600,31.1,31.37,31.26,31.13,7035
1669698000,31.1516,31.4095,31.16,31.19,16800
1669784400,30.71,31.67,30.97,31.5476,9955
1669870800,32.14,32.83,32.41,32.76,174726
1669957200,32.7,33.29,32.8299,33.29,15861
1670216400,31.99,32.559,32.54,31.99,19784
1670302800,31.93,32.2,32.175,31.9574,8995
1670389200,32.02,32.25,32.14,32.18,11717
1670475600,32.09,32.23,32.15,32.093,25631
1670562000,32,32.3,32.28,32.0839,10766
1670821200,31.5,31.9,31.88,31.53,11232
1670907600,32.57,32.9,32.9,32.58,23559
1670994000,32.51,33,32.81,32.7478,15530
1671080400,31.3401,32.15,32.08,31.6,19519
1671166800,31.72,32.055,31.72,31.98,4164
1671426000,31.81,32.0618,32,31.81,24647
1671512400,34.02,34.9699,34.05,34.43,54981
1671598800,34,34.34,34.17,34.02,47078
1671685200,33.84,34.09,34.08,34.01,23765
1671771600,33.66,33.82,33.76,33.7877,7576
1672117200,33.37,33.55,33.46,33.37,15779
1672203600,32.9,33.3,33.3,32.96,52064
1672290000,33.45,33.71,33.5,33.66,94981
1672376400,34.07,34.76,34.23,34.56,22351
1672722000,34.58,35.15,34.94,34.7,144575
1672808400,33.75,34.74,34.74,33.75,25645
1672894800,33.08,33.49,33.24,33.39,27266
1672981200,33.02,34.09,33.18,34.0359,35612
1673240400,34.059,34.31,34.0704,34.1871,15381
1673326800,33.9,34.1801,34.06,33.96,22232
1673413200,33.7,33.89,33.73,33.7969,37690
1673499600,34.71,35.6699,35.01,35.57,126485
1673586000,36.12,36.48,36.14,36.2312,153379
1673931600,35.83,36.14,36.02,36.059,90145
1674018000,35.628,36.32,36.28,35.6588,57897
1674104400,35.7603,36,35.9,35.9151,16307
1674190800,34.825,35.3297,34.84,35.2754,36839
1674450000,34.53,34.77,34.5791,34.66,43039
1674536400,34.42,35.015,34.83,34.9275,25211
1674622800,35.085,35.3601,35.1301,35.2245,27384
1674709200,34.66,34.9648,34.93,34.85,39533
1674795600,34.99,35.1,34.99,35.0259,22266
1675054800,34.68,34.84,34.82,34.7036,5305
1675141200,34.8,35.06,35,34.8521,5199
1675227600,35.09,35.65,35.2,35.59,26889
1675314000,35.5701,35.86,35.86,35.5922,12075
1675400400,34.25,34.8301,34.74,34.25,28719
1675659600,33.39,33.61,33.59,33.49,21775
1675746000,33.795,34.5,33.8,34.3041,9749
1675832400,34.08,34.23,34.1,34.08,5231
1675918800,33.9916,34.5701,34.5701,33.9916,7110
1676005200,34.03,34.38,34.38,34.1145,23351
1676264400,33.34,33.62,33.53,33.62,26285
1676350800,33.17,33.46,33.25,33.26,37632
1676437200,32.6,32.7789,32.73,32.7,10783
1676523600,32.55,32.9,32.55,32.8132,8233
1676610000,32.47,32.6936,32.48,32.6611,4356
1676955600,32.16,32.3607,32.31,32.2719,16127
1677042000,32.26,32.47,32.47,32.27,8036
1677128400,32.16,32.47,32.1604,32.43,9887
1677214800,31.526,31.65,31.62,31.56,9260
1677474000,31.5902,31.7408,31.66,31.63,16041
1677560400,31.3,31.7899,31.3,31.6536,12960
1677646800,31.59,31.73,31.6806,31.6228,10748
1677733200,31.35,31.4088,31.35,31.4088,2577
1677819600,31.65,31.7997,31.68,31.7997,2545
1678078800,31.6799,31.755,31.7456,31.6996,9730
1678165200,31.17,31.62,31.62,31.17,19795
1678251600,31.11,31.375,31.37,31.14,19938
1678338000,31.51,31.67,31.5301,31.6356,14067
1678424400,32.03,32.58,32.03,32.26,29138
1678680000,32.84,33.36,33.2,32.97,22935
1678766400,32.19,32.59,32.2601,32.58,19669
1678852800,32.82,33.39,33.3,33.01,17273
1678939200,32.8,33.68,33.57,32.8446,15843
1679025600,33.29,33.75,33.29,33.608,15491
1679284800,33.68,33.88,33.77,33.8463,6821
1679371200,33.21,33.615,33.5,33.2892,28061
1679457600,33.1699,34,33.1699,33.9413,12594
1679544000,33.87,34.2931,33.895,34.2497,26707
1679630400,34.1649,34.4,34.4,34.1649,2495
1679889600,33.65,33.8,33.68,33.6969,19588
1679976000,33.907,34.17,33.97,34.1098,20393
1680062400,33.05,33.3101,33.16,33.06,13019
1680148800,33.02,33.22,33.02,33.1322,8014
1680235200,32.81,33.0696,32.92,33.02,35641
1680494400,32.9,33.294,32.9135,33.2016,19283
1680580800,33.04,33.63,33.04,33.5717,3456
1680667200,33.75,34,33.87,33.7684,10023
1680753600,33.46,33.5947,33.55,33.46,3375
1681099200,32.45,32.74,32.74,32.5776,12615
1681185600,32.45,32.78,32.7799,32.5049,10635
1681272000,32.66,32.88,32.83,32.7221,25194
1681358400,32.965,33.26,33.08,32.9794,27802
1681444800,32.43,32.8,32.79,32.46,30812
1681704000,32.0605,32.1707,32.17,32.16,6994
1681790400,32.22,32.335,32.22,32.2701,1615
1681876800,31.88,32.0901,32.0901,31.9438,5541
1681963200,32.14,32.27,32.27,32.1695,5485
1682049600,32.19,32.2551,32.19,32.2551,5410
1682308800,31.99,32.155,32.05,32.155,6002
1682395200,32.27,32.575,32.35,32.56,14317
1682481600,32.3501,32.7226,32.6999,32.48,3415
1682568000,32.2,32.3009,32.25,32.3009,7924
1682654400,31.05,31.31,31.26,31.1908,30426
1682913600,30.56,30.9,30.87,30.5668,8659
