start,low,high,open,close,volume
1695211200,25.62,25.62,25.62,25.62,2000
1695214800,25.69,25.71,25.69,25.71,557
1695218400,25.71,25.73,25.7269,25.7157,1636
1695222000,25.7199,25.75,25.72,25.74,8814
1695225600,25.7,25.77,25.705,25.76,4415
1695229200,25.76,25.78,25.78,25.77,11985
1695232800,25.59,25.65,25.59,25.61,1431
1695236400,25.56,25.63,25.63,25.56,17699
1695297600,25.58,25.6,25.6,25.58,800
1695301200,25.62,25.66,25.66,25.63,4818
1695304800,25.6302,25.8,25.6302,25.7503,10546
1695308400,25.75,25.81,25.755,25.7801,7119
1695312000,25.72,25.77,25.77,25.7497,2340
1695315600,25.76,25.76,25.76,25.76,200
1695319200,25.75,25.78,25.77,25.75,1800
1695322800,25.7,25.755,25.75,25.7,2059
1695337200,25.8,26.26,25.8,26.26,1831
1695373200,25.46,25.46,25.46,25.46,500
1695376800,25.49,25.49,25.49,25.49,120
1695380400,25.46,25.51,25.51,25.46,417
1695384000,25.4513,25.5,25.4513,25.5,300
1695387600,25.4104,25.5,25.48,25.49,9414
1695391200,25.49,25.56,25.51,25.54,4684
1695394800,25.5,25.52,25.52,25.5,1720
1695398400,25.47,25.49,25.47,25.49,900
1695402000,25.48,25.4954,25.4892,25.48,1245
1695405600,25.45,25.47,25.47,25.4549,3921
1695409200,25.44,25.47,25.46,25.47,5008
1695639600,25.38,25.39,25.39,25.38,3412
1695643200,25.3,25.3,25.3,25.3,5004
1695646800,25.27,25.35,25.35,25.29,7699
1695650400,25.23,25.29,25.29,25.27,8437
1695654000,25.28,25.3197,25.28,25.3197,820
1695657600,25.3,25.31,25.31,25.3,1060
1695661200,25.29,25.31,25.31,25.29,12537
1695664800,25.26,25.3,25.29,25.26,1558
1695668400,25.28,25.33,25.29,25.33,8479
1695675600,25.26,25.26,25.26,25.26,200
1695729600,25.23,25.3,25.3,25.23,600
1695733200,25.2001,25.3,25.3,25.2498,14314
1695736800,25.23,25.2892,25.23,25.2601,500
1695740400,25.25,25.28,25.25,25.26,4842
1695744000,25.25,25.25,25.25,25.25,212
1695747600,25.2699,25.27,25.2699,25.27,2100
1695751200,25.1802,25.27,25.27,25.21,4357
1695754800,25.18,25.24,25.2,25.24,9006
1695758400,25.12,25.25,25.25,25.12,1296
1695816000,25.17,25.17,25.17,25.17,200
1695819600,25.06,25.18,25.18,25.07,20913
1695823200,25.04,25.08,25.07,25.0459,15186
1695826800,25.03,25.05,25.03,25.04,8088
1695830400,24.98,25.02,25.02,24.985,11872
1695834000,24.9652,25.02,25.02,24.99,6177
1695837600,24.96,25.025,24.99,25.0182,11576
1695841200,25.01,25.06,25.0105,25.05,11091
1695844800,25.03,25.03,25.03,25.03,100
1695898800,25.09,25.09,25.09,25.09,2000
1695902400,25.04,25.11,25.11,25.04,7550
1695906000,25.04,25.09,25.05,25.04,7408
1695909600,25.07,25.1201,25.1,25.075,22794
1695913200,25.06,25.115,25.07,25.1003,23214
1695916800,25.1,25.12,25.11,25.1084,6411
1695920400,25.1,25.1298,25.11,25.1,4800
1695924000,25.08,25.12,25.08,25.12,5825
1695927600,25.1,25.15,25.105,25.15,14098
1695931200,25.17,25.17,25.17,25.17,1000
1695985200,25.09,25.17,25.09,25.17,3220
1695988800,25.14,25.17,25.17,25.15,800
1695992400,25.1,25.11,25.11,25.1,670
1695996000,25.06,25.14,25.0789,25.14,2500
1695999600,25.02,25.09,25.09,25.02,5058
1696003200,25.04,25.04,25.04,25.04,1000
1696006800,25.02,25.0381,25.0381,25.02,1014
1696010400,25.04,25.04,25.04,25.04,100
1696014000,25,25.05,25.0406,25,42960
1696244400,24.95,24.98,24.97,24.95,2600
1696248000,24.97,24.97,24.97,24.97,800
1696251600,24.9,24.96,24.96,24.9101,11138
1696255200,24.9,24.92,24.92,24.9,2096
1696258800,24.885,24.9299,24.9,24.8998,1449
1696262400,24.9099,24.91,24.91,24.9099,600
1696266000,24.9,24.91,24.91,24.9,300
1696269600,24.91,24.93,24.93,24.911,3329
1696273200,24.89,24.92,24.91,24.89,2842
1696276800,24.92,24.92,24.92,24.92,113
1696330800,24.87,24.88,24.87,24.88,900
1696334400,24.87,24.87,24.87,24.87,3300
1696338000,24.83,24.8684,24.86,24.8401,2526
1696341600,24.7999,25.65,24.84,25.16,29259
1696345200,25.07,25.14,25.14,25.12,9456
1696348800,25.11,25.1618,25.1168,25.11,5560
1696352400,25.14,25.17,25.1413,25.1497,2942
1696356000,25.15,25.18,25.15,25.18,2341
1696359600,25.2099,25.27,25.21,25.27,7841
1696366800,25.41,25.41,25.41,25.41,794
1696370400,26.13,26.13,26.13,26.13,125
1696417200,25.2,25.2,25.2,25.2,5000
1696420800,25.14,25.22,25.1787,25.22,1737
1696424400,25.16,25.22,25.2,25.16,15114
1696428000,25.13,25.2,25.14,25.1999,2800
1696431600,25.14,25.205,25.1401,25.205,400
1696435200,25.23,25.258,25.258,25.23,200
1696438800,25.14,25.2,25.19,25.14,7894
1696442400,25.11,25.13,25.13,25.11,2901
1696446000,25.12,25.14,25.12,25.13,9802
1696449600,25.09,25.09,25.09,25.09,150
1696510800,25.21,25.29,25.29,25.27,950
1696514400,25.245,25.2798,25.27,25.245,5747
1696518000,25.2662,25.3299,25.27,25.27,3506
1696521600,25.3,25.38,25.378,25.3,500
1696525200,25.34,25.36,25.36,25.34,410
1696528800,25.3399,25.36,25.34,25.3415,1308
1696532400,25.32,25.37,25.34,25.37,8129
1696536000,25.35,25.35,25.35,25.35,193
1696546800,25.43,25.44,25.43,25.44,493
1696590000,25.15,25.15,25.15,25.15,100
1696593600,25,25.06,25.06,25,2452
1696597200,25,25.05,25.05,25.03,3651
1696600800,25.0012,25.059,25.03,25.0012,2262
1696604400,25.012,25.12,25.012,25.1062,11884
1696608000,25.04,25.1,25.1,25.04,1782
1696611600,25,25.0311,25.0311,25,6140
1696615200,25.02,25.02,25.02,25.02,400
1696618800,25.03,25.0687,25.0477,25.06,8645
1696622400,25.08,25.08,25.08,25.08,100
1696838400,25.2,25.2,25.2,25.2,172
1696845600,25.06,25.06,25.06,25.06,192
1696849200,25.05,25.1,25.1,25.05,500
1696856400,25.1,25.177,25.1,25.177,1400
1696860000,25.26,25.31,25.27,25.2601,5123
1696863600,25.23,25.3,25.3,25.23,8100
1696867200,25.21,25.23,25.23,25.21,600
1696870800,25.2301,25.2784,25.2301,25.2784,2200
1696874400,25.27,25.29,25.29,25.27,423
1696878000,25.2887,25.32,25.2998,25.32,7590
