start,low,high,open,close,volume
1713177000,22.58,22.58,22.58,22.58,162
1713178800,22.55,22.57,22.57,22.55,1100
1713180600,22.5,22.5,22.5,22.5,500
1713182400,22.45,22.5,22.5,22.45,1006
1713184200,22.35,22.39,22.35,22.38,1562
1713187800,22.33,22.39,22.39,22.36,8905
1713189600,22.32,22.36,22.35,22.36,15070
1713191400,22.35,22.4523,22.3586,22.3609,12052
1713193200,22.37,22.39,22.37,22.39,6169
1713195000,22.3711,22.41,22.41,22.38,1931
1713196800,22.385,22.4,22.386,22.4,6818
1713198600,22.39,22.395,22.39,22.395,1880
1713200400,22.38,22.415,22.38,22.415,2522
1713202200,22.41,22.4299,22.426,22.41,3300
1713204000,22.392,22.41,22.41,22.392,725
1713205800,22.39,22.43,22.3951,22.4,4295
1713207600,22.4048,22.41,22.4048,22.4077,400
1713209400,22.39,22.4099,22.405,22.39,2307
1713265200,22.24,22.29,22.29,22.24,1392
1713268800,22.25,22.29,22.29,22.25,6008
1713270600,22.27,22.27,22.27,22.27,140
1713272400,22.27,22.27,22.27,22.27,131
1713274200,22.24,22.36,22.27,22.301,10607
1713276000,22.2629,22.3,22.3,22.2812,3702
1713277800,22.26,22.32,22.28,22.2701,7249
1713279600,22.3,22.325,22.3099,22.31,4252
1713281400,22.3,22.316,22.316,22.3,9300
1713283200,22.27,22.3013,22.3013,22.27,5329
1713285000,22.27,22.296,22.296,22.29,804
1713286800,22.27,22.295,22.29,22.27,3703
1713288600,22.26,22.27,22.27,22.2601,1842
1713290400,22.265,22.28,22.268,22.2799,1570
1713292200,22.275,22.3,22.275,22.3,2125
1713295800,22.28,22.3,22.28,22.3,3850
1713355200,22.26,22.26,22.26,22.26,1001
1713360600,22.27,22.285,22.27,22.285,1800
1713362400,22.255,22.28,22.28,22.266,7707
1713364200,22.25,22.265,22.25,22.26,1490
1713366000,22.2613,22.27,22.2613,22.27,5491
1713367800,22.27,22.28,22.27,22.2701,942
1713369600,22.28,22.36,22.29,22.35,892
1713371400,22.36,22.37,22.36,22.37,583
1713373200,22.342,22.386,22.3795,22.35,3095
1713375000,22.36,22.36,22.36,22.36,100
1713376800,22.3799,22.41,22.3799,22.3867,4218
1713382200,22.3599,22.39,22.36,22.39,2708
1713427200,22.29,22.59,22.59,22.29,1110
1713434400,22.34,22.34,22.34,22.34,981
1713438000,22.34,22.34,22.34,22.34,100
1713447000,22.2981,22.35,22.35,22.2999,3880
1713448800,22.3,22.3199,22.31,22.3,3581
1713450600,22.28,22.2999,22.29,22.2999,400
1713452400,22.279,22.29,22.2798,22.28,3139
1713454200,22.28,22.29,22.29,22.28,361
1713456000,22.27,22.28,22.28,22.27,867
1713457800,22.2703,22.28,22.28,22.2787,755
1713459600,22.2701,22.275,22.2701,22.275,862
1713461400,22.26,22.28,22.28,22.2603,2651
